AUI|CODE|STR|ISPREF|ETIQUETA_CIE9
B00000621A|A91.11|ANORMAL PRUEBA SANGUINEA TOLER. A LA GLUCOSA (NO DIAB.)|Y|GLUCEMIA BASAL ALTERADA (SIN DIABETES DM)
B00000622A|A91.12|ANORMALIDAD PRUEBA SANGUINEA (INEXPLICABLE) TRANSAMINASAS|Y|RESULTADO ANORMAL SIN EXPLICACION, TRANSAMINASAS
B00000623A|A91.13|HIPERGLUCEMIA (SIN DIABETES)|Y|GLUCEMIA BASAL ALTERADA (SIN DIABETES DM)
B00000624A|A91.14|ANORMAL PRUEBA SANGUINEA HEMATIES NC|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000625A|A91.15|AUMENTO, AUMENTADO. VELOCIDAD DE SEDIMENTACION|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000626A|A91.16|ACIDOSIS|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000627A|A91.17|HIPERFOSFATEMIA|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000628A|A91.18|HIPERNATREMIA|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000629A|A91.19|HIPOCALCEMIA|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B02687737A|A91.2|INVESTIGACIONES RESULTADOS ANORMALES|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000631A|A91.20|HIPERGLICEMIA AILLADA|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000632A|A91.21|ANORMAL PRUEBA SANGUINEA TRANSAMINASAS NC|Y|RESULTADO ANORMAL SIN EXPLICACION, TRANSAMINASAS
B00000633A|A91.22|ANORMALIDAD PRUEBA SANGUINEA(INEXPLICABLE)TOLER.A LA GLUCOSA|Y|INTOLERANCIA A LA GLUCOSA (NO DIABETES DM)
B00000634A|A91.23|CETONEMIA|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00065015A|A91.24|HIPERTRANSAMINASEMIA|Y|RESULTADO ANORMAL SIN EXPLICACION, TRANSAMINASAS
B00000636A|A91.25|GLUCEMIA BASAL ALTERADA|Y|GLUCEMIA BASAL ALTERADA (SIN DIABETES DM)
B00000637A|A91.26|HIPERCALCEMIA|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000638A|A91.27|PLAQUETAS ANORMALES|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000639A|A91.28|ANORMALIDAD PRUEBA SANGUINEA(INEXPLICABLE)BIOQUIMICA SANGUIN|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00010993A|A91.29|GLUCEMIA BASAL ALTERADA (SIN DIABETES DM)|Y|GLUCEMIA BASAL ALTERADA (SIN DIABETES DM)
B00000641A|A91.3|INVESTIGACIONES RESULTADOS ANORMALES OTRAS SUSTANC. ORG. NC|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000642A|A91.30|ANORMALIDAD PRUEBA SANGUINEA (INEXPLICABLE) HEMATIES NC|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000643A|A91.31|ANORMALIDAD PRUEBA SANGUINEA(INEXPLICABLE)ENZ.SERIC.INESPECI|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000644A|A91.32|HIPOFOSFATEMIA|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000645A|A91.33|INTOLERANCIA A LA GLUCOSA|Y|INTOLERANCIA A LA GLUCOSA (NO DIABETES DM)
B00000646A|A91.34|AUGMENT, AUGMENTAT ENZIMS SERICS NC|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000647A|A91.35|ACIDO URICO ELEVADO|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000648A|A91.36|HIPERURICEMIA ASINTOMATICA|Y|RESULTADO ANORMAL SIN EXPLICACION, SANGRE
B00000649A|A91.37|HIPOKALIEMIA|Y|RESULTADO ANORMAL SIN EXPLICACION, ELECTROLITOS
