AUI|CODE|STR|ISPREF|ETIQUETA_CIE9
B00000139A|A23.3|CONTACTO CON HIV / SIDA|Y|
B00000140A|A23.4|CONTACTO CON HEPATITIS B|Y|
B00000141A|A23.5|CONTACTO CON TBC|Y|
B00000142A|A23.6|CONTACTO CON VARICELA|Y|
B00000143A|A23.7|FACTOR DE RIESGO ENFERMEDAD INFECCIOSA|Y|
B00000145A|A23.9|CONTACTO SEXUAL DE RIESGO|Y|
B00000148A|A25.1|MIEDO (DE PADEC.) MUERTE|Y|
B00000152A|A26.1|MIEDO (DE PADEC.) CANCER NC (DE)|Y|
B02024197A|A27.1|MIEDO A PADECER ENFERMEDAD|Y|
B02080090A|A28.1|INCAPACIDAD (MINUSVALIA)|Y|
B00000165A|A28.2|INCAPACIDAD TRABAJAR|Y|
B00000166A|A28.3|CUIDADOS PALIATIVOS|Y|
B00000167A|A28.4|PACIENTE INMOVILIZADO|Y|
B00000171A|A29.10|CAIDAS NE|Y|CAIDA
B00000173A|A29.12|MOCO/S|Y|OTRO SIGNO/SINTOMA GENERAL
B00000175A|A29.14|LEUCOPLASIA|Y|OTRO SIGNO/SINTOMA GENERAL
B00000176A|A29.15|CAIDAS FRECUENTES|Y|CAIDA
B03273719A|A29.3|SIGNO QUEJA SINTOMA|Y|OTRO SIGNO/SINTOMA GENERAL
B00000179A|A29.4|TORPEZA|Y|OTRO SIGNO/SINTOMA GENERAL
B00000180A|A29.5|ATURDIMIENTO,EMBOTAMIENTO|Y|OTRO SIGNO/SINTOMA GENERAL
B00000181A|A29.6|ESTUPOR|Y|SENSACION DE INESTABILIDAD
B00000182A|A29.7|CAIDA|Y|CAIDA
B00000183A|A29.8|CAIDA ACCIDENTAL|Y|CAIDA
B00000184A|A29.9|CAIDA CASUAL|Y|CAIDA
B00009297A|A29.9999|PROBLEMA|Y|OTRO SIGNO/SINTOMA GENERAL
B00000193A|A30.7|REVISIONES ENFERMERIA|Y|
B01389602A|A30.8|NO ALERGIAS CONOCIDAS|Y|
B00000197A|A31.1|CRECIMIENTO VALORACION DEL|Y|
B00000199A|A31.3|NIÑO REVISION DE CRECIMIEN. EXPLORAC. PARCIAL|Y|
B00000200A|A31.4|NORMAL, EXP. DEL CRECIM.|Y|
B00000202A|A31.6|CONTROL PESO|Y|
B02419034A|A31.99|EXPLORACION MEDICA|Y|
B01187854A|A31.9999|CRIBADO|Y|
B00000207A|A33.1|AGLUTINACION (MONONUCLEOSIS)|Y|
B00000208A|A33.2|RUBEOLA TITULO|Y|
B00000209A|A33.3|PRUEBAS MICROBIOLOGICAS Y OTRAS PRUEBAS|Y|
B00000210A|A33.4|ESTUDIO ALERGICO|Y|
B00000214A|A35.1|ANALISIS DE ORINA|Y|
B00000219A|A38.1|OTROS ANALISIS DE LABORATORIO NC|Y|
B00000222A|A39.1|PRUEBAS DE FUNCION FISICA|Y|
B03003681A|A40.1|ENDOSCOPIA DIAGNOSTICA|Y|
B00481108A|A43.1|PROCEDIMIENTO DIAGNOSTICO|Y|
B11302967A|A43.-1|OTROS PROCEDIMIENTOS DIAGNOSTICOS (RESTO)|Y|
B00000231A|A44.1|INMUNIZACION DIFTERIA|Y|
B00000232A|A44.10|INMUNIZACION TIFUS|Y|
B00000233A|A44.11|INMUNIZACION VARICELA|Y|
B00000234A|A44.12|INMUNIZACION POLIOMIELITIS|Y|
B00000235A|A44.13|INMUNIZACION TETANOS|Y|
B00000236A|A44.14|INFLUENZA, GRIPE (DEMOS.) INMUNIZACION|Y|
B00000237A|A44.15|INMUNIZACION NEUMOCOCO|Y|
B00000238A|A44.16|INMUNIZACION RABIA|Y|
B00000239A|A44.17|INMUNIZACION PAROTIDITIS|Y|
B00000240A|A44.18|HEPATITIS PREVENCION DE LA|Y|
B00000241A|A44.19|INMUNIZACION|Y|
B00000242A|A44.2|INMUNIZACION DTP|Y|
B00000243A|A44.20|VACUNA|Y|
B00000244A|A44.21|VACUNACION HEPATITIS B|Y|
B00000245A|A44.3|INMUNIZACION RUBEOLA|Y|
B00000246A|A44.4|INMUNIZACION SARAMPION|Y|
B00000247A|A44.5|INMUNIZACION TOSFERINA|Y|
B00000248A|A44.6|MALARIA PROFILAXIS|Y|
B00000249A|A44.7|VACUNA TUBERCULOSIS|Y|
B00000250A|A44.8|VACUNA Y PARAVACCINIA|Y|
B02397534A|A45.1|EDUCACION SANITARIA|Y|
B11302969A|A45.-1|OBSERVACION/EDUCACION SANITARIA/CONSEJO/DIETA (RESTO)|Y|
