CIAP2|CIE9|DESCRIPTOR
N92|350.1|NEURALGIA DEL TRIGEMINO
N92|350.1|TICS DE LA NEURALGIA DEL TRIGEMINO
N93|354.0|SINDROME DEL TUNEL CARPIANO, DEL CARPO
N94|250.60|NEUROPATIA DIABETICA
N94|353.6|MIEMBRO FANTASMA (SINDROME)
N94|355.1|MERALGIA PARESTESICA
N94|355.5|SINDROME DEL TUNEL TARSIANO
N94|355.6|NEUROMA DE MORTON
N94|356.9|NEURITIS/NEUROPATIA PERIFERICA
N94|357.0|POLINEUROPATIA AGUDA INFECCIOSA
N94|357.0|SINDROME GUILLAIN-­?BARRE
N95|307.81|CEFALEA TENSIONAL
N99|046.1|ENFERMEDAD JAKOB-­?CREUTZFELDT, VACAS LOCAS
N99|331.9|DEGENERACION CEREBRAL NE
N99|331.9|DEGENERACION CEREBRAL SENIL
N99|333.1|TEMBLOR ESENCIAL/OTRA FORMA ESPECIFICADA
N99|333.3|TICS DE ORIGEN ORGANICO
N99|333.90|OTRA ENFERM. EXTRAPIRAMIDAL, TRASTORNO MOVIMIENTO Y NE
N99|334.0|ATAXIA DE FRIEDREICH
N99|335.20|ESCLEROSIS LATERAL AMIOTROFICA (ELA)
N99|335.29|ENFERMEDAD DE NEURONA MOTORA, MOTONEURONA
N99|336.0|SIRINGOMIELIA Y SIRINGOBULBIA
N99|336.1|MIELOPATIA VASCULAR
N99|336.8|OTRA MIELOPATIA
N99|336.9|OTRA ENFERMEDAD DE MEDULA ESPINAL
N99|337.9|ALTERACION DEL SISTEMA NERVIOSO AUTONOMO NE
N99|341.9|OTRA ENFERMEDAD DESMIELINIZANTE DEL SNC
N99|342.90|HEMIPARESIA
N99|342.90|HEMIPLEJIA
N99|344.1|PARAPLEJIA
N99|344.61|VEJIGA NEUROGENA
N99|344.9|PARALISIS CEREBRAL
N99|344.9|PARALISIS NE
N99|348.5|EDEMA CEREBRAL
N99|348.9|OTRA ENFERMEDAD CEREBRAL
N99|349.9|OTRA ENFERMEDAD NEUROLOGICA, SISTEMA NERVIOSO
N99|352.9|TRASTORNO DE NERVIO CRANEAL NE
N99|358.0|MIASTENIA GRAVIS
N99|359.1|DISTROFIA MUSCULAR
N99|359.9|MIOPATIA NE
N99|729.2|NEURALGIA NE
P01|300.00|SENSACION DE ANSIEDAD NE
P01|300.00|SENSACION DE ANSIEDAD/TENSION/NERVIOSISMO
P01|300.00|SENTIRSE ASUSTADO
P02|308.3|ESTRES AGUDO POSTRAUMATICO
P02|308.9|ESTRES AGUDO, REACCION
P02|308.9|SENTIMIENTO DE ESTRES
P02|308.9|SINDROME DE ACOSO EN EL CENTRO ESCOLAR
P02|308.9|SINDROME DE ACOSO EN EL TRABAJO/LABORAL
P02|309.0|REACCION DE DUELO
P02|309.29|ESTRES CULTURAL
P02|309.81|EFECTO PSICOLOGICO TARDIO DE TRAUMATISMO
P02|309.89|NOSTALGIA AGUDA
P02|309.9|AFRONTAMIENTO INEFECTIVO
P02|309.9|PROBLEMA AGUDO DE ADAPTACION, TRASTORNO ADAPTATIVO
P02|309.9|SINDROME DE DESGASTE PROFESIONAL, QUEMADO
P02|309.9|SINDROME DE LA CUIDADORA, CUIDADOR
P02|310.2|CONSECUENCIA PSICOLOGICA DE LA CONMOCION CEREBRAL
P03|307.9|SENTIRSE INSATISFECHO, INSATISFACCION
P03|307.9|SENTIRSE PREOCUPADO, PREOCUPACIONES
P03|307.9|SENTIRSE SOLO, SOLEDAD
P03|307.9|SENTIRSE TRISTE, TRISTEZA
P03|311|SENSACION/SENTIMIENTO DEPRESIVO
P03|311|SENTIRSE DEPRIMIDO
P04|799.2|AGITACION NE
P04|799.2|INQUIETO/IRRITABLE
P04|799.2|SENSACION DE AGITACION NE
P04|799.2|SENSACION DE INQUIETUD NE
P04|799.2|SENSACION, SENTIMIENTO DE COLERA
P04|799.2|SENSACION, SENTIMIENTO DE ENFADO
P04|799.2|SENSACION/SENTIMIENTO DE IRRITABILIDAD/ENOJO
P04|799.2|SENTIRSE AGITADO/IRRITABLE
P04|799.2|SENTIRSE FURIOSO
P06|307.46|SONAMBULISMO
P06|307.47|PESADILLAS
P06|347.00|NARCOLEPSIA
P06|780.50|DETERIORO DEL PATRON DEL SUEÑO
P06|780.50|SOMNOLENCIA
P06|780.50|TRASTORNO DEL SUEÑO
P06|780.50|TRASTORNO ESPECIFICO DEL SUEÑO DE ORIGEN NO ORGANICO
P06|780.52|INSOMNIO
P06|780.54|HIPERSOMNIA
P06|780.57|APNEA DEL SUEÑO
P07|302.72|DISMINUCION DEL DESEO SEXUAL
P07|302.72|FRIGIDEZ
P07|302.72|PERDIDA LIBIDO
P08|302.72|AUSENCIA/PERDIDA DE LA SATISFACCION SEXUAL
P08|302.72|DISFUNCION ERECTIL, ORIGEN NO ORGANICO
P08|302.72|IMPOTENCIA NO ORGANICA
P08|302.72|PERDIDA POTENCIA SEXUAL (NO ORGANICA)
P08|302.72|PROBLEMA POTENCIA/SATISFACCION SEXUAL
P08|302.75|EYACULACION PRECOZ
P08|302.76|DISPAREUNIA PSICOGENA
P08|302.76|VAGINISMO PSIQUICO
P09|302.70|PREOCUPACION SOBRE LA PREFERENCIA SEXUAL
P10|307.0|DISFEMIA ESPASMODICA
P10|307.0|TARTAMUDEZ
P10|307.20|TICS (ORIGEN PSICOLOGICO)
P10|307.20|TICS OCULARES
P12|307.6|ENURESIS PSICOGENA
P13|307.7|ENCOPRESIS
P15|291.0|DELIRIUM TREMENS
P15|291.2|DEMENCIA ALCOHOLICA
P15|291.81|SINDROME DE ABSTINENCIA DE ALCOHOL
P15|291.9|PSICOSIS ALCOHOLICA
P15|303.90|ABUSO CRONICO DEL ALCOHOL
P15|303.90|ALCOHOLISMO
P15|303.90|DIPSOMANIA
P15|303.90|SINDROME DE DEPENDENCIA DEL ALCOHOL
P16|305.00|BORRACHERA
P16|305.00|INTOXICACION ALCOHOLICA AGUDA (CON/SIN ABUSO CRONICO)
P17|305.1|ABUSO DEL TABACO
P17|305.1|TABACO, TABAQUISMO, FUMADOR, FUMAR
P18|305.90|ABUSO DE FARMACO (COMO SUSTANCIA PSICOACTIVA)
P18|305.90|ABUSO DE OTRO FARMACO
P18|307.59|ESTREÑIMIENTO SUBJETIVO
P19|292.0|SINDROME DE ABSTINENCIA DE DROGAS
P19|292.2|INTOXICACION PATOLOGICA POR DROGAS
P19|292.9|PSICOSIS POR DROGAS
P19|304.90|ADICCION A DROGAS (NO FARMACO)
P19|304.90|DEPENDENCIA DE DROGAS (NO FARMACO)
P19|305.90|ABUSO DE DROGAS (NO FARMACO
P20|294.0|AMNESIA
P20|294.0|DESORIENTACION, TRASTORNO MEMORIA
P20|294.0|DETERIORO DE LA MEMORIA
P20|294.0|TRASTORNO DE LA CONCENTRACION MENTAL
P20|294.0|TRASTORNO DE LA MEMORIA
P25|300.10|PROBLEMA DE LAS ETAPAS DE LA VIDA EN ADULTOS, ADULTO
P25|300.11|PROBLEMA EN LA JUBILACION
P25|300.12|SINDROME DEL NIDO VACIO
P25|300.9|CRISIS DE LA MADUREZ
P29|298.2|CONFUSION
P29|300.9|TRASTORNO EMOCIONAL EN EL ADULTO
P29|307.59|TRANSTORNO DE LA CONDUCTA ALIMENTARIA NE
P29|307.80|DOLOR PSICOGENO NE
P29|307.9|ALUCINACIONES
P29|307.9|COMERSE LA UÑA/S
P29|307.9|OTRO SIGNO/SINTOMA PSICOLOGICO/MENTAL
P29|309.9|BAJA AUTOESTIMA SITUACIONAL
P29|309.9|DESILUSION
P29|312.39|TRICOTILOMANIA
P29|312.9|COMPORTAMIENTO EXTRAÑO, ANORMAL EN ADULTOS NE, ADULTO
P70|331.0|ENFERMEDAD ALZHEIMER, DEMENCIA
P70|331.9|DEMENCIA
P70|331.9|DEMENCIA (OTRA/S CAUSA/S)
P70|331.9|DEMENCIA MIXTA
P70|331.9|DEMENCIA VASCULAR
P71|293.0|DELIRIO
P71|293.9|OTRA PSICOSIS ORGANICA
P72|295.30|ESQUIZOFRENIA/PARANOIA (CUALQUIER TIPO)
P72|295.90|ESQUIZOFRENIA
P72|295.90|TRASTORNO ESQUIZOFRENICO
P72|297.1|REACCION PARANOIDE, PARANOIA
P73|296.00|HIPOMANIA
P73|296.00|MANIA
P73|296.7|TRASTORNO BIPOLAR
P73|296.80|PSICOSIS MANIACODEPRESIVA
P73|296.80|SINDROME MANIACODEPRESIVO
P73|296.90|PSICOSIS AFECTIVA
P74|300.00|ESTADO DE ANSIEDAD
P74|300.00|TRASTORNO DE ANSIEDAD
P74|300.01|ATAQUE DE PANICO
P74|300.01|TRASTORNO DE PANICO
P74|300.02|ANSIEDAD GENERALIZADA
P75|300.10|NEUROSIS HISTERICA, HISTERIA
P75|300.11|FALSO EMBARAZO
P75|300.15|TRASTORNO DISOCIATIVO
P75|300.7|ALTERACION HIPOCONDRIACA, HIPOCONDRIA
P75|300.81|TRASTORNO DE SOMATIZACION/DE CONVERSION
P75|300.82|TRASTORNO SOMATOMORFO
P75|306.4|DIARREA PSICOGENA
P76|296.20|PSICOSIS DEPRESIVA
P76|300.4|ANSIEDAD CON DEPRESION
P76|300.4|DEPRESION NEUROTICA
P76|300.4|DEPRESION REACTIVA
P76|300.4|DISTIMIA
P76|300.4|NEUROSIS DEPRESIVA
P76|311|DEPRESION/TRASTORNO DEPRESIVO
P76|648.44|DEPRESION POSTPARTO, POSNATAL, PUERPERAL
P77|300.9|AUTOLISIS
P77|300.9|INTENTO DE SUICIDIO (ACTOS/IDEAS/IMPULSOS)
P77|300.9|SUICIDIO
P78|300.5|NEURASTENIA
P78|308.9|SURMENAGE
P79|300.20|FOBIA
P79|300.20|TRASTORNO FOBICO
P79|300.22|AGORAFOBIA
P79|300.29|AEROFOBIA, MIEDO A VOLAR
P79|300.29|CLAUSTROFOBIA
P79|300.3|NEUROSIS OBSESIVA
P79|300.3|TRASTORNO OBSESIVO COMPULSIVO
P80|298.9|PSICOPATIA
P80|300.16|NEUROSIS DE COMPENSACION
P80|301.51|SINDROME DE MUNCHAUSEN
P80|301.59|HISTRIONISMO
P80|301.59|TRASTORNO DE LA PERSONALIDAD, INMADURA
P80|301.6|TRASTORNO DE LA PERSONALIDAD, PASIVA
P80|301.7|TRASTORNO DE LA PERSONALIDAD, ASOCIAL
P80|301.81|NARCISISMO
P80|301.9|PROBLEMA PERSONALIDAD NE
P80|301.9|TRASTORNO DE PERSONALIDAD
P80|312.31|LUDOPATIA
P80|312.32|CLEPTOMANIA
P80|312.9|TRASTORNO DE LA CONDUCTA DEL ADULTO
P82|308.3|ESTRES POSTRAUMATICO
P82|308.3|NEUROSIS TRAUMATICA
P82|309.0|DUELO DISFUNCIONAL/PATOLOGICO
P82|309.9|TRASTORNO PERSISTENTE DE ADAPTACION
P85|319|DEFICIENCIA MENTAL
P85|319|DEFICIENCIA MENTAL, RETRASO, SUBNORMALIDAD
P85|319|OLIGOFRENIA
P85|319|RETRASO MENTAL
P85|319|SUBNORMALIDAD MENTAL
P86|307.1|ANOREXIA NERVIOSA
P86|307.51|BULIMIA
P98|298.2|CONFUSION REACTIVA
P98|298.8|OTRA PSICOSIS NE
P98|298.8|PSICOSIS AGUDA NE
P98|298.8|PSICOSIS REACTIVA
P98|298.8|PSICOSIS TEMPORAL
P98|648.44|PSICOSIS PUERPERAL
P99|299.00|AUTISMO
P99|300.9|ENFERMEDAD MENTAL NE
P99|300.9|NEUROSIS NE
P99|307.9|OTRO PROBLEMA PSICOLOGICO/MENTAL
R01|786.52|DOLOR ATRIBUIDO AL APARATO RESPIRATORIO
R01|786.52|DOLOR PLEURITICO, PLEURODINIA
R01|786.52|RESPIRACION DOLOROSA, DOLOR AL RESPIRAR
R02|786.02|ORTOPNEA
R02|786.09|FATIGA RESPIRATORIA/DISNEA
R03|786.00|ANORMALIDAD RUIDO/S RESPIRATORIO/S
R03|786.07|RESPIRACION JADEANTE, JADEO, JADEAR
R03|786.7|RESPIRACION RUIDOSA
R03|786.7|RESPIRACION SIBILANTE, SIBILANCIAS
R03|786.7|RONCUS
R04|786.00|RESPIRACION ANORMAL
R04|786.03|APNEA
R04|786.06|TAQUIPNEA
R04|786.09|DISTRES RESPIRATORIO
R04|786.09|OTRO PROBLEMA DE LA RESPIRACION
R04|786.09|PATRON RESPIRATORIO INEFICAZ
R04|786.09|RONCAR, RONQUIDOS
R04|786.1|ESTRIDOR
R04|786.52|QUEJA, SIGNO/SINTOMA RESPIRACION
R05|786.2|TOS
R05|786.2|TOS INEXPLICADA PRODUCTIVA / HUMEDA
R05|786.2|TOS INEXPLICADA SECA
R06|784.7|EPISTAXIS, HEMORRAGIA NASAL, SANGRADO
R07|460|CONGESTION NASAL
R07|460|ESTORNUDOS
R07|460|ESTORNUDOS/CONGESTION NASAL
R07|460|HIPERSECRECION NASAL
R07|460|RINORREA, SECRECION NASAL ACUOSA, GOTEO
R07|460|SENSACION DE TAPONAMIENTO NASAL
R08|478.19|DOLOR NASAL, NARIZ
R08|478.19|GOTEO RETRONASAL, NARIZ
R08|478.19|OTRO SIGNO/SINTOMA NASAL, NARIZ
R08|478.19|PICOR DENTRO DE LA NARIZ
R08|478.19|ULCERA NASAL
R09|461.9|CONGESTION DE SENOS PARANASALES
R09|461.9|DOLOR/PRESION DE SENOS PARANASALES
R09|461.9|SIGNO/SINTOMA DE LOS SENOS PARANASALES
R09|461.9|TAPONAMIENTO DE SENOS PARANASALES
R21|210.9|BULTO MASA GARGANTA
R21|462|SIGNO/SINTOMA FARINGE
R21|463|DOLOR DE AMIGDALAS
R21|463|DOLOR DE GARGANTA
R21|463|FARINGE ENROJECIDA, GARGANTA ROJA
R21|463|INFLAMACION DE AMIGDALAS
R21|463|SEQUEDAD DE AMIGDALAS
R21|463|SEQUEDAD/DOLOR/INFLAMACION DE GARGANTA/FARINGE/AMIGDALAS
R21|463|SIGNO/SINTOMA AMIGDALAS
R21|463|SIGNO/SINTOMA GARGANTA
R21|463|SIGNO/SINTOMA GARGANTA/FARINGE/AMIGDALAS
R23|784.40|SIGNO/SINTOMA DE LA VOZ
R23|784.41|AFONIA
R23|784.41|AUSENCIA DE VOZ
R23|784.41|PERDIDA DE VOZ
R23|784.49|DISFONIA
R23|784.49|RONQUERA
R24|786.3|HEMOPTISIS, HEMOPTOICO, ESPUTO SANGRE
R25|786.4|EXPECTORACION, FLEMAS, ESPUTO ANORMAL
R28|786.9|INCAPACIDAD/MINUSVALIA ATRIBUIBLE A APARATO RESPIRATORIO
R28|786.9|LIMPIEZA INEFICAZ DE LAS VIAS AEREAS
R28|33.50|TRASPLANTE PULMON (TRANSPLANTE)
R28|33.6|TRASPLANTE PULMON Y CORAZON (TRANSPLANTE)
R29|518.4|CONGESTION PULMONAR
R29|518.4|LIQUIDO EN EL PULMON
R29|786.59|OPRESION TORACICA (APARATO RESPIRATORIO)
R29|786.8|HIPO
R29|786.9|OTRO SIGNO/SINTOMA DEL APARATO RESPIRATORIO
R71|033.9|TOSFERINA
R72|034.0|AMIGDALITIS ESTREPTOCOCICA, ANGINAS
R72|034.0|FARINGITIS ESTREPTOCOCICA
R72|034.0|FARINGITIS/AMIGDALITIS ESTREPTOCOCICA
R72|034.0|FARINGOAMIGDALITIS ESTREPTOCOCICA
R72|034.0|INFECCION ESTREPTOCOCICA GARGANTA
R73|478.19|FORUNCULO/ABSCESO DE LA NARIZ, NASAL
R73|478.19|INFECCION LOCALIZADA EN LA NARIZ
R74|460|CATARRO ALTO
R74|460|RESFRIADO COMUN, CATARRO, CORIZA
R74|460|RINITIS INFECCIOSA AGUDA
R74|460|RINOFARINGITIS AGUDA, NASOFARINGITIS
R74|462|FARINGITIS AGUDA
X20|611.79|SIGNO/SINTOMA PEZON (MAMA FEM)
X21|611.0|MASTITIS FUERA DE LA LACTACION, MAMA FEMENINA
X21|611.0|ABSCESO MAMARIO, MAMA FEMENINA (NO PUERPERAL)
X21|611.1|HIPERTROFIA MAMARIA, MAMA FEMENINA
X21|611.6|GALACTORREA (MAMA FEM)
X21|611.79|OTRO SIGNO/SINTOMA MAMA, MAMARIO (FEM)
X21|611.8|PIEL DE NARANJA (MAMA FEM)
X28|611.8|INCAPACIDAD/MINUSVALIA ATRIBUIBLE AP. GENITAL FEMENINO/MAMAS
X29|597.80|SECRECION URETRAL FEMENINA
X29|611.8|OTRO SIGNO/SINTOMA DEL APARATO GENITAL FEMENINO/MAMAS
X70|097.9|SIFILIS EN LA MUJER (CUALQUIER LOCALIZACION)
X71|098.0|INFECCION GONOCOCICA, GONORREA, MUJER (CUALQUI LOCALIZACION)
X72|112.1|CANDIDIASIS GENITAL, EN LA MUJER
X72|629.89|AFTA GENITAL EN LA MUJER
X73|131.01|TRICOMONIASIS GENITAL, EN LA MUJER
X74|614.0|SALPINGITIS (FALOPIO)
X74|614.0|OOFORITIS
X74|614.9|ENFERMEDAD INFLAMATORIA PELVICA EN LA MUJER
X74|615.9|ENDOMETRITIS
X75|180.9|NEOPLASIA M CERVIX UTERINO, CUELLO UTERO
X76|174.9|CARCINOMA INTRADUCTAL, MAMA MUJER
X76|174.9|NEOPLASIA M MAMA MUJER
X77|179|NEOPLASIA M UTERO
X77|183.0|NEOPLASIA M DE OVARIO
X77|183.9|NEOPLASIA M ANEJO UTERINO
X77|184.0|NEOPLASIA M DE VAGINA
X77|184.4|NEOPLASIA M DE VULVA
X77|184.9|OTRA NEOPLASIA M APARATO GENITAL FEMENINO
X78|218.9|MIOMA UTERINO
X78|219.0|FIBROMIOMA DE CUELLO UTERO, UTERINO
X78|219.9|FIBROMA UTERINO, UTERO
X79|217|NEOPLASIA BENIGNA MAMA FEMENINA
X79|610.2|FIBROADENOMA MAMA FEMENINA
X80|219.0|POLIPO CERVICAL ADENOMATOSO, UTERO
X80|221.9|OTRA NEOPLASIA BENIGNA APARATO GENITAL FEMENINO
X81|174.9|CARCINOMA IN SITU MAMA FEMENINA
X81|180.9|CARCINOMA IN SITU CUELLO UTERO
X81|180.9|NEOPLASIA CERVICAL INTRAEPITELIAL (CIN) GRADO 3 TRAS BIOPSIA
X81|184.9|CARCINOMA IN SITU APARATO GENITAL FEMENINO
X81|184.9|NEOPLASIA INESPECIFICA APARATO GENITAL FEMENINO
X81|221.9|OTRA NEOPLASIA APARATO GENITAL FEMENINO
X82|922.4|LESION DE ORGANO PELVICO SEXUAL FEMENINO
X82|922.4|LESION GENITAL FEMENINA
X82|939.2|CUERPO EXTRAÑO EN TRACTO GENITAL FEMENINO
X83|752.7|HERMAFRODITISMO (MUJER)
X83|752.9|ANOMALIA CONGENITA DEL APARATO GENITAL FEMENINO
X84|616.10|VAGINITIS NE
X84|616.10|VAGINITIS/VULVITIS NE
X84|616.10|VAGINOSIS
X84|616.10|VULVITIS NE
X85|616.0|CERVICITIS
X85|616.89|OTRO PROBLEMA DE CUELLO DE UTERO
X85|622.0|EROSION CUELLO UTERINO
X85|622.10|DISPLASIA CERVICAL, CIN 1 Y 2 TRAS BIOPSIA
X85|622.2|LEUCOPLASIA CERVICAL
X85|622.3|DESGARRO ANTIGUO CUELLO UTERO
X85|622.7|POLIPO CERVICAL MUCOSO
X86|622.10|DISPLASIA CERVICAL, CIN 1, 2 Y 3 SIN BIOPSIA
X86|795.00|CITOLOGIA DE CUELLO DE UTERO ANORMAL NE
X86|795.00|PAPANICOLAU ANORMAL/INESPECIFICO, FROTIS CERVIX
X87|618.00|CISTOCELE
X87|618.04|RECTOCELE
X87|618.1|PROCIDENCIA
X87|618.4|PROLAPSO UTEROVAGINAL, UTERO/VAGINA
X88|610.0|QUISTE SOLITARIO MAMARIO
X88|610.1|MASTOPATIA FIBROQUISTICA, MAMA
X88|610.2|FIBROADENOSIS QUISTICA MAMA MUJER
X88|610.9|DISPLASIA MAMARIA
X89|625.4|SINDROME DE TENSION PREMENSTRUAL
X90|054.10|HERPES SIMPLE ANOGENITAL EN LA MUJER, FEMENINO
X90|054.10|HERPES SIMPLE GENITAL EN LA MUJER, FEMENINO
X91|078.11|CONDILOMA ACUMINADO EN LA MUJER, FEMENINO
X91|078.19|VERRUGA GENITAL, EN LA MUJER
X92|099.55|INFECCION GENITAL FEMENINA POR CLAMIDIAS, CHLAMYDIA
X99|099.0|CHANCROIDE, EN LA MUJER
X99|099.1|LINFOGRANULOMA VENEREO, EN LA MUJER
X99|099.2|GRANULOMA INGUINAL, EN LA MUJER
X99|099.8|OTRA ENFERMEDAD VENEREA ESPECIFICADA, MUJER
X99|219.9|POLIPO ENDOMETRIAL
X99|611.9|OTRA ENFERMEDAD DE LA MAMA FEMENINA
X99|616.2|QUISTE BARTHOLINO
X99|616.3|ABSCESO BARTHOLINO
X99|617.9|ENDOMETRIOSIS
X99|619.9|FISTULA DEL TRACTO GENITAL FEMENINO
X99|620.2|QUISTE OVARICO FISIOLOGICO, OVARIO
X99|625.5|SINDROME CONGESTION PELVICA
X99|629.9|OTRA ENFERMEDAD DEL APARATO GENITAL FEMENINO
Y01|607.9|DOLOR EN EL PENE
Y02|608.9|DOLOR ESCROTO
Y02|608.9|DOLOR TESTICULO
Y02|608.9|DOLOR EN PERINE/PELVIS EN EL VARON
Y03|597.80|SECRECION URETRAL, URETRA, EN EL VARON
Y04|607.2|PREPUCIO INFLAMACION, TUMEFACCION
Y04|607.2|INFLAMACION PENE NE
Y04|607.89|ULCERA, ULCERACION PENE
Y04|607.9|OTRO SIGNO/SINTOMA DEL PENE
Y04|607.9|OTRO SIGNO/SINTOMA DEL PREPUCIO
Y05|222.0|MASA, BULTO EN TESTICULO
Y05|604.90|INFLAMACION TESTICULAR, TESTICULO
Y05|604.90|INFLAMACION ESCROTO
Y05|608.9|OTRO SIGNO/SINTOMA DEL ESCROTO
Y05|608.9|OTRO SIGNO/SINTOMA TESTICULO/S
Y05|698.1|PRURITO ESCROTAL, ESCROTO
Y05|698.1|PRURITO, PICOR TESTICULO/S
Y06|601.0|INFLAMACION PROSTATA, PROSTATICA
Y06|601.0|PROSTATISMO
Y06|602.9|DOLOR PROSTATA
Y06|602.9|SIGNO/SINTOMA PROSTATA, PROSTATICO NC
Y07|607.84|DISFUNCION ERECTIL, ORIGEN ORGANICO
Y07|607.84|IMPOTENCIA ORGANICA NE, EN EL VARON
Y08|607.3|PRIAPISMO
Y10|606.0|AZOOSPERMIA
Y10|606.1|OLIGOSPERMIA
Y10|606.9|ESTERILIDAD MASCULINA
Y10|606.9|INFERTILIDAD MASCULINA
Y13|63.73|ESTERILIZACION MASCULINA
Y13|63.73|PLANIFICACION FAMILIAR POR ESTERILIZACION MASCULINA
Y13|63.73|VASECTOMIA
Y16|217|BULTO MAMA MASCULINA, VARON
Y16|217|GINECOMASTIA MASCULINA
Y16|217|SIGNO/SINTOMA MAMA, MAMARIO (MASCULINO), VARON
Y28|608.9|INCAPACIDAD/MINUSVALIA ATRIBUIBLE A AP. GENITAL MASCULINO
Y29|608.9|OTRO SIGNO/SINTOMA DEL APARATO GENITAL MASCULINO
Y70|091.0|SIFILIS EN EL VARON (CUALQUIER LOCALIZACION)
Y71|098.0|INFECCION GONOCOCICA, GONORREA VARON (CUALQUI LOCALIZACION)
Y71|098.0|URETRITIS GONOCOCICA MASCULINA
Y71|098.13|ORQUITIS GONORREICA
Y72|054.10|HERPES SIMPLE GENITAL, ANOGENITAL MASCULINO
Y73|601.0|PROSTATITIS AGUDA
Y73|601.0|PROSTATITIS, INFLAMACION PROSTATICA
Y73|601.1|PROSTATITIS CRONICA
Y73|601.2|ABSCESO PROSTATICO
Y73|601.3|PROSTATOCISTITIS
Y73|608.0|VESICULITIS SEMINAL
Y74|604.0|ABSCESO EPIDIDIMARIO, EPIDIDIMO
Y74|604.0|ABSCESO TESTICULAR
Y74|604.90|EPIDIDIMITIS
Y74|604.90|ORQUITIS
Y74|604.90|ORQUITIS Y EPIDIDIMITIS
Y75|112.2|CANDIDIASIS UROGENITAL MASCULINA, VARON
Y75|607.1|BALANITIS, BALANOPOSTITIS
Y76|078.11|CONDILOMA ACUMINADO MASCULINO, VARON
Y76|078.19|VERRUGA VENEREA, VARON
Y77|185|NEOPLASIA M PROSTATA
Y78|175.9|NEOPLASIA M MAMA MASCULINA, VARON
Y78|186.9|NEOPLASIA M TESTICULO
Y78|186.9|SEMINOMA
Y78|187.9|OTRA NEOPLASIA M APARATO GENITAL MASCULINO
Y79|217|NEOPLASIA BENIGNA MAMA MASCULINA VARON
Y79|217|NEOPLASIA INESPECIFICA MAMA MASCULINA VARON
Y79|222.0|NEOPLASIA BENIGNA DE TESTICULO
Y79|222.1|NEOPLASIA BENIGNA DE PENE
Y79|222.3|NEOPLASIA BENIGNA DE EPIDIDIMO
Y79|222.4|NEOPLASIA BENIGNA DE ESCROTO
Y79|222.9|NEOPLASIA BENIGNA APARATO GENITAL MASCULINO, VARON
Y79|222.9|NEOPLASIA INESPECIFICA APARATO GENITAL MASCULINO, VARON
Y80|878.9|LESION DEL APARATO GENITAL MASCULINO, VARON
Y80|878.9|AMPUTACION TRAUMATICA GENITAL VARON
Y80|922.4|LESION DE ORGANO PELVICO SEXUAL MASCULINO
Y80|64.0|CIRCUNCISION MASCULINA
Y81|605|FIMOSIS
Y81|605|PARAFIMOSIS
Y81|605|PREPUCIO EXCESIVO
Y82|752.61|HIPOSPADIAS
Y83|752.51|TESTICULO NO DESCENDIDO, CRIPTORQUIDIA
Y84|752.52|TESTICULO RETRACTIL/EN ASCENSOR
Y84|752.9|OTRA ANOMALIA CONGENITA DEL APARATO GENITAL MASCULINO
Y85|600.00|ADENOMA, FIBROMA, HIPERPLASIA DE PROSTATA
Y85|600.00|HIPERTROFIA BENIGNA DE PROSTATA
Y85|600.00|OBSTRUCCION PROSTATICA, PROSTATA
Y85|600.00|PROSTATOMEGALIA
Y86|603.9|HIDROCELE
Y99|099.0|CHANCROIDE, VARON
Y99|099.0|CHANCRO BLANDO, VARON
Y99|099.1|LINFOGRANULOMA VENEREO, VARON
Y99|099.2|GRANULOMA INGUINAL, VARON
Y99|099.9|OTRA ENFERMEDAD VENEREA, VARON
Y99|217|OTRA ENFERMEDAD DE LA MAMA MASCULINA, VARON
Y99|602.0|CALCULO PROSTATICO
Y99|602.9|OTRA ALTERACION PROSTATICA, PROSTATA
Y99|607.84|PROBLEMA SEXUAL DISFUNCION MASCULINA ORGANICA NC
Y99|608.1|ESPERMATOCELE
Y99|608.20|TORSION DEL TESTICULO
Y99|608.89|QUISTE DE EPIDIDIMO
Y99|608.9|OTRA ENFERMEDAD DEL APARATO GENITAL MASCULINO, VARON
U77|189.9|OTRA NEOPLASIA M DEL APARATO URINARIO
U78|223.0|NEOPLASIA BENIGNA RIÑON, RENAL
U78|223.2|NEOPLASIA BENIGNA DE URETER
U78|223.3|NEOPLASIA BENIGNA DE VEJIGA
U78|223.3|PAPILOMA DE VEJIGA URINARIA
U78|223.81|NEOPLASIA BENIGNA URETRA
U78|223.9|NEOPLASIA BENIGNA APARATO URINARIO (CUALQUIER PARTE)
U78|223.9|POLIPO TRACTO URINARIO
U79|223.9|NEOPLASIA NE DEL APARATO URINARIO
U80|866.01|CONTUSION RENAL, RIÑON
U80|867.8|LESION APARATO URINARIO
U80|939.9|CUERPO EXTRAÑO EN EL TRACTO URINARIO
U85|753.0|AGENESIA Y DISGENESIA RENAL
U85|753.19|POLIQUISTOSIS RENAL
U85|753.19|RIÑON POLIQUISTICO CONGENITO
U85|753.3|DUPLICACION RENAL, RIÑON
U85|753.3|RIÑON EN HERRADURA
U85|753.4|DUPLICACION URETERAL, RIÑON
U85|753.5|EXTROFIA VESICAL
U85|753.6|ATRESIA Y ESTENOSIS URETRAL Y CUELLO DE VEJIGA
U85|753.9|ANOMALIA CONGENITA DEL APARATO URINARIO
U88|580.9|NEFROPATIA
