descriptor_bueno,descriptor_malo
MIOCARDIOPATIA HIPERTROFICA PER HTA,HTA CON ENFERMEDAD CARDIACA
"SINTOMA, QUEJA, SIGNO MANO NC",INFLAMACION DE MANO OSTEOMUSCULAR - DERECHO/A
NEOPLASIA MALIGNA MAMA FEMENINA,CANCER DE MAMA \(MUJER\) - IZQUIERDO/A
DOLOR ARTICULACION TEMPOROMANDIBULAR,ARTRITIS TEMPOROMANDIBULAR
FRACTURA DE FEMUR (RESTO),FRACTURA DE FEMUR - DERECHO/A
LESION SUPERFICIAL DEL OIDO/OREJA,LESION SUPERFICIAL DE LA OREJA - DERECHO/A
ADENOCARCINOMA DE COLON,ADENOMA DE COLON
DOLOR TORAX CARDIACO NC,DOLOR TORACICO ATRIBUIDO AL CORAZON
"GEOGRAFICA, LENGUA",LENGUA DEPAPILADA
PARTO NORMAL NACIDO VIVO(S),PARTO NORMAL NACIDO VIVO NIÑA
DOLOR GASES NC,DOLOR POR GASES INTESTINALES
INTOXICACION ALCOHOLICA AGUDA (CON/SIN ABUSO CRONICO),INTOXICACION AGUDA POR ALCOHOL
NEOPLASIA MALIGNA MAMA FEMENINA,CANCER DE MAMA \(MUJER\) - DERECHO/A
"RESULTADO ANORMAL, PLAQUETAS",DISMINUCION DE PLAQUETAS
NODUL MAMARI NCD01,NODULO MAMARIO \(MUJER\) - DERECHO/A
LUMBOCIATICA/CIATICA,LUMBOCIATICA DECHA
ABRASION/AMPOLLAS/ARAÑAZOS (CON ROTURA SUP. CUTANEA),ARAÑAZO
CAIDA ACCIDENTAL,CAIDA ACCID MISMO NIVEL POR RESBALON TRASPIES O TROPIEZO
LUXACION (ARTICULAC.) DEDO,LUXACION DE DEDO MANO - IZQUIERDO/A
TENDINITIS CODO,TENDINITIS DE CODO - IZQUIERDO/A
FRACTURA METACARPO,FRACTURA DEL METACARPO - IZQUIERDO/A
"SINTOMA, QUEJA, SIGNO DEDOS (MANOS) NC",INFLAMACION DEDOS DE MANO OSTEOMUSCULAR - DERECHO/A
ABRASION PIEL,ESCORIACION
PINGUECULITIS (PIGUENCULA),PINGUECULA
COLITIS / ENTERITIS / GASTROENTERITIS PRESUNTA INFECCIOS,COLITIS / ENTERITIS / GASTROENTERITIS PRESUNTA INFECCIOSA
BRONQUITIS ASMATICA NC,BRONQUITIS ASMATICA NC 1ª
PARTO NORMAL NACIDO VIVO(S),PARTO NORMAL NACIDO VIVO NIÑO
"SINTOMA, QUEJA, SIGNO MUÑECA NC",INFLAMACION DE MUÑECA OSTEOMUSCULAR - DERECHO/A
OTITIS MEDIA AGUDA NC,OTITIS MEDIA \(AGUDA\) O\.D\.
"SINTOMA, QUEJA, SIGNO MUSLO NC","SINTOMA, SIGNO MUSLO - DERECHO/A"
HERNIA INGUINOESCROTAL UNILATERAL (DERECHA O IZQDA),HERNIA INGUINOESCROTAL - DERECHO/A
SINDROME SJIGREN,SINDROME SJÖGREN
"HEMORRAGIA, SANGRADO NE",SANGRADO NO ESPECIFICADO
INSUFICIENCIA RENAL CRONICA ESTADIO 3,INSUFICIENCIA RENAL CRONICA/3A
ANORMAL MARCHA NEUROLOGICA,ALTERACION MARCHA ORIGEN NEUROLOGICO
DOLOR MAMA NC,MASTALGIA \(MUJER\) - IZQUIERDO/A
"ECCEMA CONDUC. AUD. EXT., DEL NC",ECCEMA CAE - IZQUIERDO/A
ABUSO/CONSUMO EXCESIVO ALCOHOL,CONSUMO PERJUDICIAL DE ALCOHOL
"DEFICIENCIA HIERRO, FERROPENIA SIN ANEMIA",FERROPENIA SIN ANEMIA
DOLOR TORAX CARDIACO NC,OPRESION DE TORAX ATRIBUIDA AL CORAZON
EXANTE. (PIEL). VEASE RASH,EXANTE\. \(PIEL\)\. VÉASE RASH
TROMBOSIS VENOSA PROFUNDA (TVP) PIERNA/S,TROMBOSIS VENOSA PROFUNDA - DERECHO/A
DOLOR MAMA NC,MASTODINIA \(MUJER\) - AMBOS/AS
ROTURA ESPONTANEA DE TENDON,ROTURA DE TENDON
LARINGOTRAQUEOBRONQUITIS,LARINGOBRONQUITIS AGUDA
EDEMA MALEOLAR,EDEMA MALEOLAR - IZQUIERDO/A
"SINTOMA, QUEJA, SIGNO TESTICULOS NC","SINTOMA, SIGNO DE TESTICULO - IZQUIERDO/A"
"HEMORRA., SANGR. NC ENCIAS",SANGRADO EN LAS ENCIAS
"SINTOMA, QUEJA, SIGNO AMIGDALAS","SINTOMA, SIGNO AMIGDALAR"
OTRO SIGNO/SINTOMA DEL PREPUCIO,"SINTOMA, SIGNO DEL PREPUCIO"
TENOSINOVITIS,TENOSINOVITIS - IZQUIERDO/A
CONTRACTURA DE DUPUYTREN,ENFERMEDAD DE DUPUYTREN - DERECHO/A
EXANTEMA/ERITEMA CON FIEBRE,FIEBRE CON EXANTEMA
EPOC GRAVE,EPOC MIXTO EPOC-ASMA
PROSTATITIS,PROSTATITIS AGUDA BACTERIANA
EPOC GRAVE,EPOC NO AGUDIZADOR CON BRONQUITIS CRONICA
DOLOR HOMBRO NC,OMALGIA - AMBOS/AS
ARRITMIA SINUSAL,ARRITMIA SINUSAL RESPIRATORIA
"SINTOMA, QUEJA, SIGNO VEJIGA NC","SINTOMA, SIGNO DE VEJIGA"
SINDROME DISCAL CERVICAL,DISCOPATIA CERVICAL
"LESION Y TRAUMATISMO DE LA NARIZ, NASAL",LESION NASAL
LESION OIDO PERFORAC. TIMPANO NC,PERFORACION TIMPANICA - IZQUIERDO/A
DEDO EN RESORTE,DEDO EN GATILLO - IZQUIERDO/A
INSUFICIENCIA RENAL CRONICA,INSUFICIENCIA RENAL CRONICA 3B
INSUFICIENCIA RENAL CRONICA,INSUFICIENCIA RENAL CRONICA/II
"INFECCION, APARATO RESPIRATORIO ALTA NC (IRA)",INFECCION VIAS RESPIRAT\. SUPERIOR LOCALIZACION NO ESPECIFICA
"DISTENSION, ESGUINCE NC DEDO (PIE/MANO)",ESGUINCE DE DEDOS PIE
"EXTRAÑO, CUERPO OJO",CUERPO EXTRAÑO CONJUNTIVAL - IZQUIERDO/A
VALVULOPATIA,VALVULOPATIA NO ESPECIFICADA
EDEMA MALEOLAR,EDEMA MALEOLAR - DERECHO/A
"INFLAMACION, PENE NC",INFLAMACION EN EL PENE
DOLOR MUÑECA NC,DOLOR DE MUÑECA - AMBOS/AS
"SINTOMA, QUEJA, SIGNO ENCIAS NC",INFLAMACION DE LAS ENCIAS
LAGRIMEO,LAGRIMEO - IZQUIERDO/A
ESTREÑIMIENTO,ESTREÃ‘IMIENTO
MIGRAÑA / JAQUECA,MIGRAÃ‘A / JAQUECA
ESTREÑIMIENTO,HECES DURAS \(ESTREÃ‘IMIENTO\)
MIGRAÑA,MIGRAÃ‘A
CANSANCIO GENERAL  DEBILIDAD,CANSANCIO \(GENERAL\)\. VÃ©ASE DEBILIDAD
UÑA ENCARNADA,UÃ‘A ENCARNADA
OTRAS ENFERMEDADES DE LAS UÑAS,ENFERMEDAD UÃ‘AS NC
DOLOR MUÑECA NC,DOLOR MUÃ‘ECA NC
UÑA ENCARNADA,"INCARNADA, UÃ‘A DEL PIE"
SIGNO/SINTOMA DEL COMPORTAMIENTO DEL NIÑO,DISTUR\./ALTER\. COMPORTAMIENTO NIÃ‘O
"INFECCION, UÑA NC","INFECCION, UÃ‘A NC"
"EXTRAÑO, CUERPO OJO","EXTRAÃ‘O, CUERPO OJO"
APNEA OBSTRUCTIVA (SUEÑO),SINDROME DE APNEA OBSTRUCTIVA DEL SUEÃ‘O
HIPEROSTOSIS VERTEBRAL ANQUILOSANTE,ESPONDILITIS ANQUILOSANTE
DERMATITIS DEL PAÑAL NC,DERMATITIS DEL PAÃ‘AL NC
UÑA ENCARNADA,"ENCARNADA, UÃ‘A"
ESTREÑIMIENTO,ESTREÂ¥IMIENTO
"SINTOMA, QUEJA, SIGNO MUÑECA NC","SINTOMA, QUEJA, SIGNO MUÃ‘ECA NC"
"DISTENSION, ESGUINCE NC MUÃ‘ECA","DISTENSION, ESGUINCE NC MUÑECA"
APNEA OBSTRUCTIVA (SUEÑO),APNEA DEL SUEÃ‘O \(SINDROME\)
DERMATITIS DEL PAÑAL NC,DERMATITIS DEL PAÃ‘AL
PROBLEMA ASPECTO UÑA(S) NC,ALTERACION EN ASPECTO DE LAS UÃ‘AS
DOLOR MUÑECA NC,DOLOR DE MUÃ‘ECA - DERECHO/A
DOLOR MUÑECA NC,DOLOR MUÃ‘ECA MUSCULO ESQUELETI\. NC
ESTREÑIMIENTO,HECES DURAS \(ESTREÂ¥IMIENTO\)
NEVUS CAMBIO COLOR/TAMAÐO,NEVUS CAMBIO COLOR/TAMAÃ‘O
DOLOR MUÑECA NC,DOLOR DE MUÃ‘ECA - IZQUIERDO/A
"MIGRAÑA CLASICA, COMUN","MIGRAÃ‘A CLASICA, COMUN"
COJERA (CONG.). VEASE SINT. POR REGIONES,COJERA \(CONG\.\)\. VÃ©ASE SINT\. POR REGIONES
POBRE GANANCIA DE PESO (NIÑOS),POBRE GANANCIA DE PESO \(NIÃ‘OS\)
GRANULOMA CUERPO EXTRAÐO,GRANULOMA CUERPO EXTRAÃ‘O
REACCION ALERGICA NC,REACCION ALÃ‰RGICA
"COAGULACION DEFECTO, ALTER. DE LA",ALTERACIONES DE LA COAGULACIÃ“N \(TAO\)
SINDROME SJIGREN,SINDROME SJÃ–GREN
SIGNO/SINTOMA DEL COMPORTAMIENTO DEL NIÑO,COMPORTAMIENTO EXTRAÃ‘O NC NIÃ‘O
"SINTOMA, QUEJA, SIGNO MUÑECA NC","SINTOMA, SIGNO MUÃ‘ECA - DERECHO/A"
ESGUINCES Y TORCEDURAS DE MUÑECA Y MANO,ESGUINCE DE MUÃ‘ECA
TRASTORNO DEL SUEÑO,TRASTORNO DEL SUEÃ‘O
CUERPO EXTRAÑO EN LA PIEL,CUERPO EXTRAÃ‘O EN PIEL
MIGRAÑA / JAQUECA CON AURA,MIGRAÃ‘A CON AURA
"SINTOMA, QUEJA, SIGNO MUÑECA NC","SINTOMA, SIGNO MUÃ‘ECA - IZQUIERDO/A"
"EXTRAÑO, CUERPO OJO",CUERPO EXTRAÃ‘O OCULAR - IZQUIERDO/A
"EXTRAÑO, CUERPO OJO",CUERPO EXTRAÃ‘O OCULAR - DERECHO/A
SIGNO/SINTOMA DEL COMPORTAMIENTO DEL NIÑO,TRASTORNO DEL COMPORTAMIENTO EN EL NIÃ‘O
VOMITO ALIMENTICIO (NIÑOS),VOMITO ALIMENTICIO \(NIÃ‘OS\)
TIÑA,TIÃ‘A
MIGRAÑA HEMILATERAL,MIGRAÃ‘A HEMILATERAL
DEGLUCION CUERPO EXTRAÑO,DEGLUCION CUERPO EXTRAÃ‘O
"CEFALEA, MIGRAÑA NC","CEFALEA, MIGRAÃ‘A NC"
APNEA OBSTRUCTIVA (SUEÑO),APNEA OBSTRUCTIVA \(SUEÃ‘O\)
UÑA DISTROFICA,UÃ‘AS DISTROFICAS
"AVULSION DE LA UÑA, UNGUEAL",AVULSION DE UÃ‘A
CUERPO EXTRAÑO EN LA PIEL,"EXTRAÃ‘O, CUERPO PIEL"
ANOREXIA (NO PSICOG.) NIÐO,ANOREXIA \(NO PSICOG\.\) NIÃ‘O
NERVIOS/ANSIEDAD,"NERVIOS/ANSIEDAD NERVIOSO, NIÃ‘O"
DEFICIT VITAMINA D,VITAMINAS DEFICIENCIA D3
INMOVILIZADO-ATENCION A DOMICILIO,INMOVILIZADO \(INCAPACIDAD ANDAR\)
TRASTORNO DEL SUEÑO,"SUEÃ‘O, ALTERACION\. DEL"
PROBLEMA DE CONDUCTA DE NIÑOS,NIO PROBL\. DE CONDUCTA
MIGRAÑA,MIGRAÃ‘A SIN AURA
UÑA ENCARNADA,"CRECIDA, UÃ‘A"
"AUMENTO, AUMENTADO. VELOCIDAD DE","VELOCIDAD DE SEDIM\., ELEV\."
MIGRAÑA OFTALMICA,MIGRAÃ‘A OFTALMICA
"BLOQUEO, AURICULOVENTRICULAR PRIMER GRADO",BLOQUEO AV PRIMER GRADO
CUERPO EXTRAÑO EN   FARINGE,CUERPO EXTRAÃ‘O EN FARINGE
LLANTO (EXCESIVO) NIÐO/ADOLESCENTE,NIÃ‘O LLANTO
VOMITO ALIMENTICIO (NIÑOS),"VOMITO, VOMITOS ALIMENTICIOS \(NIÃ‘OS\)"
"HIPERACTIVO, NIÐO","HIPERACTIVO, NIÃ‘O"
DOLOR PRECORDIAL NC,OPRESION PRECORDIAL
UÑA ROTURA DE,UÃ‘AS FRAGILES
"EXTRAÑO, CUERPO OIDO","EXTRAÃ‘O, CUERPO OIDO"
CUERPO EXTRAÑO EN TRACTO DIGESTIVO,CUERPO EXTRAÃ‘O EN APARATO DIGESTIVO
TRASTORNO DEL SUEÑO,DISTUR\./ALTER\. SUEÃ‘O
VARICES EXTREMIDAD INFERIOR (DCHA o IZQDA),VARICES EEII - IZQUIERDO/A
QUISTE ENDOMETRIOSICO OVARICO,QUISTE OVARIO
"EXTRAÑO, CUERPO OJO",CUERPO EXTRAÃ‘O CORNEAL - IZQUIERDO/A
UÑA DISTROFICA,UÃ‘A DISTROFICA
VARICES EXTREMIDAD INFERIOR (DCHA o IZQDA),VARICES EEII - DERECHO/A
"HIPERACTIVO, NIÐO",NIÃ‘O HIPERACTIVO
MAMA BULTO,BULTO MAMARIO \(MUJER\) - DERECHO/A
"EXTRAÑO, CUERPO OJO",CUERPO EXTRAÃ‘O CORNEAL - DERECHO/A
ONICOGRIFOSIS UÑA EN GARRA,ONICOGRIPO\. \(UÃ‘A EN GARRA\)
"DEFICIENCIA HIERRO, FERROPENIA SIN ANEMIA",DEFICIT HIERRO
PIES VALGOS,GENU VALGUM - AMBOS/AS
"MASTOPATIA FIBROQUISTICA,",MASTOPATIA FIBROQUISTICA DIFUSA - AMBOS/AS
ALTERACION CONDUCTA NIÑO,ALTERACION CONDUCTA NIÃ‘O
PROBLEMA TAMAÑO DE LA MAMA NC,PROBLEMA POR TAMAÃ‘O DE LA MAMA - AMBOS/AS
NIÑO (NACIDO VIVO) PREMATURO,PREMATURO NIÃ‘O
SACROILEITIS,SACROILIITIS INFLAMATORIA
ANOREXIA (NO PSICOG.) NIÐO,ANOREXIA \(NO PSICOG\.\) NIÂ¥O
ALTERACION CONDUCTA NIÑO,COMPORTAMIENTO EXTRAÃ‘O EN EL NIÃ‘O
ANEMIA CRONICA,ANEMIA POR ENFERMEDAD CRONICA
ALTERACION CONDUCTA NIÑO,TRASTORNO DE LA CONDUCTA DEL NIÃ‘O
BOCA ARDIENTE,BOCA URENTE
TRASTORNO POR DEFICIT DE ATENCION CON HIPERACTIVIDAD,TRASTORNO POR DEFICIT DE ATENCION E HIPERACTIVIDAD
TENDINITIS MUÐECA,TENDINITIS MUÃ‘ECA
NEOPLASIA MALIGNA PULMON,NEOPLASIA PULMONAR
GASTRITIS O DUODENITIS,GASTRODUODENITIS
"EXTRAÑO, CUERPO OIDO",CUERPO EXTRAÃ‘O DEL OIDO - DERECHO/A
PRURITO ANAL/PERIANAL,PICOR ANAL
"CALCANEO, ESPOLON",ESPOLON CALCANEO - AMBOS/AS
ERITEMA PERNIO,SABAÃ‘ONES
"EXTRAÑO, CUERPO OIDO",CUERPO EXTRAÃ‘O DEL OIDO - IZQUIERDO/A
MAMA BULTO,NODULO MAMARIO \(MUJER\) - IZQUIERDO/A
"SINTOMA, QUEJA, SIGNO TESTICULOS NC","SINTOMA, SIGNO DE TESTICULO - DERECHO/A"
"CAMBIO (EN) (DE) PIEL, NC",PETEQUIAS
SIGNO/SINTOMA DE FLANCO Y AXILA,"SINTOMA, SIGNO AXILA - DERECHO/A"
"INFLAMACION, TOBILLO (TRAUMATICA) NC",INFLAMACION DEL PIE OSTEOMUSCULAR - DERECHO/A
ESGUINCES Y TORCEDURAS DE MUÑECA Y MANO,"DISTENSION, ESGUINCE NC MUÂ¥ECA"
PARTO COMPLICADO NACIDO VIVO(S),PARTO COMPLICADO
MIGRAÑA / JAQUECA,MIGRAÃ±A / JAQUECA
DOLOR MAMA NC,MASTODINIA \(MUJER\) - IZQUIERDO/A
HIPERTENSION ARTERIAL ESENCIAL BENIGNA,HIPERTENSION BENIGNA
"INFLAMACION, TOBILLO (TRAUMATICA) NC",INFLAMACION DEL PIE OSTEOMUSCULAR - IZQUIERDO/A
MIGRAÑA / JAQUECA,MIGRAÃ‘A OTRAS
NEOPLASIA MALIGNA MAMA FEMENINA,NEOPLASIA DE MAMA \(MUJER\) - IZQUIERDO/A
FLEBITIS/TROMBOFLEBTIS PIERNA/S,TROMBOFLEBITIS - DERECHO/A
"SINTOMA, QUEJA, SIGNO UÑA(S) NC","SINTOMA, QUEJA, SIGNO UÃ‘A\(S\) NC"
BOTON MAMARIO (NIÑO),BOTON MAMARIO \(NIÃ‘O\)
ANORMAL SENSACION(ES) NC VISUAL,SENSACIONES VISUALES ANORMALES
ADENOPATIA/S CERVICAL,ADENOAPTIA CERVICAL
TRASTORNO POR DEFICIT DE ATENCION CON HIPERACTIVIDAD,TRASTORNO POR DEFICIT DE ATENCION
PUNCION/CORTE (PIEL),PINCHAZO EN PIEL
FRENILLO LINGUAL,FRENILLO CORTO DE LENGUA
"ENFERMEDAD SALIVARES, GLANDULAS NC",ENFERMEDAD GLANDULAS SALIVARES NO ESPECIFICADA
HERPES SIMPLE GENITAL FEMENINO,HERPES SIMPLE GENITAL \(MUJER\)
"COMPORTAMIENTO EXTRAÑO, NC",COMPORTAMIENTO EXTRAÃ‘O
INSUFICIENCIA RENAL CRONICA ESTADIO 3,INSUFICIENCIA RENAL CRONICA GRADO 3
ABUSO (DE) OTRAS SUSTANCIAS,CONSUMO ADICTIVO DE SUSTANCIAS
CANDIDIASIS UROGENITAL MASCULINA,CANDIDIASIS UROGENITAL \(VARON\)
DESNUTRICION/MALNUTRICION PROTEICO CALORICA,DEFICIT NUTRICIONAL PROTEICO
ESPONDILOSIS COLUMNA LUMBAR/TORACICA,ESPONDILOSIS DORSAL
NEOPLASIA MALIGNA MAMA FEMENINA,NEOPLASIA DE MAMA \(MUJER\) - DERECHO/A
PROBLEMA ASPECTO UÑA(S) NC,UÃ‘AS ENGROSADAS
NEVUS DISPLASIC,NEVUS DISPLASICO
CANCER DE VESICULA BILIAR,NEOPLASIA VESICAL
SIGNO/SINTOMA DEL COMPORTAMIENTO DEL NIÑO,DISTUR\./ALTER\. COMPORTAMIENTO NIÂ¥O
"SINTOMA, QUEJA, SIGNO RODILLA NC","SINTOMA, SIGNO RODILLA - AMBOS/AS"
LESION SUPERFICIAL DEL OIDO/OREJA,LESION SUPERFICIAL DE LA OREJA - IZQUIERDO/A
TRASTORNO METABOLISMO DE LIPIDOS/DISLIPEMIA,TRAST\.METAB\.LIPIDOS
"SINTOMA, QUEJA, SIGNO TESTICULOS NC","SINTOMA, SIGNO DE TESTICULO - AMBOS/AS"
SIGNO/SINTOMA DE FLANCO Y AXILA,"SINTOMA, SIGNO AXILA - IZQUIERDO/A"
"BLOQUEO, TAPONAMIENTO CONDUCTO LAGRIMAL",OBSTRUCCION CONDUCTO LAGRIMAL EN NIÃ‘OS
SENSACION DE INESTABILIDAD/CAIDA,SENSACION DE INESTABILIDAD CAUSA NEUROLOGICA
PICADURA INSECTO COMUN CARA/CUELLO/CUER,PICADURA INSECTO EN PARPADO - IZQUIERDO/A
DESVIACION COLUMNA VERTEBRAL,RECTIFICACION COLUMNA VERTEBRAL
HERNIA INGUINOESCROTAL UNILATERAL (DERECHA O IZQDA),HERNIA INGUINOESCROTAL - IZQUIERDO/A
CALCULO SALIVAR,LITIASIS SALIVAR
EPOC GRAVE,EPOC AGUDIZADOR CON BRONQUITIS CRONICA
OSTEOARTROSIS MUÑECA,ARTROSIS DE MUÃ‘ECA
DEFICIT VITAMINA D,VITAMINAS DEFICIENCIA D3\.-
"CALCANEO, ESPOLON",ESPOLON CALCANEO BILATERAL
CAIDAS FRECUENTES,CAIDAS DE REPETICION
DISMETRIA,DISMETRIA DE EEII CONGENITA
VOMITO ALIMENTICIO (NIÑOS),VOMITO ALIMENTICIO \(NIÂ¥OS\)
"SINTOMA, QUEJA, SIGNO GENITAL FEMENINO NC","SINTOMA, SIGNO GENITAL NO ESPECIFICADO \(MUJER\)"
DERMATITIS DEL PAÑAL NC,DERMATITIS DEL PAÂ¥AL NC
LESION MENISCO (RODILLA) CRONICA NC,MENISCOPATIA CRONICA - DERECHO/A
GALACTORREA,GALACTORREA - AMBOS/AS
VERTIGO OTOGENICO,MAREO OTOGENICO
CONTRACTURA DE DUPUYTREN,ENFERMEDAD DE DUPUYTREN - IZQUIERDO/A
"ARTICULAR, INFLAMACION UNICA",INFLAMACION DE MUÃ‘ECA OSTEOMUSCULAR - DERECHO/A
"MASTOPATIA FIBROQUISTICA,",MAMA FIBROQUISTICA - AMBOS/AS
SIGNO/SINTOMA DEL COMPORTAMIENTO DEL NIÑO,NIÃ‘O PROBL\. DE CONDUCTA
TIÑA CORPORIS,TIÃ‘A CORPORIS
"ARTICULAR, INFLAMACION UNICA",INFLAMACION DE MUÃ‘ECA OSTEOMUSCULAR - IZQUIERDO/A
"SINTOMA, QUEJA, SIGNO DIGESTIVOS NC",SINTOMA DIGESTIVO NO ESPECIFICADO
ABRASION/AMPOLLAS/ARAÑAZOS (CON ROTURA SUP. CUTANEA),ARAÃ‘AZO
ALTERACION LIGAMENTOS,ROTURA LIGAMENTO CRUZADO ANTERIOR - DERECHO/A
PROBLEMA ALCOHOL,PROBLEMA RELACIONADO CON ALCOHOL
TENDINITIS RODILLA,TENDINITIS PATA DE GANSO
DOLOR MUÑECA NC,DOLOR MUÂ¥ECA NC
GINGIVITIS,QUISTE GINGIVAL
NEUROPATIA CUBITAL,MONONEUROPATIA NERVIO CUBITAL
"HEMORRA., SANGR. NC MENOPAUSICA",HEMORRAGIA VAGINAL POSTMENOPAUSICA
DOLOR MAMA NC,MASTODINIA \(MUJER\) - DERECHO/A
"SINTOMA, QUEJA, SIGNO RIÑON NC","SINTOMA, SIGNO RENAL - AMBOS/AS"
OTITIS MEDIA  AGUDA PERFORADA,OTITIS MEDIA AGUDA PERFORADA - DERECHO/A
HEMORRAGIA INTERMENSTRUAL,SANGRADO GENITAL INTERMENSTRUAL
PICADURA INSECTO COMUN CARA/CUELLO/CUER CABELL-SIN INFEC,PICADURA INSECTO EN PARPADO - DERECHO/A
EPIFORA,EPIFORA - AMBOS/AS
DELIRIUM (NO ALC.) (ORG.),DELIRIUM
NODULO/S TIROIDES,TIROIDES MASA
NIÑO NORMAL SANO,NIÃ‘O NORMAL \(SANO\)
"DISTENSION, ESGUINCE NC MUÑECA","DISTENSION, ESGUINCE NC MUÃ‘ECA"
DETERIORO GENERAL,DETERIORO GENERAL FISICO \(EX\. PSICO\.\)
REACCION ALERGICA NC EDEMA,REACCION ALERGICA NC EDEMA \(EXCLUIDO FARMACOS\)
REACCION ALERGICA NC EDEMA,ALERGICO EDEMA \(EXCLUIDO FARMACOS\)
ALERGIA RASH,ALERGICO RASH \(EXCLUIDO FARMACOS\)
"AUMENTO, AUMENTADO. VELOCIDAD DE SEDIMENTACION","AUMENTO, AUMENTADO\. VELOCIDAD DE"
ESTREÑIMIENTO,ESTREÃ±IMIENTO
MIGRAÑA,MIGRAÃ±A
CONDROMA,OSTEOCONDROMA
TENDINITIS NC,TENDINITIS - AMBOS/AS
ALERGIA (EXCLUIDO FARMACOS),ALERGICO \(EXCLUIDO FARMACOS\)
PICADURA INSECTO COMUN CARA/CUELLO/CUER CABELL-SIN INFEC,PICADURA INSECTO COMUN CARA/CUELLO/CUER
DIARREA,DIARREAS
TENDINITIS MUÐECA,TENDINITIS MUÃ±ECA
CATARRO  DESCENDENTE,CATARRO-TOS
RINOFARINGITIS ALERGICA,RINOFARINGITIS ALÃ©RGICA\.
BURSITIS CADERA,BURSITIS DE CADERA - DERECHO/A
BURSITIS DE RODILLA,BURSITIS PRE ROTULIANA - DERECHO/A
REACCION ALERGICA CON BRONCOESPASMO,REACCION ALERGICA CON BRONCOESPAMO \(EXCLUIDO FARMACOS\)
INSUFICIENCIA RENAL CRONICA ESTADIO 3,ERC ESTADIO 3
CUERPO EXTRAÑO,CUERPO EXTRAÃ‘O
DOLOR MAMA NC,MASTALGIA \(MUJER\) - AMBOS/AS
ESTREÑIMIENTO CRONICO,ESTREÃ‘IMIENTO CRONICO
FRACTURA COLUMNA VERTEBRAL,FRACTURA VERTEBRAL - AMBOS/AS
ANTOJO (CONGENITO) HEMANGIOMA NC,"MARCA, MANCHA HEMANGIOMA CAPILAR \(FRESA, FRAMBUESA\)"
FIBRILACION AURICULAR CRONICA,FIBRILACION AURICULAR PERMANENTE
HERIDA QUIRURGICA,HERIDA QUIRÃŠRGICA
HTA CON AFECTACION DE ORGANOS DIANA,HTA CON AFECTACION ORGANICA
ARTROSIS DE RODILLA (RESTO),ARTROSIS DE RODILLA - AMBOS/AS
OTITIS EXTERNA DIFUSA,OTITIS EXTERNA BACTERIANA DIFUSA - DERECHO/A
NEOPLASIA MALIGNA RECTO,NEOPLASIA RECTO
DOLOR MUÑECA NC,DOLOR DE MUÃ‘ECA - AMBOS/AS
"DERMATITIS, NC",DERMATITIS NO ESPECIFICADA
TRASTORNO PERSISTENTE DE ADAPTACION,TRASTORNO ADAPTATIVO PERSISTENTE
"ARRITMIA CARDIACA, NC",ARRITMIA CARDIACA X FA
"DECUBITO, ULCERA POR",ULCERA SACRO
DISPEPSIA FUNCIONAL,DISPEPSIA FUNCIONAL TIPO ULCEROSO
TRASTORNO/NEUROSIS OBSESIVO-COMPULSIVA,TRATORNO OBSESIVO COMPULSIVO
ABSCESO GLUTEO,ABCESO GLUTEO
LESION PIEL TEJIDO SUBCUTANEO NC,LESION EN TEJIDO SUBCUTANEO
LESION MENISCO (RODILLA) CRONICA NC,MENISCOPATIA CRONICA - IZQUIERDO/A
BURSITIS CADERA,BURSITIS DE CADERA - IZQUIERDO/A
TENDINITIS HOMBRO,TENDINITIS DE HOMBRO - AMBOS/AS
"SINTOMA, QUEJA, SIGNO GENERALES INFANTILES NC",SINTOMA GENERAL EN EL NIÃ‘O
SACROILEITIS,SACROILIITIS DEGENERATIVA
CONTUSION DE MUÑECA,CONTUSION MUÃ‘ECA
PARTO CESAREA RECIEN NACIDO VIVO,PARTO CESAREA RECIEN NACIDO VIVO
PARTO NORMAL NACIDO VIVO(S),PARTO NORMAL NACIDO VIVO\(S\)
AMENORREA (SOSPECHA DE EMBARAZO),AMENORREA \(SOSPECHA DE EMBARAZO\)
"SINTOMA, QUEJA, SIGNO LACTANCIA NC","SINTOMA, QUEJA, SIGNO LACTANCIA NC"
PARTO COMPLICADO NACIDO VIVO(S),PARTO COMPLICADO NACIDO VIVO\(S\)
PARTO CESAREA RECIEN NACIDO VIVO,CESAREA NACIDO VIVO\(S\)
SIGNO/SINTOMA PEZON EN EMBARAZO/PARTO/PUERPERIO/LACTANCIA,"SINTOMA, SIGNO DE LA MAMA EN EL PUERPERIO"
"VENTOSA, EXTRACC. CON NACIDO VIVO(S)","VENTOSA, EXTRACC\. CON NACIDO VIVO\(S\)"
"HEMORRA., SANGR. NC EMBARAZO",HEMORRAGIA VAGINAL EN EL EMBARAZO
EMBARAZO COMPLICADO (POR) HIIPERTENSION,HIPERTENSION ARTERIAL EN EL EMBARAZO
EMBARAZO COMPLICADO (POR) OTROS PROC. NO OBST.,EMBARAZO COMPLICADO POR CAUSAS NO OBSTETRICAS
DOLOR DE LA MAMA EN LA LACTANCIA,DOLOR MAMARIO EN LA LACTANCIA
"VENTOSA, EXTRACC. CON NACIDO VIVO(S)",PARTO COMPLICADO VENTOSA
EMBARAZO COMPLICADO (POR) HIIPERTENSION,HTA EN EL EMBARAZO
