descriptor_bueno,descriptor_malo
"SINTOMA, QUEJA, SIGNO CUELLO NC","SINTOMA, SIGNO DE CUELLO"
"SINTOMA, QUEJA, SIGNO PIERNA NC","SINTOMA, SIGNO PIERNA - AMBOS/AS"
SENSACION QUEMADURA (PIEL) (DOLOR),SENSACION DE QUEMAZON EN LA PIEL
"SINTOMA, QUEJA, SIGNO LACTANCIA NC","SINTOMA, SIGNO DE LA LACTANCIA"
GANGLION (ART. O TEND.),GANGLION - IZQUIERDO/A
TRASTORNO ADAPTATIVO MIXTO(ANSIOSO/DEPRESIVO),TRASTORNO ANSIOSODEPRESIVO
"DOLOR MAMARIO, EN LA MUJER (RESTO)",DOLOR EN LA MAMA \(MUJER\) - DERECHO/A
"SINTOMA, QUEJA, SIGNO MAMA NC","SINTOMA, SIGNO DE LA MAMA \(MUJER\) - AMBOS/AS"
DEDO EN RESORTE,DEDO EN RESORTE - DERECHO/A
"SINTOMA, QUEJA, SIGNO MANO NC","SINTOMA, SIGNO DE MANO - IZQUIERDO/A"
"AVULSION DE LA UÑA, UNGUEAL",AVULSION DE UÑA
OTITIS EXTERNA- AMBOS/AS,OTITIS CAE - AMBOS/AS
DOLOR HOMBRO NC,OMALGIA - IZQUIERDO/A
DOLOR ABDOMINAL LOCALIZADO NE,DOLOR ABDOMINAL EN FLANCO
"SINTOMA, QUEJA, SIGNO BRAZO NC","SINTOMA, SIGNO BRAZO - DERECHO/A"
SENSACION TAPONAMIENTO DEL OIDO,SENSACION DE CONGESTION DEL OIDO
TRASTORNO ADAPTATIVO MIXTO(ANSIOSO/DEPRESIVO),TRASTORNO MIXTO ANSIOSODEPRESIVO
"SINTOMA, QUEJA, SIGNO BRAZO NC","SINTOMA, SIGNO BRAZO - IZQUIERDO/A"
PIE PLANO,PIE PLANO - AMBOS/AS
"DISTENSION, ESGUINCE NC RODILLA(S)",ESGUINCE DE RODILLA - IZQUIERDO/A
ASMA EPISODICO  FRECUENTE,REAGUDIZACION ASMATICA
REACCION ALERGICA NC,"REACCION ALERGICA, RASH NE \(EXCLUIDO FARMACOS\)"
"SINTOMA, QUEJA, SIGNO CUELLO NC","SINTOMA, SIGNO CERVICAL"
DISPEPSIA NC,DISPEPSIA/GASTROPROTECCION
BAJA AGUDEZA VISUAL,BAJA AGUDEZA VISUAL AMBOS OJOS
"CALCANEO, ESPOLON",ESPOLON CALCANEO - DERECHO/A
"INFECCION DE HERIDA POSTRAUMATICA, PIEL",INFECCION DE HERIDA POSTRAUMATICA
TENDINITIS DE LOS ROTADORES,TENDINITIS MANGUITO DE ROTADORES - DERECHO/A
ANGIOMA CAVERNOSO,ANGIOMA CUTANEO
ESTOMATITIS,ESTOMATITIS NO ESPECIFICADA
DIU INSERCION,DIU MIRENA
ANORMAL SENSACION(ES) NC AUDITIVA,SENSACION DE ALTERACION AUDITIVA
HEMATOMA PIEL,HEMATOMA ESPONTANEO
"DOLOR MAMARIO, EN LA MUJER (RESTO)",DOLOR EN LA MAMA \(MUJER\) - AMBOS/AS
