AUI|CODE|STR|ISPREF
B11424221A|L13.10|TROCANTERITIS+ COXALGIA NC|N
B01823154A|R99.8|POLIP  NASAL NASAL|N
B02361224A|L17.7|PIE IZQD. SINTOMA QUEJA SIGNO NC|N
B02038790A|L72.2|FRACTURA CUBITO IZQ.|N
B09391824A|R99.14|INSUFICIENCIA  RESPIRATORIA-|N
B09142930A|L77.1|DISTENSION, ESGUINCE NC TOBILLO-DCHO)|N
B00007082A|W93.9|PARTO COMPLICADO NACIDO MUERTO(S)|N
B11370795A|K86.3|HTA  (NO COMPL.) **AMPA|N
B06541138A|A92.37|ALERGIA A HONGOS.|N
B00740666A|S88.11|DERMATITIS   MANOS, NC|N
B02801524A|K90.14|TROMBOSIS CEREBRAL (ICTUS)******************|N
B02457715A|L86.20|HERNIA DISCAL LUMBAR(L4-L5|N
B01737642A|K71.1|AORTICA, DOBLE LESION REUMAT.|N
B11392388A|L15.2|GONALGIA DERECHA  - DERECHO/A|N
B11434398A|L03.2|LUMBAGO ******|N
B09326367A|F76.1|EXTRAÑO , CUERPO OJO|N
B11392356A|X79.3|MAMA DCH-FIBROADENOMA|N
B00049337A|U53.3|INSERCION, FOLEY, CATETER DE|N
B11375620A|D10.1|VOMITO/SUAP|N
B01538123A|L16.2|DOLOR EN TOBILLOS)|N
B02555684A|N16.6|PERDIDA  DEL OLFATO|N
B01063654A|H13.4|SENSACION TAPONAMIENTO  OIDOS|N
B03147865A|L15.6|GONARTROSIS D--|N
B00042623A|S08.1|MANCHA CUTANEA|N
B00041602A|R96.27|BRONQUITIS ASMATICA REPETICION|N
B11384947A|X04.2|DOLOROSO COITO.|N
B04126125A|D70.25|GEA GASTROENTERITIS  ROTAVIRUS +|N
B02507827A|Y80.3|CONTUSION  GENITAL|N
B11423002A|L17.3|DOLOR DEDOS, PIE NC -IZQD|N
B01876148A|S18.4|LACERACION, HERIDA(PIERNA IZQUIERDA)|N
B11366011A|P19.11|ADVP/|N
B11378986A|L87.27|BURSITIS - IZQUIERDO/A TROCANTEREA IZDA|N
B01282809A|N08.32|TEMBLOR EN EXTREMIDAD SUPERIOR IZQUIERDA|N
B00025284A|K86.5|HTA ***************************************|N
B00012802A|D03.2|ESTOMAC, ACIDESA DE (PIROSI)|N
B00017824A|F73.17|CONJUNTIVITIS  NC|N
B04102166A|A77.3|URG:_VIRIASIS|N
B11383172A|L01.7|CERVICALGIA .POSTRAUMATICA|N
B11399237A|L77.1|, ESGUINCE TOBILLO  IZQ|N
B02883987A|K81.2|SOPLO CARDIACO INOCENTE NE|N
B11394391A|T90.9|DIABETES MELLITUS TIPO II (NC) - ++++++|N
B08549917A|L08.1|DOLOR HOMBRO NC -    IZDO|N
B00431875A|L75.4|FRACTURA CADERA NC DCH.|N
B02340779A|A85.5|RASH EXANTEMA MEDICAMENTOSO DOSIS CORRECTA|N
B02099533A|P17.3|TABACO, FUMAR|N
B01729405A|S98.15|URTICARIA NC // FACTICIA|N
B11394451A|S88.29|DERMATITIS ESTASIS.|N
B11426960A|L78.1|DISTENSION, ESGUINCE NC RODILLA .|N
B00028330A|L15.21|GONALGIA - AMBOS/AS|N
B09271645A|D11.7|DIARREA, NC ,VOMITOS|N
B03175057A|L73.3|FRACTURA TOBILLO  TOBILLO|N
B06375454A|K76.12|CI INFARTO AGUDO INFERIOR EN EL 92|N
B02367409A|S21.4|ESCAMOSA PIEL|N
B00028866A|L18.12|REUMATISME (NO ARTICULAR) NC|N
B01068721A|L75.4|FRACTURA CADERA NC IZDA|N
B11362362A|L86.16|HERNIA DISCAL LUMBAR L5-S1.-|N
B00001072A|D05.8|PRURITO PERIANAL (NO MAPEA)|Y
B02841771A|A06.11|SINCOPES(PERD. DE CONC.) VASOVAGALES|N
B11425087A|L16.2|DOLOR TOBILLO NC - DERECHO/A -|N
B00010727A|A85.24|TOS POR IECAS.|N
B08912206A|F13.1|SENSACION ANORMAL DE OJOS|N
B00048256A|T92.4|"GOTA"|N
B03142702A|P19.9|PROBLEMA DROG.|N
B02836306A|K86.4|HIPERTENSION ARTERIAL SECUNDARIA, BENIGNA|N
B11398756A|N71.7|MENINGITIS. ENTEROVIRUS|N
B11384734A|L93.2|TENDINITIS CODO  DERECHO/A|N
B01667599A|R99.2|IQ DESVIACION  TABIQUE NASAL|N
B03048390A|T93.3|************HIPERLIPIDEMIA|N
B11435410A|A50.7|**-RECETAS|N
B11428353A|X18.1|DOLOR MAMA NC - IZQUIERDO/A ++|N
B06524407A|K90.48|ACVA  HACE  11 AÑOS , 1999|N
B03022674A|A03.14|FIEBR DE CORTA EVOLUCION|N
B00019058A|F92.10|INTERVENIDA CATARATA SENIL|N
B11376556A|K78.1|FLUTTER AURICULAR ******************|N
B00866850A|W84.32|EMBARAZO COMPLICADO POR|N
B11407839A|H01.2|OTALGIA - IZQUIERDO/A URGENCIAS|N
B00022338A|K01.4|DOLOR TORACICO  " ATIPICO"|N
B11426210A|T89.5|DIABETES INSULINODEPENDIENTE DIABETES I|N
B02611759A|P17.10|EX FUMAR (TABAC)|N
B11417213A|K85.8|HTA...CRISIS!!!|N
B04540479A|L13.3|SINTOMA, QUEJA, SIGNO CADERA - IZQUIERDO/A|N
B04506228A|K07.1|EDEMA EDEMA|N
B04680299A|W78.3|EMBARAZO CONFIRMADO DESEADO  EMBARAZO NORMAL|N
B02831824A|S74.17|PIE MICOSIS|N
B11394729A|T93.6|DISLIPEMIA HIPERTRIGLICERIDEMIA***|N
B00028754A|L17.5|DOLOR PIE PIE IZQ|N
B00035803A|P70.1|DEMENCIA SENIL/ ALZHEIMER|N
B01485216A|L14.7|DOLOR EN LA PIERNA DERECHA|N
B03121849A|X11.3|S.MENOPAUSICO|N
B01470572A|T81.14|BOCIO DIFUSO-NORMOFUNCIONANTE|N
B00672129A|L02.5|DOLOR DORSAL, DORSALGIA  ,|N
B04430002A|L90.1|GONARTROSIS - DERECHO/A DERECHA|N
B11422806A|S16.3|CONTUSION  PIERNA    DCH|N
B00021748A|H81.3|TAPON DE CERUMEN DER|N
B08678101A|T91.18|DEFICIENCIA / DEFICIT VITAMINICO  B12|N
B04715806A|A92.35|ALERGIA NE-METALES.|N
B01290814A|U71.5|DISURIA---> ITU|N
B11404174A|R83.-1|INFECCION,  RESPIRATORIO|N
B11424782A|W01.4|DESEO DE EMBARAZO .|N
B01404717A|H02.1|OIDO, DISMINUCION AUDICION- HIPOACUSIA|N
B00022610A|K07.5|EDEMAS MMII *|N
B00044123A|S22.7|ONICODISTROFIA.|N
B00043919A|S18.4|SAR-.LACERACION, HERIDA|N
B00047217A|T85.1|HIPERTIROIDISMO- GRAVES-BASEDOW|N
B01865373A|L75.2|FRACTURA CADERA NC PERTROCANTEREA|N
B01124125A|S88.10|DERMATITIS  DEL CUERO CABELLUDO|N
B00010158A|A73.1|MALARIA (EDO)|N
B00211200A|A62.5|CITADA,NO ACUDE)|N
B02276948A|L87.41|TENDINITIS ROTULIANA. NC|N
B00016506A|D94.2|ENFERMEDAD DE CHRON, NC|N
B01475750A|L13.2|DOLOR  CADERA  DERECHA|N
B02757079A|L93.1|EPICONDILITIS/IZQUIERDA|N
B02036863A|X12.4|HEMORRAGIA, SANGRADO POSTMENOPAUSICO|N
B04439196A|U71.5|ITU INFECC TRACTO URINARIO+ POSIBLE PROSTATITIS|N
B02382394A|K84.1|BLOQUEO AURICULO -VENTRICULAR|N
B11407083A|F05.5|PROBLEMA VISION NC - IZQUIERDO/A - IZQUIERDO/A|N
B08876857A|L77.1|DISTENSION, ESGUINCE NC TOBILLO  (DCHO.)|N
B00727767A|R74.10002|CONJUNTIVITIS NC CVA|N
B08880992A|K75.7|CARDIOPATIA ISQUEMICA . INFARTO|N
B00616276A|A92.3|ANGIONEUROTICO, EDEMA *|N
B04073930A|L77.1|DISTENSION ESGUINCE   TOBILLOS|N
B04672467A|L17.5|DOLOR  DE PIE NC|N
B11390821A|T89.999|DIABETES MELLITUS--INSULINO DEPENDIENTE|N
B00033862A|N91.2|PARALISIS   FACIAL|N
B08845390A|D89.8|HERNIA INGUINAL , BILATERAL|N
B00014281A|D72.9|HEPATITIS B(PORTADORA)|N
B02326114A|N89.1|MIGRANYA/CEFALEA|N
B00045205A|S87.3|ECCEMA   ATOPICO|N
B01239899A|N89.1|CEFALEA,-MIGRAÑAS|N
B03068745A|Y02.2|DOLOR TESTICULO DOLOR DERECHO|N
B11408065A|H29.5|PRURITO (PICOR DE) OIDO - IZQUIERDO|N
B09016795A|H71.2|OMA MEDIA|N
B01981206A|L75.4|FRACTURA CADERA TRAS CAIDA|N
B00010892A|A91.1|INVESTIGACIONES RESULTADOS ANORMALES ESTUDIOS FUNCIONAL.|N
B09131138A|L75.4|FRACTURA CADERA NC  (DCHA)|N
B00032539A|L98.25|PIES  VALGOS|N
B11303723A|D83.10|BOQUERAS/RAGADES/QUELITIS ANGULAR|Y
B00989190A|S02.4|PRURITO  GENERALIZ|N
B11438512A|L16.3|INFLAMACION, TOBILLO (TRAUMATICA) IZQUIERDO.|N
B04379289A|A91.8|RESULTADO ANORMAL SIN EXPLICACION, GLOBULOS ROJOS, HEMATIES.|N
B00444817A|B29.1|ENFERMEDAD HEMATOLOGICA|N
B01849011A|P76.3|DEPRESION REACTIVA. DEPRESION|N
B04730043A|D14.2|HEMORRAGIA DIGESTIVA ALTA (DIGESTIVO)|N
B02540268A|L14.5|DOLOR MUSLO IZQ. NC|N
B02575316A|L80.4|LUXACION DEDOS|N
B11432365A|L17.10|METATARSALGIA -IZQ,|N
B06235492A|A30.8|NO ALERGIAS CONOCIDAS,|N
B04392920A|S70.-1|HERPES ZOSTER  FACIAL ; HERPES ZOSTER|N
B11420308A|D75.1|CANCER   COLON|N
B11372910A|T89.6|DIABETES MELLITUS TIPO II ADO + INSULIN|N
B08984578A|U70.3|PIELONEFRITIS AGUDA+++++++++++++++++++++++++|N
B08714974A|L75.4|FRACTURA CADERA DCHA + IQ|N
B00021852A|H81.3|TAPON DE CERUMEN OIZDO..|N
B02444089A|R95.3|BRONQUITIS AGUDA/REAGUDIZACION DE EPOC|N
B02225419A|L75.1001|FRACTURA CADERA NC - IZQ PROTESIS|N
B01532412A|D01.15|DOLOR  ABDOMINAL AGUDO|N
B02183738A|R05.3|FIEBRE+TOS, EXPECTORACION (AG./CRO.)|N
B08970821A|D98.999|COLELITIASIS  ( IQ )|N
B08655733A|H70.3|OTITIS EXTERNA. O DERECHO|N
B06215104A|K90.48|ACCIDENTE CEREBROVASCULAR 43 AÑOS|N
B11366427A|R05.8|TOS, SECA , FIEBRE (AG./CRO.)|N
B01939491A|Y77.1|CANCER PROSTATA.|N
B08645514A|D72.9|PORTADOR DE HEPATITIS "B"|N
B07977975A|H71.2|OMA (DERECHA|N
B00039118A|R74.22|BRONCOESPASMO+IRA|N
B08626612A|B82.5|- ANEMIA|N
B11362865A|T91.18|--  DEFICIT B12|N
B11393153A|L12.5|DOLOR NC DE LA MANO DERECHA|N
B11394385A|T90.9|DIABETES MELLITUS TIPO II (NC) .|N
B08539764A|L86.8|HERNIA   DISCALES  LUMBAR|N
B04279523A|R96.21|HIPERREACTIVA  BRONQUIAL|N
B11386719A|S16.3|CONTUSION COSTAL IZDA,|N
B07105920A|K76.12|I.A.M. 55 AÑOS|N
B08539702A|U98.4|MICROALBUMINURIA(+)|N
B03200801A|U06.3|HEMATURIA, MACROSCOPICA|N
B04203440A|K78.18|FIBRILACION AURICULAR ----------------SINTROM|N
B01815643A|L07.3|SIGNO/SINTOMA DE ATM|N
B11422915A|P76.1|DEPRESION ++++++++|N
B09251870A|D98.999|COLELITIASIS--.IQ|N
B00675307A|R95.3|ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA (EPOC)REAGUDIZAD|N
B02090455A|D89.6|OPERADO DE HERNIA INGUINAL|N
B09414393A|L80.5|LUXACION (ARTICULAC.) HOMBRO / DCHO|N
B01927255A|R77.2|LARINGITIS AGUDA+++++++|N
B11397937A|D84.11|DIVERTICULO    EN ESOFAGO|N
B11425802A|D11.7|VOMITOS, DIARREA,..|N
B02171264A|K95.33|*VARICES MMII. IQ|N
B03245191A|L16.1|DOLOR TOBILLO MUSCULO ESQUELETI NC IZQUIERDO|N
B11428011A|L04.1|DOLOR TORACICO NC /MUSCULO-ESQUELETICO|N
B11380539A|N93.7|SDME TUNEL CARPIANO IZQDO.|N
B00233014A|A50.8|*** POLIMEDICADA***|N
B01536651A|A96.1|MUERTE SUBITA.|N
B01453352A|K95.1|VARICES NC (EXTREMIDADES INFERIORES)|N
B04573890A|L76.18|FRACTURA DEL PEASCO|N
B02380972A|K90.50|INFARTO IAM ANTIGUO. PONTAJE|N
B11369050A|K78.4|FIBRILACION/ALETEO AURICULAR|N
B01730282A|L75.2|FRACTURA CADERA IZQ. SUBCAPITAL|N
B02268027A|L75.4|FRACTURA  CADERA IZQ.|N
B02433019A|W71.1|BACTERIURIA ASINTOMATICA  EMBARAZO|N
B11369400A|R80.1|IRA   (INFECC. RESPIR. ALTA) -GRIPE|N
B01084044A|Y03.2|SECRECIONES EN PENE|N
B11392226A|F99.28|ESCLERITIS, EPIESCLERITIS DCHO|N
B11372130A|P76.15|ANSIEDAD. DEPRESION .|N
B11412079A|Y06.3|PROBLEMA PROSTATA/PROSTATISMO|N
B09244481A|L01.12|CONTRACTURA MUSCULAR / TRAPECIO|N
B00831414A|X15.6|HEMORRAGIA SANGRANDO  VAGINAL|N
B11364794A|P17.1|ABUSO TABACO +|N
B03222855A|L15.6|GONALGIA / GONARTROSIS.|N
B11395724A|A90.4|SINDROME DOWN, DE *********|N
B11416791A|P76.15|S  ANSIOSO DEPRESIVO|N
B01878302A|R74.6|CATARRO==>URG|N
B00054196A|Z04.12|DOMICILI, ATENCIO A|N
B00629273A|S88.14|ECCEMA NC, PIES|N
B01833357A|L98.6|HALLUX VALGUS, JUANETE - DERECHO/|N
B11429024A|R05.3|TOS , EXPECTORACION FIEBRE|N
B02938892A|S18.4|(HERIDA)INCISO CONTUSO|N
B11368228A|F94.11|DISMINUCION  DE  LA  AGUDEZA   VISUAL|N
B01755692A|X18.1|DOLOR MAMA DERECHA .|N
B11378699A|Y85.2|HIPERTROFIA BENIGNA DE PROSTATA*|N
B11370862A|B34.12|ANALITICAS Y EXPLORACIONES COMPLEMENTARIAS|N
B00023493A|K78.21|AURICULAR FIBRILACION TAO 2-3|N
B00046394A|T08.2|PERDIDA PESO !!|N
B00456838A|L08.1|DOLOR ESCAPULAR NC|N
B01030934A|N01.1|CEFALEA, NC..|N
B08793788A|D19.21|, MUELAS. EXTRACCION|N
B08737018A|D89.20|HERNIA INGUINAL - DERECHO/A INGUINAL DCHO|N
B04655937A|L75.4|FRACTURA  CADERA DERECHA|N
B00547352A|A88.17|EFECTO ADVERSO FRIO.SABAÑON NC|N
B08979995A|R95.2|ENFERMEDAD EPOC +ENFISEMA|N
B11415534A|A30.8|NO ALERGIAS  CONOCIDAS.-|N
B11424447A|S18.8|CORTAR DEDOS|N
B00416706A|F94.2|PROBLEMA VISION CEGUERA|N
B11404284A|K90.47|INFARTOS LACUNARES NC|N
B00359660A|F76.1|CUERPO EXTRAÑE EN OJO IZQ|N
B11395980A|S88.19|ECCEMA NC.INTERTRIGO|N
B02108335A|R99.2|DESVIACION DEL TABIQUE NASAL ( IQ. )|N
B09101902A|D98.1014|COLECISTECTOMIA LAPAROSCOPICA...|N
B11398795A|A99.2|ENFERMEDAD NC *****************************|N
B01997968A|A98.8|REV  12 MESES|N
B00027981A|L14.4|DOLOR CUIXA MUSCUL-ESQUELETIC NC|N
B04231556A|H70.13|OTITIS EXTERNA - AMBOS/AS   ------------|N
B11433186A|A50.7|..........MEDICAMENTOS.------|N
B04931899A|A92.15|ALERGIA EXCLUIDA FARMACOS|N
B08972417A|Y85.998|´PROSTATECTOMIA|N
B00031043A|L86.16|HERNIA  DISCAL L5-S1|N
B01367339A|L03.9|LUMBALGIA CRONICA *|N
B11397103A|L04.1|DOLOR TORACICO .MUSCULO ESQUELETICO|N
B11390585A|S09.3|INFECCION EN DEDO (PIE/MANO)|N
B04672792A|L95.2|OSTEOPOROSIS POSTMENOPAUSICO|N
B02535416A|R07.7|NASAL SUPURA CONG ESTORN|N
B02235202A|R80.1|SIN CITA/ GRIPE (EDO)|N
B08806006A|H04.4|OIDO  SECRECION.|N
B00017302A|F02.7|IRRITACIO D' ULL|N
B09195538A|X19.1|MAMA  , BULTO|N
B11394789A|D90.998|DIASTASIS DEL RECTO|N
B11376467A|K84.56|BLOQUEO, AURICULOVENTRICULAR-- MARCAPASOS|N
B08825616A|T86.1|*****     HIPOTIROIDISMO|N
B02915343A|R97.8|>>>>>>>>>>>>RINITIS ALERGICA, ALERGIA|N
B11382814A|F92.8|CATARATA .QX|N
B01601501A|S16.31|CONTUSIONES DEDO|N
B00330733A|A79.109|EPIDERMOIDES CARCINOMA|N
B11401887A|S17.8|HERIDA   POR   MORDEDURA   DE   GATO|N
B02637263A|L01.12|CONTRACTURA   TRAPECIO  DERECHO|N
B00789142A|A92.14|REACCIONES ALERGICA NE|N
B01418356A|T26.1|MIEDO DE PADEC CANCER NC DE APARATO ENDOCRINO|N
B02784295A|S88.-1|DERMATITIS PLANTER JUVENIL|N
B04136410A|L01.11|CONTRACTURA CERVICAL POSTRAUMATICA .|N
B09237370A|L72.4|FX DE CUBITO RADIO|N
B00215881A|U71.13|BACTERIURIA.|N
B04970145A|K76.12|CARDIOP. ISQUEMICA: IAM FEBR 09|N
B08746590A|S13.1|MORDEDURA  DE  PERRO|N
B04475170A|K83.999|VALVULOPATIA .|N
B09230256A|L01.12|CONTRACTURA MUSCULAR- TRAPECIOS|N
B11387114A|U99.10|, INSUFICIENCIA RENAL CRONICA|N
B00021840A|H81.3|TAPON DE CERUMEN OIDO I|N
B11369701A|A91.25|GLUCEMIA BASAL ALTERADA++++++|N
B01012545A|P22.1|PROBLEMAS DE CONDUCTA NIÑO|N
B08697048A|F91.2|ASTIGMATISMO**|N
B09334822A|F02.1|OJO DCHO. ROJO.-|N
B00038731A|R74.6|SAR: CATARRO|N
B04677290A|L12.7|SINTOMA, QUEJA, SIGNO MANO NC - DERECHO/A -|N
B01294913A|P77.16|INTENTOS DE SUICIDIO|N
B00032040A|L92.10|TENDINITIS HOMBRO IZQDO.|N
B08833505A|Z04.6|INTERVENCION SOCIAL NC******************************++++|N
B11404256A|U71.5|ITU (INFECC.|N
B11427808A|L17.5|DOLOR DE PIE - IZQUIERDO/A.|N
B11384111A|U14.3|COLICOS   NEFRITICOS  DCHO|N
B01955932A|D83.1|AFTAS, ULCERAS AFTOSAS-SABADO|N
B01474682A|S82.2|NEVUS MELANOCITICOS.....|N
B11399220A|L03.11|LUMBALGIA ,TRAS ESFUERZO|N
B01102310A|L77.1|ESGUINCE  TOBILLO) - IZQUIERDO/A|N
B00013418A|D16.1|-HECES SANGRE/RECTORRAGIA (EXC. HEMORROIDES)|N
B08852826A|R78.6|+++ BRONQUITIS|N
B03030684A|B02.7|INGUINALES ADENOPATIAS|N
B11424473A|D94.2|ENTERITIS REGIONAL  ENFER CROHN|N
B02684161A|D93.2|ESPASMO COLON|N
B01590114A|L87.30|TENDINITIS DE DE QUERVAIN DCHA|N
B00459684A|A81.11|TRAUMATISMO EN DEDOS MANO|N
B04428328A|Y13.1|DESEO DE ESTERILIZACION MASCULINA VASECTOMIA ; ESTERILIZACION|N
B00047898A|T90.9|+DIABETES MELLITUS TIPO II (NC)|N
B02806605A|R95.3|ENFERMEDAD EPOC NC, REAGUDIZACION|N
B01961044A|T89.1|**DIABETES MELLITUS TIPO 1**|N
B00774397A|R74.6|URG.--IRA   (INFECC. RESPIR.)|N
B08829932A|D89.22|HERNIA INGUINAL NC BILATERAL  IQ|N
B11398437A|N87.15|TEMBLOR ENF PARKINSON.|N
B04674090A|R97.8|ALERGIA FIEBRE DEL HENO****|N
B11406975A|X84.2|INFLAMACION, VULVA NC INFLAMACION, VULVA NC|N
B11410559A|X11.14|MENOPAUSIA * PRECOZ|N
B09128512A|F01.1|DOLOR EN  OJOS|N
B03063760A|R79.5|BRONQUITIS NE  REPETICION|N
B04380328A|T90.2|DM  ; DIABETES MELLITUS $|N
B00006238A|T82.7|OBESIDAD GRADO II |N
B00008440A|A03.1|URG: FIEBRE (FEBRIL)|N
B11388836A|S18.4|CORTE (HERIDA) MANO  IZQ.|N
B09273309A|W78.3|EMBARAZO ,DESEADO, CONFIRMADO|N
B02442056A|A91.53|ELEVA FERRITINA|N
B11376410A|Z04.12|AVISO:|N
B00007011A|W84.11|PRIMIPARA, AÑOSA|Y
B00439562A|D40.2|PROCEDIMIENTOS COLONOSCOPIA|N
B00063864A|B82.-1|ANEMIA MIXTA|N
B08882350A|S92.5|EXCESO  SUDORACION / HIPERHIDROSIS|N
B00040350A|R78.2|BRONQUITIS  CATARRAL|N
B03027144A|N06.23|PARESTESIA MSD.|N
B09274368A|S82.2|NEVUS MELANOCITICO **|N
B11409382A|X11.6|MENOPAUSIA-SOFOCOS.|N
B06154129A|K90.48|ICTUS(TAC CRANEAL 2005)|N
B09357711A|K76.12|I.A.M. 1992|N
B11371539A|D83.10|RAGADES QUEILITIS ANGULAR|N
B11410182A|L96.15|,MENISCOPATIA|N
B11435317A|R05.9|TOS ,PERSISTENTE|N
B08733546A|L86.16|HERNIA NUCLEO PULPOSO// L5-S1|N
B11398919A|F16.9|EDEMA ---PARPEBRAL|N
B02801693A|L98.15|PIES PLANOS VALGOS ) NC|N
B04801506A|K90.49|AIT EN AÑO 2000.|N
B00920761A|K07.5|EDEMA, MMII|N
B00009651A|A50.7|MEDICAMENTOS .RECETAS|N
B00016865A|D98.8|COLELITIASIS (COLECISTECTOMIA)*|N
B02799029A|R95.6|ENFERMEDAD EPOC  LEVE|N
B00040861A|R81.5|NEUMONIA BACTERIANA LII|N
B11369855A|B29.1|ANALITICA ALTERACION  NC|N
B11394040A|S99.3|DERMATITIS HERPETIFORME .|N
B00985910A|L99.24|SIND SJOGREN|N
B00046791A|T82.13|OBESIDAD IMC. 30.|N
B11429513A|F93.1|GLAUCOMA +++++++++++|N
B00284487A|S18.4|URG:LACERACION, HERIDA|N
B02828800A|L92.10|TENDINITIS DE HOMBRO NC|N
B11432667A|L14.9|SIGNO / SINTOMA DEL MUSLO Y DE LA PIERNA - IZQUIERDO/|N
B00049038A|U04.4|INCONTINENCIA URINARIA, DE ESFUERZO|N
B11380507A|N93.7|SDRE. TUNEL CARPIANO IZDO|N
B11409815A|H82.3|VERTIGO  (MENIERE)|N
B01070751A|S97.1|ULCERA POR PRESION   -------------|N
B02949547A|L75.4|FRACTURA CADERA DCHA NC|N
B09354139A|L08.1|DOLOR HOMBRO NC **|N
B03164763A|K90.48|INFARTO LACUNAR CAPSULAR IZQ-ACV 06-04-05|N
B11408044A|L87.37|TENDINITIS NC  EN MANO IZDA|N
B02031779A|N08.26|CEFALEA. VIGILAR TEMBLOR CABEZA|N
B08721460A|T91.14|DEFICIT VITAMINICO . VIT D|N
B04243831A|F79.11|ULCERA CORNEAL SUPERFICIAL|N
B00584077A|L15.2|DOLOR RODILLA, GONALGIA - DERECHO/A   -------------|N
B04601696A|T93.11|COLESTEROL ALTO NC|N
B00712962A|F92.8|CATARATA-OI-IQ|N
B11415008A|B82.7|ANEMIA  NORMOCITICA NC|N
B02850776A|U99.10|INSUFICIENCIA RENAL CRONICA***************|N
B11409421A|K84.5|--  MIOCARDIOPATIA|N
B00053142A|Y70.2|CHANCRO (SIFILIS)|N
B00023435A|K78.21|AURICULAR FIBRILACION (INR. 2-3)|N
B11363781A|L74.5|FRACTURA  5  METATARSO|N
B00047487A|T89.1|DIABETES MELLITUS TIPO I**|N
B11374031A|K86.3|¡¡¡¡¡¡¡HTA  (NO COMPL.)|N
B00001089A|D06.2|ABDOMEN DOLOR COLICO LOCALIZADO|Y
B09223046A|A91.15|ELEV VSG|N
B03119071A|H71.15|OTITIS  DERECHO/A|N
B11390719A|L77.1|DISTENSION, ESGUINCE DCH.NC TOBILLO(S)|N
B11378388A|X79.1003|NEOPLASIA BENIGNA EN LA MAMA|N
B00051911A|X19.1|NODULO  MAMA  IZDA|N
B08730426A|S77.12|*EPITELIOMA|N
B00032422A|L96.16|LESION DE MENISCO INTERNO DE RODILLA IZDA|N
B00498906A|L01.11|CONTRACTURA CERVICAL TRAS ACC. TRAFICO|N
B08909358A|S98.9|URTICARIA URTICARIA CRONICA IDIOPATICA|N
B08599284A|U78.9|POLIPO BENIGNO (CARUNCULA URETRAL)|N
B00050722A|W31.4|PUERPERI.|N
B08530902A|K81.2|SOPLO CARDIACO , SOPLO FUNCIONAL|N
B00263119A|K96.7|HEMORROIDES*IQ|N
B11408794A|L11.4|SINTOMA DE MUÑECA|N
B00797074A|A50.7|MEDICAMENTOS. -----------------------------------|N
B00391939A|D70.29|GASTROENTERITISO INFECCIOSAS|N
B05412671A|A81.26|TRAUMATISMO DEL DEDO|N
B11433285A|X08.-1|METRORRAGIAS  PERIMENOPAUSICAS|N
B09071514A|S82.11|NEVUS NEVUS DISPLASICO|N
B00046890A|T82.6|OBESIDAD (IMC=31)|N
B00535126A|L87.30|*TENDINITIS DE QUERVAIN|N
B00348256A|R74.10004|CATARRO GASTROENTERITIS|N
B00939643A|N06.10|PARESTESIAS  MANO  DERECHA|N
B01198142A|S99.36|DERMATITIS FACTICIA,|N
B08782810A|S97.1|ULCERA, ULCERACION DECUBITO/EN SACRO|N
B11379009A|L87.25|BURSITIS =CODO IZQ|N
B11401789A|L15.6|GONALGIA_-GONARTROSIS|N
B11437731A|L17.3|DOLOR DEDOS PIE IZQD|N
B00805124A|Z04.9|DE COLOMBIA|N
B00050178A|U99.25|RENAL QUISTE|N
B00303933A|X99.23|*POLIPO ENDOMETRIAL|N
B00025877A|K92.10|SINDROME DE RAYNAUD.|N
B11433332A|S70.3|NEURALGIA-POSTHERPETICA.|N
B11395510A|S86.3|ECCEMA - SEBORREICA|N
B02878004A|N88.1|AUSENCIA ; EPILEPSIA|N
B09072405A|P70.8|DEMENCIA VASCULAR /DEMENCIA|N
B00005605A|S22.11|CRECIDA, UÐA|Y
B00038126A|R72.1|SAR.-AMIGDALITIS ESTREPTOCOCICA (ANGINAS)|N
B03196576A|A50.7|PRODUCTOS FARMACEUTICOS|N
B02277797A|S16.25|CONTUSION DE  CADERA|N
B11429931A|S98.13|URTICARIA NC (A FRIGORE)|N
B09204882A|K01.1|DOLOR  "CORAZON"|N
B00020897A|H71.2|OTITIS MEDIA AGUDA DCHO|N
B11394670A|D11.7|VOMITOS-DIARREA.|N
B03043316A|S16.14|CONTUSION MANO DCHA NC|N
B00028634A|L17.4|DOLOR PIE MUSCULO ESQUELETI. NC - DERECHO/A|N
B00537269A|L03.1|LUMBALGIA SIN IRRADIACION ; LUMBALGIA|N
B02516683A|X99.5|***********************ENDOMETRIOSIS|N
B03134139A|L77.1|ESGUINCE TOBILLO DERECHA|N
B02613441A|Y01.1|DOLOR DE  PENE|N
B00967048A|P02.25|ESTRES LABORAL.|Y
B00043240A|S16.19|CONTUSION DE RODILLA IZDA*|N
B11408983A|S70.3|NEURALGIA NC - POSTHERPETICA|N
B09335577A|F82.1|DESPRENDIMIENTO DE RETINA - DERECHO/A - DERECHO/A|N
B01648600A|U71.20|DESCARTAR ITU, SE DESCARTO|N
B09205836A|D76.1|NEOPLASIA MALIGNA   DE PANCREAS ; NEOPLASIA MALIGNA PANCREAS|N
B00044162A|S23.2|PELO CAIDA DEL|N
B11432531A|L95.4|OSTEOPENIA     ****|N
B02275617A|D97.8|****HIGADO GRASO, ESTEATOSIS HEPATICA|N
B04603197A|A23.5|CONTACTO -TUBERCULOSIS|N
