AUI|CODE|STR|ISPREF
B03127461A|F76.1|CUERPO EXTRAÑO OJO  - DERECHO/A|N
B07749535A|K90.50|ICTUS OCCIPITAL DCHO ANTIGUO DE PROBABLE|N
B05728668A|K76.12|IAM AGUDO 2000|N
B09330921A|S18.6|, HERIDA OPERATORIA|N
B11434120A|L84.19|ESPONDILOLISTESIS L5/L4|N
B11374170A|K85.1|TA ELEVADA SIN HIPERTENSION - HTA|N
B09039415A|U04.4|INCONTINENCIA URINARIA (NC)/DE ESFUERZO|N
B00422397A|R76.2|SAR-AMIGDALITIS AGUDA EXCEPTO ESTREPTOCOCIA ANGINAS|N
B11412874A|S22.3|SINTOMA, , SIGNO UÑA(S) NC|N
B05204133A|K90.48|HEMORRA., SANGR. NC CEREBRAL/ICTUS HEMATOMA CAPSULO-TALAMICO DCHO EN 2007|N
B02412031A|F72.19|QUISTE PARPADOS|N
B00035990A|P74.15|CRISIS  DE PANICO.|N
B00905838A|N81.5|NEUROPATIA OPTICA TRAUMATICA|N
B11370516A|H01.2|OTALGIA - AMBOS/AS//SABADO|N
B07099317A|R97.8|ALERGICO RINOCONJUNTIVITIS ALERGICA|N
B11432899A|D93.2|SINDROME  INTESTINO  IRRITABLE|N
B02632834A|R02.2|DISNEA== URG|N
B11388073A|R99.21|HIPERTROFIA CORNETE.|N
B01087872A|F92.8|CATARATAS, CIRUGIA|N
B11400588A|S85.2|FISTULA  PILONIDAL.|N
B09188067A|K74.9|ANGINA DE PECHO ANGINA DE PECHO|N
B11432126A|L28.3|INMOVILIZADO **************************|N
B11429101A|A76.120|FIEBRE . ROSEOLA|N
B01457522A|S10.11|FOLICULITIS NC DEL CUERO CABELLUDO|N
B00202743A|Z04.6|'PROBLEMA SOCIAL|N
B08754181A|S19.1|LESION PIEL-|N
B00002960A|K90.22|HEMORRA., SANGR. NC EPIDURAL POR LESION/TRAUMA.|Y
B02513399A|L84.28|ESTENOSIS DEL CANAL  LUMBAR|N
B00647892A|H71.11|CATARROS OTITIS|N
B00003819A|L92.10|TENDINITIS HOMBRO|Y
B00030789A|L84.3|OSTEOARTROSI   COLUMNA|N
B00121857A|K29.903|HIPOTENSION*|N
B08956600A|L84.29|ESPONDILOSIS /LUMBAR|N
B11403279A|D97.20|HEPATITIS-- A|N
B11389388A|T91.14|VITAMINAS DEFICIENCIA VIT D DEFICIENCIA|N
B11416258A|B80.1|ANEMIA FERROPENICA --***---|N
B11428484A|L87.30|TENDINITIS DE D·QUERVAIN|N
B04905565A|K90.48|ICTUS12/2005|N
B00031025A|L86.8|HERNIA DISCAL LUMBAR,...|N
B01089291A|L87.40|TENDINITIS RODILLA IZQUIERDO/A|N
B11415848A|A92.33|ALERGIA POLEN ++/+++|N
B01568473A|R72.4|FARINGOAMIGDALITIS ESTREPTOCOCICAS+|N
B11415332A|P70.1|DEMENCIA => TIPO ALZHEIMER|N
B06010581A|R97.8|RINITIS ALERGICA (EN FEBRERO)|N
B03172705A|R81.8|BRONCONEUMONIA ;|N
B00749859A|W78.1|CONFIRMADO  EMBARAZO|N
B00435067A|D75.1|NEOPLASIA MALIGNA COLON---IQ HEMICOLECTOMIA DCHA AMPLIAD|N
B00019871A|H01.2|OTALGIA (D.)|N
B00596873A|L75.1001|FRACTURA CADERA : PROTESIS|N
B08645425A|A06.11|SINCOPE (PERD. DE CONC.) //VASOVAGAL|N
B00258477A|K76.12|INFARTO CARDIACO EN 1998|N
B04765864A|X15.6|HEMORRAGIA VAGINAL SANGRADO NC|N
B09282735A|F92.7|CATARATA , AMBOS OJOS.|N
B01441837A|D70.26|GEA (GASTROENTERITIS INFEC. INESP.) URGENCIAS|N
B00036470A|P76.15|TRASTORNO ANSIOSO- DEPRESIVO|N
B00502518A|X12.4|, SANGRADO.POSMENOPAUSICO|N
B11402118A|A91.33|INTOLERANCIA A A LA GLUCOSA|N
B04624174A|R96.4|RINITIS ALERGICA CON ASMA ***|N
B01734938A|K76.12|ISQUEMIA MIOCARDICA (CRONICA). IAM EN 1985|N
B11434274A|N17.7|VERTIGO  / VAHIDO|N
B00990016A|D91.3|HERNIA UMBILICAL, OMBLIGO - AMBOS/AS   ---------------|N
B11419034A|L09.3|SIGNO / SINTOMA DE LOS BRAZOS|N
B01645273A|S02.1|IRRITACION IRRITABLE PIEL PICAZON ,|N
B11390633A|P76.1|DEPRESION  // DEPRESION // DEPRESION|N
B01136729A|Y06.4|SIGNO, SINTOMA DE PROSTATA|N
B04557121A|T91.14|VITAMINAS DEFICIENCIA /VITAMINA D|N
B11432251A|L11.4|SINTOMA QUEJA SIGNO MUÑECA NC IZQUIERDA|N
B00144256A|K84.24|CARDIOPATIA NC|N
B01126300A|F82.1|DESPRENDIMIENTO DE RETINA DERECHO|N
B00044071A|S21.5|PIEL SECA*|N
B02724632A|R74.6|COMUN RESFRIADO ;|N
B01064994A|D88.7|*APENDICITIS AGUDA.APENDICECTOMIA|N
B09982193A|K90.48|PARESIA TRAS ACV 1993|N
B00771444A|N17.9|VERTIGO - DERECHO|N
B11398227A|B84.4|-EOSINOFILIA-|N
B09166480A|U71.5|INFECCION, URINARIA (TRACTO) POR  E. COLI|N
B00006252A|T85.12|HIPERTIROIDISMO SUBCLINICO|Y
B01476633A|R95.4|ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA (EPOC) SEVERA|N
B02375892A|K89.7|AMNESIA TRANSITORIA GLOBAL TRANSITORIA|N
B00027265A|L08.1|DOLOR HOMBRO -DCHO|N
B04353816A|D73.1008|GASTROENTERITIS  ; COLITIS / ENTERITIS / GASTROENTERITIS PRESUNTA INFECCIOSA|N
B04163648A|N17.13|MAREO / VAHIDO ,VERTIGO|N
B02520103A|K99.9014|ANEURISMA AORTICO  INTERVENIDO|N
B00009558A|A50.7|MEDICACION-------|N
B00018798A|F92.999|CATARATA**|N
B07770145A|K90.49|A.I.T. 1988|N
B11415451A|A97.1|CONSULTA SIN ENFERMEDAD ---ANALITICAS*******************|N
B04156194A|F73.55|CONJUNTIVITIS   IZQUIERDO/A|N
B00015300A|D86.1|ULCERA DE ESTOMAGO|N
B08951174A|D89.6|HERNIA INGUINAL -QX|N
B11373200A|K71.1|AORTICA, DOBLE LESION (REUMATICA)**|N
B00026822A|L03.2|LUMBAGO|N
B11372061A|P01.1|ANSIEDAD ******************************************|N
B11056107A|K90.48|ICTUS 10/8/2011|N
B02171330A|L87.38|TENDINITIS MUÑECA DCHA. NC|N
B09287630A|K73.3|DUCTUS ARTERIOSO  PERSISTENTE|N
B00349797A|N94.11|NEUROPATIA DEL CUBITAL.-|N
B00000132A|A23.13|CONTACTO GRIPE H1N1|Y
B09147745A|T91.18|VITAMINAS DEFICIENCIA /  B- 12|N
B00051338A|X01.3|DOLOR NC PELVICO|N
B08537452A|S18.4|LACERACION, HERIDA URG-|N
B11378327A|K86.1|ESENCIAL, HIPERTENSION BENIGNA -** *********   ******|N
B04547742A|Y74.3|EPIDIDIMITIS - DERECHO/A - DERECHO/A|N
B02459360A|T86.11|HIPOTIROIDISMO SUBCLINICO*AUTOINMUNE|N
B08158697A|K76.12|IAM INFERIOR SILENTE (1990)|N
B01746479A|R96.3|ASMA. BRONQUITIS|N
B01561266A|R76.6|OTRA AMIGDALITIS AGUDA, ANGINAS.|N
B11413949A|Y85.1|ADENOMA PROSTATA, DE --ADENOMA PROSTATA|N
B00603367A|L74.3|FX MANO NC|N
B11411108A|K79.4|TAQUICARDIA   SUPRAVENTRICULAR NC|N
