"",ML11,ML10,ML1,ML8,ML7,ML5,ML2,ML3,ML6,ML9,ML4
Congestive_heart_failure__nonhypertensive,-0.072,0.887,0.193,-0.103,-0.1,0.022,0.122,0.066,-0.084,0.089,0.104
Hypertension,0.085,0.583,-0.099,-0.066,0.297,0.1,-0.018,-0.134,-0.008,-0.107,0.078
Asthma,0.204,0.394,-0.127,0.242,-0.083,0.078,-0.08,0.061,0.101,-0.094,-0.163
Obesity,0.164,0.374,-0.097,0.152,0.206,0.272,-0.07,0.021,0.196,-0.033,0.081
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.014,0.264,0.155,0.228,-0.176,-0.057,0.117,-0.012,-0.001,0.211,-0.332
Headache__including_migraine,0.397,0.207,-0.142,0.146,0.226,-0.023,-0.043,0.093,0.147,0.05,-0.077
Miscellaneous_mental_health_disorders,0.27,0.195,-0.142,0.031,0.19,0.062,0.047,-0.1,0.252,-0.062,-0.256
Allergic_rhinitis,0.291,0.193,-0.138,0.018,-0.076,-0.271,0.238,0.089,0.118,-0.1,0.006
Urinary_incontinence,0.349,0.185,0.021,0.238,0.119,-0.107,0.088,0.051,0.048,0.039,-0.072
Diabetes,0.277,0.176,0.05,0.048,0.203,0.254,0.038,-0.22,-0.148,-0.088,0.158
Hepatic_steatosis_and_other_liver_diseases,-0.026,0.145,0.898,0.05,0.102,-0.009,0.026,-0.128,0.096,0.087,-0.024
Hepatitis,0.007,0.133,0.265,0.536,0.099,-0.11,-0.103,0.238,-0.158,-0.119,0.081
Menopausal_disorders,0.394,0.124,-0.251,0.062,0.008,0.084,0.043,0.061,-0.067,-0.193,0.147
Disorders_of_lipid_metabolism,0.399,0.101,-0.072,-0.163,0.164,0.231,0.02,0.052,0.042,0.029,0.084
Anxiety_disorders,0.478,0.072,0.05,0.198,0.046,-0.021,0.101,-0.043,0.016,0.135,0.03
Neoplasms,0.013,0.07,-0.03,0.039,-0.048,-0.034,-0.049,-0.062,0.067,-0.005,0.971
Menstrual_disorders,0.422,0.065,-0.056,-0.145,0.054,-0.181,0.136,-0.009,0.199,0.342,-0.044
Adjustment_disorders,0.337,0.05,0.084,-0.025,-0.066,0.103,-0.245,-0.209,0.312,-0.204,-0.147
Glaucoma,-0.001,0.042,0.012,-0.015,-0.021,0.068,0.972,-0.009,0.011,-0.052,-0.055
Acquired_foot_deformities,-0.008,0.034,-0.111,-0.04,0.104,0.03,0.003,0.946,0.047,0.045,-0.07
Osteoporosis,0.016,0.031,0.112,0.071,0.148,0.168,0.266,0.259,-0.039,0.077,0.293
Epilepsy__convulsions,0.036,0.023,0.042,0.08,0.023,0.085,-0.068,0.034,0.006,0.938,-0.008
Nonmalignant_breast_conditions,0.319,0.018,-0.09,-0.07,-0.146,-0.145,-0.021,0.076,-0.047,0.188,-0.037
Cataract,-0.038,0.017,0.005,-0.009,-0.019,0.977,0.072,0.033,-0.014,0.065,-0.034
Coagulation_and_hemorrhagic_disorders,-0.013,0.01,0.395,0.139,-0.056,0.013,0.124,0.289,-0.012,-0.006,0.074
Vision_defects,0.366,0.007,0.007,-0.023,-0.095,-0.066,0.059,0.126,0.013,0.155,0.094
Esophageal_disorders,0.305,0.005,0.316,-0.154,0.147,-0.005,-0.234,0.06,0.087,0.167,0.105
Depression_and_Mood_disorders,0.388,-0.013,0.209,0.198,0.103,-0.028,0.044,-0.034,0.063,0.058,0.046
Cardiac_dysrhythmias,-0.043,-0.038,0.073,-0.011,0.987,-0.012,-0.019,0.082,-0.017,0.027,-0.048
Alcohol-related_disorders,0.216,-0.039,0.491,0.23,-0.078,0.245,-0.077,-0.061,-0.08,-0.056,-0.176
Atopic_dermatitis,-0.046,-0.056,0.065,0.039,-0.023,-0.017,0.01,0.045,0.994,0.013,0.066
Neuropathy_and_other_nervous_system_disorders,0.454,-0.057,0.092,0.08,0.054,-0.213,0.206,-0.07,-0.216,-0.164,-0.043
Thyroid_disorders,0.37,-0.062,-0.04,-0.13,0.04,0.196,0.129,-0.201,0.103,-0.113,0.088
Osteoarthritis,0.278,-0.099,-0.077,0.011,0.351,0.061,0.284,0.09,-0.053,0.016,0.119
Adictions,-0.02,-0.1,0,0.954,-0.025,0.012,-0.001,-0.075,0.072,0.102,0.026
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.463,-0.125,0.225,-0.095,-0.203,0.068,-0.031,0.387,0.063,-0.202,0.041
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.499,-0.138,0.071,0.1,-0.155,0.114,-0.048,-0.02,-0.226,0.166,0.114
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.157,-0.169,0.158,0.079,0.246,-0.123,0.227,0.028,0.05,-0.061,0.136
