"",ML12,ML13,ML1,ML9,ML11,ML4,ML3,ML10,ML8,ML2,ML7,ML5,ML6
Acquired_foot_deformities,-0.037,0.622,-0.034,0.052,-0.066,-0.083,-0.068,0.041,0.151,0.09,0.037,0.079,-0.08
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.07,0.513,0.23,-0.145,0.068,0.201,0.141,-0.077,-0.086,-0.069,-0.003,0.152,0.031
Osteoarthritis,0.027,0.437,-0.029,0.136,-0.082,0.105,0.056,0.154,0.024,0.072,0.073,-0.223,0.112
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.243,0.367,-0.219,0.103,0.253,0.038,-0.03,0.084,0.056,-0.023,-0.023,-0.175,0.131
Vision_defects,0.246,0.227,-0.096,0.066,0.184,-0.008,-0.072,-0.009,-0.004,-0.058,-0.018,-0.034,0.173
Menopausal_disorders,0.177,0.226,-0.193,0.158,0.058,-0.056,-0.234,0.014,0.194,0.24,0.103,0.093,0.071
Thyroid_disorders,0.107,0.214,0.217,-0.002,-0.099,0.222,0.002,0.042,-0.16,0.122,-0.009,0.066,-0.003
Neuropathy_and_other_nervous_system_disorders,0.188,0.185,0.189,-0.032,-0.096,0.158,0.331,0.041,-0.037,0.14,0.077,0.105,-0.032
Disorders_of_lipid_metabolism,0.05,0.183,0.24,0.242,0.206,0,-0.029,-0.07,0.1,0.161,-0.003,0.038,-0.006
Depression_and_Mood_disorders,0.339,0.164,0.235,-0.06,0.239,-0.009,-0.01,-0.027,-0.045,0.05,0.176,0.035,-0.066
Miscellaneous_mental_health_disorders,0.42,0.107,-0.05,0.21,0.001,-0.062,0.055,0.064,-0.089,-0.077,0.044,0.062,-0.056
Esophageal_disorders,0.391,0.075,0.09,0.052,-0.143,0.24,0.029,0.087,-0.004,0.133,-0.196,-0.002,0.087
Asthma,0.286,0.041,-0.009,-0.022,-0.078,0.131,0.273,0.26,0.165,-0.112,-0.075,-0.012,0.09
Headache__including_migraine,0.433,0.033,0.079,0.111,0.157,-0.01,0.061,0.046,-0.119,-0.074,0.01,0.119,0.017
Anxiety_disorders,0.453,0.032,0.072,-0.05,0.023,-0.017,-0.004,-0.104,0.125,0.147,0.196,0.069,-0.028
Psoriasis_and_other_inflammatory,0.1,0.014,0.058,0.209,0.06,0.046,0.116,0.113,-0.104,-0.067,0.053,0.075,-0.049
Diabetes,-0.012,0.013,0.888,0.095,0.075,-0.079,-0.078,0.094,0.077,-0.049,0.035,-0.051,0.095
Irritable_bowel_and_other_GI_disorders,0.311,0.011,0.049,-0.194,0.173,-0.041,0.038,0.101,-0.083,-0.04,0.148,0.08,0.151
Other_nutritional__endocrine__and_metabolic_disorders,-0.023,0.008,0.035,-0.026,0.009,0.021,0.029,-0.012,0.988,-0.036,-0.008,0.009,-0.001
Nonmalignant_breast_conditions,0.007,0.003,-0.035,0.026,0.001,0.004,-0.016,0.018,0.011,-0.001,-0.008,0.992,0.023
Atopic_dermatitis,0.014,0,0.063,0.017,0.041,0.018,-0.047,0.945,-0.013,0.054,0.044,0.025,-0.057
Hypertension,-0.031,-0.005,0.04,0.981,0.008,0.012,0.034,0.007,-0.023,-0.023,0.02,0.025,0.032
Other_non-traumatic_joint_disorders,-0.008,-0.006,-0.055,0.04,0.058,-0.069,0.971,-0.036,0.032,0.035,0.024,-0.019,0.012
Osteoporosis,-0.033,-0.007,-0.026,-0.025,0.041,-0.013,0.035,0.038,-0.04,0.973,-0.006,-0.002,0.039
Adjustment_disorders,-0.005,-0.008,0.006,0.014,-0.034,0.041,0.024,0.024,-0.008,-0.006,0.99,-0.009,0.005
Myodesopsia_and_other_eye_disorders,-0.033,-0.009,-0.06,0.014,0.065,0.97,-0.062,0.011,0.027,-0.014,0.052,0.007,0.006
Urinary_incontinence,0.372,-0.019,0.121,0.147,0.081,0.082,-0.151,-0.388,0.098,0.128,0.109,-0.076,-0.062
Glaucoma,-0.009,-0.02,0.04,0.015,-0.021,0.005,0.006,-0.042,-0.002,0.032,0.004,0.022,0.981
Allergic_rhinitis,0.226,-0.022,-0.038,0.014,-0.072,0.086,0.116,0.115,0.179,0.052,0.016,0.105,0.02
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.008,-0.024,0.036,0.01,0.948,0.072,0.058,0.034,0.014,0.056,-0.031,0.003,-0.018
Menstrual_disorders,0.531,-0.03,-0.037,-0.018,0.042,-0.064,0.034,0.129,0.083,-0.121,0.104,0.083,0.065
Obesity,0.287,-0.055,0.415,0.231,-0.145,0.166,0.102,-0.034,0.111,0.077,-0.13,-0.006,-0.096
