"",ML5,ML4,ML1,ML3,ML2
Osteoarthritis,-0.037,0.58,0.012,0.126,-0.139
Acquired_foot_deformities,-0.02,0.516,0.013,-0.019,0.117
Osteoporosis,-0.083,0.499,-0.126,0.011,0.014
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.22,0.473,-0.128,0.083,-0.151
Menopausal_disorders,0.102,0.434,-0.107,0.132,0.1
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.004,0.417,0.202,-0.174,0.198
Disorders_of_lipid_metabolism,0.029,0.352,0.275,0.193,0.031
Neuropathy_and_other_nervous_system_disorders,0.213,0.322,0.1,-0.032,0.126
Depression_and_Mood_disorders,0.329,0.298,0.25,-0.123,0.015
Thyroid_disorders,0.09,0.291,0.159,-0.032,0.11
Vision_defects,0.293,0.213,-0.046,0.052,-0.043
Esophageal_disorders,0.28,0.205,0.063,0.061,0.027
Adjustment_disorders,0.204,0.167,0.031,0.036,0.01
Anxiety_disorders,0.483,0.161,0.05,-0.075,0.01
Psoriasis_and_other_inflammatory,0.095,0.066,0.053,0.193,0.09
Urinary_incontinence,0.35,0.061,0.064,0.126,-0.168
Asthma,0.334,0.056,0.034,0.006,0.019
Allergic_rhinitis,0.32,0.027,-0.029,0.023,0.095
Hypertension,0.004,0.013,0.037,0.975,0.021
Obesity,0.236,0.005,0.362,0.206,-0.025
Headache__including_migraine,0.499,0.005,0.064,0.077,0.082
Nonmalignant_breast_conditions,0.011,-0.004,-0.019,0.021,0.995
Miscellaneous_mental_health_disorders,0.513,-0.013,-0.088,0.168,0.02
Diabetes,-0.006,-0.021,0.986,0.037,-0.02
Menstrual_disorders,0.662,-0.105,-0.001,-0.035,0.037
