"",ML3,ML1,ML2
Diabetes,-0.035,1.007,-0.048
Obesity,0.208,0.474,0.083
Hypertension,0.251,0.429,0.101
Disorders_of_lipid_metabolism,0.393,0.321,0.034
Other_nutritional__endocrine__and_metabolic_disorders,0.117,0.251,0.07
Glaucoma,0.133,0.211,0.123
Depression_and_Mood_disorders,0.492,0.198,0.015
Atopic_dermatitis,0.285,0.198,-0.102
Urinary_incontinence,0.33,0.143,-0.098
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.364,0.138,0.19
Headache__including_migraine,0.418,0.129,0.085
Psoriasis_and_other_inflammatory,0.211,0.124,0.103
Thyroid_disorders,0.359,0.109,-0.056
Neuropathy_and_other_nervous_system_disorders,0.416,0.093,0.284
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.348,0.089,0.086
Esophageal_disorders,0.438,0.081,0.003
Asthma,0.294,0.071,0.237
Anxiety_disorders,0.487,0.044,0.023
Menstrual_disorders,0.408,0.043,0.051
Osteoarthritis,0.449,0.039,0.042
Adjustment_disorders,0.348,0.034,-0.02
Miscellaneous_mental_health_disorders,0.399,0.027,0.064
Irritable_bowel_and_other_GI_disorders,0.334,0.019,0.058
Allergic_rhinitis,0.296,-0.004,0.103
Vision_defects,0.422,-0.02,-0.021
Other_non-traumatic_joint_disorders,-0.015,-0.035,0.998
Acquired_foot_deformities,0.441,-0.049,-0.072
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.58,-0.103,0.023
Menopausal_disorders,0.587,-0.123,-0.171
Myodesopsia_and_other_eye_disorders,0.502,-0.124,-0.213
Nonmalignant_breast_conditions,0.288,-0.132,-0.039
Osteoporosis,0.371,-0.16,0.138
