"",ML5,ML6,ML3,ML4,ML1,ML2
Osteoarthritis,-0.078,0.635,0.077,-0.079,0.117,0.059
Menopausal_disorders,0.204,0.455,-0.103,0.068,-0.004,-0.186
Osteoporosis,-0.176,0.455,-0.156,0.259,0.095,0.109
Acquired_foot_deformities,0.097,0.446,-0.019,-0.092,0.077,-0.056
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.179,0.392,-0.105,0.242,0.013,-0.015
Disorders_of_lipid_metabolism,0.051,0.33,0.335,0.215,-0.075,-0.003
Glaucoma,-0.092,0.318,0.271,-0.034,-0.205,0.115
Neuropathy_and_other_nervous_system_disorders,0.194,0.316,0.107,-0.052,0.096,0.294
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.069,0.296,0.107,0.079,-0.006,0.073
Thyroid_disorders,0.11,0.295,0.123,-0.041,0.097,-0.043
Esophageal_disorders,0.285,0.282,0.093,-0.071,0.036,0.01
Myodesopsia_and_other_eye_disorders,0.174,0.256,-0.144,0.299,0.03,-0.257
Hypertension,0.111,0.24,0.444,-0.034,-0.008,0.102
Vision_defects,0.259,0.2,-0.024,0.156,-0.059,-0.054
Depression_and_Mood_disorders,0.301,0.16,0.177,0.24,0.025,-0.022
Adjustment_disorders,0.223,0.159,0.02,-0.031,0.181,-0.006
Anxiety_disorders,0.463,0.141,0.046,0.05,-0.09,0.001
Urinary_incontinence,0.353,0.127,0.171,0.135,-0.402,-0.156
Obesity,0.239,0.117,0.489,-0.098,-0.068,0.087
Irritable_bowel_and_other_GI_disorders,0.194,0.102,-0.005,0.14,0.111,0.043
Psoriasis_and_other_inflammatory,0.128,0.078,0.104,0.034,0.148,0.107
Miscellaneous_mental_health_disorders,0.479,0.055,0.001,-0.047,0.08,0.066
Atopic_dermatitis,0.045,0.041,0.061,0.045,0.96,-0.041
Asthma,0.348,0.029,0.043,-0.072,0.184,0.254
Nonmalignant_breast_conditions,0.295,0.028,-0.157,-0.051,0.175,-0.023
Allergic_rhinitis,0.358,0.026,-0.024,-0.04,0.088,0.108
Other_nutritional__endocrine__and_metabolic_disorders,0.192,0.022,0.264,0.03,-0.195,0.047
Headache__including_migraine,0.455,0.006,0.09,0.125,0.061,0.063
Other_non-traumatic_joint_disorders,0.021,0.001,-0.03,0.049,-0.033,0.986
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.007,-0.03,0.032,0.988,0.03,0.049
Diabetes,-0.03,-0.044,0.993,0.042,0.067,-0.046
Menstrual_disorders,0.659,-0.127,-0.012,0.004,0.095,0.043
