"",ML8,ML7,ML2,ML5,ML6,ML1,ML3,ML4,ML9,ML10
Diabetes,-0.008,0.961,-0.035,-0.024,0.049,0.048,-0.033,0.011,-0.029,0.003
Disorders_of_lipid_metabolism,0.048,0.319,0.079,0.069,0.197,-0.022,0.023,-0.04,0.283,0.074
Depression_and_Mood_disorders,0.25,0.281,0.166,0.052,-0.144,0.049,0.041,0.163,0.197,-0.023
Thyroid_disorders,0.134,0.19,0.056,0.137,-0.032,-0.038,0.117,-0.002,0.137,0.037
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.086,0.182,0.149,0.196,-0.131,-0.005,0.191,0.002,-0.059,0.439
Esophageal_disorders,0.293,0.121,0.11,0.029,0.071,-0.027,0.025,-0.184,0.198,0.096
Headache__including_migraine,0.581,0.111,0.076,0.093,0.045,-0.031,0.109,-0.027,-0.011,-0.158
Neuropathy_and_other_nervous_system_disorders,0.223,0.108,0.071,0.204,-0.072,0.061,0.156,0.063,0.165,-0.046
Acquired_foot_deformities,0.04,0.103,0.179,0.227,0.037,-0.242,0.115,-0.015,0.088,0.268
Psoriasis_and_other_inflammatory,0.073,0.056,0.103,0.086,0.165,0.026,0.125,0.071,-0.051,-0.091
Hypertension,0.003,0.038,0.018,0.016,0.961,0.02,0.013,0.015,-0.001,-0.006
Anxiety_disorders,0.356,0.03,-0.017,-0.015,-0.091,0.157,-0.005,0.17,0.209,0.115
Obesity,-0.01,0.029,0.016,0.031,0.015,0.97,0.014,-0.021,-0.001,-0.005
Urinary_incontinence,0.238,0.025,0.018,-0.054,0.1,0.201,-0.173,0.082,0.125,0.055
Asthma,0.212,0.019,0.24,-0.094,0.002,0.128,0.039,-0.017,-0.083,0.101
Adjustment_disorders,-0.009,0.005,0.003,0.012,0.012,-0.02,0.001,0.997,-0.007,-0.009
Menstrual_disorders,0.494,-0.015,0.026,-0.109,-0.013,0.092,0.019,0.108,-0.088,0.208
Osteoarthritis,0.002,-0.025,-0.013,0.989,0.016,0.03,-0.034,0.015,0.001,0.001
Nonmalignant_breast_conditions,0.006,-0.028,-0.027,-0.032,0.013,0.011,0.994,0.002,0.001,-0.003
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.009,-0.03,1.005,-0.012,0.015,0.012,-0.026,0.004,-0.003,-0.008
Allergic_rhinitis,0.234,-0.031,0.015,-0.003,0.033,0.045,0.089,0.023,0.001,0.138
Osteoporosis,-0.06,-0.046,0.014,0.028,-0.016,-0.008,0,-0.016,0.716,-0.044
Vision_defects,0.257,-0.051,-0.025,0.016,0.102,0.01,-0.098,-0.026,0.075,0.398
Miscellaneous_mental_health_disorders,0.523,-0.093,-0.022,0.068,0.158,0.044,0.014,0.022,-0.064,0.063
Menopausal_disorders,0.017,-0.103,0.013,-0.026,0.148,0.076,0.054,0.114,0.392,0.279
