"",ML1,ML2
Hepatic_steatosis_and_other_liver_diseases,-0.021,0.734
Alcohol-related_disorders,0.029,0.682
Adictions,-0.07,0.659
Hepatitis,0.023,0.575
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.088,0.553
Depression_and_Mood_disorders,0.33,0.419
Anxiety_disorders,0.43,0.332
Urinary_incontinence,0.413,0.247
Asthma,0.266,0.218
Esophageal_disorders,0.281,0.212
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.277,0.187
Neuropathy_and_other_nervous_system_disorders,0.297,0.135
Osteoporosis,0.257,0.126
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.234,0.116
Obesity,0.463,0.093
Adjustment_disorders,0.282,0.089
Vision_defects,0.337,0.075
Diabetes,0.457,0.072
Menstrual_disorders,0.379,0.028
Headache__including_migraine,0.546,0.018
Thyroid_disorders,0.396,-0.036
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.385,-0.041
Hypertension,0.447,-0.056
Neoplasms,0.169,-0.069
Miscellaneous_mental_health_disorders,0.464,-0.085
Allergic_rhinitis,0.361,-0.088
Osteoarthritis,0.439,-0.131
Disorders_of_lipid_metabolism,0.589,-0.152
Menopausal_disorders,0.48,-0.174
Acquired_foot_deformities,0.214,-0.229
