"",ML7,ML8,ML1,ML3,ML6,ML5,ML2,ML4
Osteoarthritis,-0.058,0.552,0.031,-0.073,0.128,0.128,0.054,0.057
Osteoporosis,-0.131,0.471,-0.09,0.257,-0.002,0.057,0.118,-0.196
Acquired_foot_deformities,0.042,0.466,-0.041,-0.103,0.003,0.106,-0.055,0.185
Menopausal_disorders,0.132,0.431,-0.181,0.062,0.159,0.025,-0.198,0.156
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.096,0.377,0.202,0.062,-0.177,-0.024,0.09,-0.019
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.145,0.345,-0.151,0.242,0.11,0.032,-0.022,0.095
Neuropathy_and_other_nervous_system_disorders,0.235,0.339,0.153,-0.063,-0.056,0.077,0.301,-0.033
Thyroid_disorders,0.17,0.312,0.177,-0.049,-0.02,0.06,-0.037,-0.147
Glaucoma,-0.083,0.304,0.232,-0.032,0.168,-0.223,0.106,-0.079
Disorders_of_lipid_metabolism,0.021,0.281,0.241,0.218,0.208,-0.06,-0.018,0.086
Esophageal_disorders,0.285,0.266,0.08,-0.076,0.067,0.03,0.006,0.003
Myodesopsia_and_other_eye_disorders,0.134,0.208,-0.194,0.299,0.082,0.057,-0.264,0.126
Depression_and_Mood_disorders,0.358,0.207,0.236,0.222,-0.097,-0.003,-0.015,-0.052
Irritable_bowel_and_other_GI_disorders,0.24,0.185,0.104,0.122,-0.183,0.078,0.059,-0.102
Vision_defects,0.247,0.182,-0.044,0.153,0.076,-0.06,-0.059,0.009
Anxiety_disorders,0.469,0.177,0.063,0.031,-0.06,-0.091,0.001,0.084
Adjustment_disorders,0.231,0.155,0.016,-0.037,0.05,0.169,-0.009,-0.038
Urinary_incontinence,0.349,0.077,0.104,0.134,0.138,-0.392,-0.17,0.076
Obesity,0.222,0.049,0.378,-0.094,0.207,-0.05,0.068,0.116
Nonmalignant_breast_conditions,0.268,0.047,-0.163,-0.06,0.035,0.171,-0.026,-0.004
Asthma,0.279,0.037,0.007,-0.08,0,0.216,0.251,0.197
Allergic_rhinitis,0.29,0.033,-0.066,-0.048,0.03,0.116,0.102,0.17
Atopic_dermatitis,0.024,0.025,0.054,0.046,0.023,0.963,-0.039,-0.015
Psoriasis_and_other_inflammatory,0.135,0.011,0.044,0.042,0.196,0.136,0.094,-0.085
Other_non-traumatic_joint_disorders,0.013,0.004,-0.045,0.049,0.032,-0.031,0.982,0.031
Other_nutritional__endocrine__and_metabolic_disorders,-0.019,0,0.037,0.016,-0.013,-0.016,0.028,0.991
Hypertension,0,-0.003,0.043,-0.001,0.978,0.013,0.027,-0.013
Diabetes,-0.009,-0.022,0.94,0.036,0.063,0.063,-0.052,0.053
Miscellaneous_mental_health_disorders,0.505,-0.027,-0.056,-0.044,0.191,0.065,0.049,-0.077
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.005,-0.032,0.028,0.988,-0.002,0.034,0.047,0.015
Headache__including_migraine,0.516,-0.047,0.075,0.123,0.101,0.032,0.053,-0.117
Menstrual_disorders,0.619,-0.104,-0.018,-0.01,-0.005,0.1,0.039,0.073
