"",ML4,ML1,ML3,ML2
Diabetes,-0.055,1.001,0.065,-0.045
Obesity,0.241,0.485,-0.08,0.081
Hypertension,0.263,0.43,-0.007,0.105
Disorders_of_lipid_metabolism,0.4,0.332,-0.038,0.04
Other_nutritional__endocrine__and_metabolic_disorders,0.183,0.275,-0.191,0.059
Glaucoma,0.182,0.243,-0.205,0.113
Depression_and_Mood_disorders,0.471,0.195,0.063,0.03
Urinary_incontinence,0.465,0.191,-0.38,-0.12
Headache__including_migraine,0.394,0.12,0.084,0.1
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.314,0.118,0.171,0.209
Psoriasis_and_other_inflammatory,0.166,0.104,0.156,0.119
Thyroid_disorders,0.317,0.102,0.101,-0.04
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.331,0.094,0.013,0.095
Neuropathy_and_other_nervous_system_disorders,0.377,0.085,0.099,0.301
Esophageal_disorders,0.441,0.076,0.035,0.014
Anxiety_disorders,0.506,0.06,-0.076,0.028
Atopic_dermatitis,0.041,0.058,0.976,-0.032
Asthma,0.252,0.046,0.178,0.255
Menstrual_disorders,0.387,0.03,0.102,0.066
Osteoarthritis,0.418,0.024,0.127,0.059
Miscellaneous_mental_health_disorders,0.382,0.017,0.083,0.078
Adjustment_disorders,0.297,0.012,0.183,0
Irritable_bowel_and_other_GI_disorders,0.29,0.005,0.135,0.074
Allergic_rhinitis,0.274,-0.014,0.088,0.115
Vision_defects,0.434,-0.014,-0.028,-0.015
Other_non-traumatic_joint_disorders,-0.022,-0.029,-0.028,0.998
Acquired_foot_deformities,0.415,-0.055,0.079,-0.057
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.566,-0.108,0.06,0.039
Menopausal_disorders,0.589,-0.123,0.02,-0.158
Myodesopsia_and_other_eye_disorders,0.483,-0.132,0.082,-0.197
Nonmalignant_breast_conditions,0.231,-0.152,0.174,-0.02
Osteoporosis,0.334,-0.178,0.144,0.156
