"",ML4,ML11,ML8,ML1,ML7,ML9,ML12,ML10,ML5,ML3,ML2,ML6
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.186,0.863,0.113,0.108,-0.076,-0.055,0.006,0.029,-0.028,-0.198,-0.083,0.106
Thyroid_disorders,0.064,0.453,-0.144,-0.197,0.149,0.155,0.061,-0.285,0.122,0.068,0.138,-0.088
Depression_and_Mood_disorders,0.306,0.388,0.181,0.157,-0.083,0.089,0.018,-0.054,0.124,0.143,0.142,0.024
Osteoporosis,-0.005,0.352,-0.045,0.128,0.186,0.13,-0.007,0.34,-0.083,0.285,-0.043,-0.033
Asthma,0.095,0.291,0.12,-0.114,-0.082,0.122,0.271,0.019,0.084,-0.009,-0.132,0.038
Hypertension,0.267,0.291,-0.205,0.069,0.233,-0.181,-0.036,-0.033,0.152,0.136,0.248,-0.22
Disorders_of_lipid_metabolism,0.214,0.257,-0.213,-0.08,0.338,0.182,0.198,0.109,-0.044,0.106,-0.05,0.02
Obesity,0.348,0.183,0.086,0.029,0.102,0.119,0.031,0.075,0.113,0.168,0.037,-0.107
Anxiety_disorders,0.147,0.157,0.196,0.019,0.062,0.053,0.338,0.007,0.123,0.077,0.048,0.061
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.036,0.155,0.153,-0.034,0.064,0.384,0.041,-0.109,-0.028,0.123,-0.105,0.15
Urinary_incontinence,0.078,0.115,0.225,0.035,0.107,0.177,0.177,0.057,0.092,-0.051,0.196,-0.025
Hepatitis,0.004,0.107,0.417,0.257,0.129,-0.109,-0.003,0.307,-0.028,0.136,0.006,0.093
Headache__including_migraine,0.396,0.094,0.151,-0.09,-0.026,-0.008,0.093,0.154,0.239,0.014,0.08,0.086
Menopausal_disorders,0.178,0.074,0.006,-0.314,0.011,0.088,0.151,-0.001,0.107,0.18,0.076,0.161
Vision_defects,-0.069,0.068,-0.024,-0.014,0.107,-0.271,0.493,0.216,0.028,0.111,0.146,0.025
Neuropathy_and_other_nervous_system_disorders,0.068,0.042,-0.055,-0.014,0.018,0.019,-0.01,-0.047,0.026,0.029,0.079,0.97
Hepatic_steatosis_and_other_liver_diseases,0.049,0.033,-0.008,0.97,0,0.032,-0.001,-0.051,0.091,0.027,0.02,-0.015
Adictions,0.029,0.022,1.005,-0.019,0.021,0.005,-0.003,-0.053,0.006,0.018,0.02,-0.049
Acquired_foot_deformities,0.038,-0.013,-0.062,-0.078,-0.079,0.113,0.008,0.93,0.037,-0.075,0.057,-0.065
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.076,-0.015,0.043,0.151,0.095,-0.221,0.209,0.165,-0.034,0.118,0.137,-0.027
Alcohol-related_disorders,-0.101,-0.017,0.143,0.433,0.081,0.037,0.451,-0.061,-0.037,-0.161,-0.106,0.136
Esophageal_disorders,-0.072,-0.027,0.004,0.071,0.02,0.015,-0.021,0.011,0.986,-0.019,-0.053,0.02
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.039,-0.037,-0.009,0.035,0.012,0.962,-0.012,0.092,0.023,-0.001,0.07,0.018
Adjustment_disorders,0.169,-0.037,-0.03,0.059,-0.107,0.183,0.487,-0.345,-0.037,-0.039,0.081,-0.159
Osteoarthritis,-0.059,-0.047,0.027,0.012,-0.001,0.046,-0.001,0.025,-0.052,-0.038,0.984,0.077
Diabetes,-0.011,-0.068,0.037,0.001,1.008,0.006,-0.013,-0.049,0.022,-0.038,0.004,0.017
Neoplasms,-0.088,-0.098,0.028,0.011,-0.027,-0.001,-0.002,-0.05,-0.006,0.995,-0.028,0.025
Menstrual_disorders,0.091,-0.098,-0.061,0.018,-0.017,0.068,0.337,0.11,0.117,0.005,-0.041,0.158
Miscellaneous_mental_health_disorders,0.976,-0.116,0.017,0.032,0.026,-0.032,0.005,0.015,-0.081,-0.107,-0.047,0.079
Allergic_rhinitis,0.101,-0.175,-0.007,-0.192,-0.017,-0.075,0.339,0.091,0.341,0.022,0.053,0.08
