"",ML4,ML3,ML1,ML2
Hepatic_steatosis_and_other_liver_diseases,-0.025,0.69,0.087,-0.15
Adictions,-0.062,0.66,-0.034,-0.104
Alcohol-related_disorders,0.03,0.648,0.035,-0.116
Hepatitis,0.02,0.645,-0.115,0.235
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.124,0.596,-0.064,0.097
Depression_and_Mood_disorders,0.26,0.43,0.137,-0.036
Anxiety_disorders,0.406,0.34,0.063,-0.01
Urinary_incontinence,0.305,0.278,0.204,0.06
Asthma,0.196,0.263,0.082,0.05
Esophageal_disorders,0.236,0.224,0.093,0.048
Osteoporosis,0.164,0.201,0.116,0.267
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.141,0.175,0.36,-0.162
Neuropathy_and_other_nervous_system_disorders,0.234,0.144,0.127,-0.101
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.311,0.141,-0.205,0.122
Vision_defects,0.411,0.117,-0.235,0.198
Obesity,0.424,0.106,0.103,0.048
Headache__including_migraine,0.525,0.071,-0.016,0.168
Menstrual_disorders,0.331,0.057,0.063,0.092
Diabetes,0.555,0.028,-0.026,-0.213
Adjustment_disorders,0.283,0.021,0.195,-0.323
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.023,-0.003,0.987,0.071
Acquired_foot_deformities,0.017,-0.036,0.079,0.974
Thyroid_disorders,0.357,-0.055,0.195,-0.238
Allergic_rhinitis,0.365,-0.062,-0.041,0.117
Hypertension,0.548,-0.066,-0.141,-0.025
Osteoarthritis,0.303,-0.087,0.284,0.103
Miscellaneous_mental_health_disorders,0.534,-0.088,-0.104,0.007
Neoplasms,0.196,-0.1,0.048,-0.218
Disorders_of_lipid_metabolism,0.555,-0.132,0.146,0.046
Menopausal_disorders,0.414,-0.138,0.107,0.005
