"",ML2,ML1
Diabetes,-0.023,1.006
Obesity,0.246,0.448
Hypertension,0.291,0.4
Disorders_of_lipid_metabolism,0.414,0.297
Other_nutritional__endocrine__and_metabolic_disorders,0.139,0.235
Atopic_dermatitis,0.264,0.199
Glaucoma,0.174,0.185
Depression_and_Mood_disorders,0.504,0.174
Urinary_incontinence,0.312,0.141
Thyroid_disorders,0.346,0.102
Psoriasis_and_other_inflammatory,0.246,0.098
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.416,0.096
Headache__including_migraine,0.453,0.096
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.367,0.065
Esophageal_disorders,0.444,0.061
Neuropathy_and_other_nervous_system_disorders,0.493,0.036
Adjustment_disorders,0.34,0.024
Asthma,0.362,0.024
Anxiety_disorders,0.503,0.019
Menstrual_disorders,0.431,0.016
Osteoarthritis,0.464,0.014
Miscellaneous_mental_health_disorders,0.426,-0.001
Irritable_bowel_and_other_GI_disorders,0.352,-0.003
Allergic_rhinitis,0.328,-0.031
Vision_defects,0.421,-0.035
Acquired_foot_deformities,0.418,-0.054
Myodesopsia_and_other_eye_disorders,0.437,-0.11
Menopausal_disorders,0.533,-0.119
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.594,-0.131
Nonmalignant_breast_conditions,0.276,-0.138
Other_non-traumatic_joint_disorders,0.236,-0.169
Osteoporosis,0.404,-0.192
