"",ML11,ML14,ML16,ML7,ML1,ML6,ML9,ML13,ML2,ML12,ML3,ML5,ML10,ML15,ML8,ML4
Congestive_heart_failure__nonhypertensive,-0.084,0.892,-0.022,-0.025,0.142,0.048,-0.114,0.099,0.091,-0.055,0.052,0.107,0.091,0.016,-0.067,0.042
Hypertension,0.291,0.541,0.014,-0.04,-0.037,0.065,-0.053,0.026,0.035,0.219,0.033,0.125,-0.262,0.011,-0.072,0.009
Obesity,0.254,0.335,0.118,0.13,-0.121,0.258,0.18,0.033,-0.071,0.118,0.104,0.111,0.024,-0.154,0.138,-0.045
Asthma,-0.047,0.244,0.293,0.056,-0.201,0.11,0.108,0.221,-0.084,0.061,0.166,-0.104,0.05,-0.169,0.078,0.16
Urinary_incontinence,0.192,0.218,0.095,0.282,0.004,-0.151,0.335,0.072,0.08,0.089,0.024,-0.059,0.042,0.108,-0.006,-0.12
Miscellaneous_mental_health_disorders,0.073,0.21,0.28,-0.031,0.026,0.069,0.101,-0.452,0.11,0.098,0.047,-0.323,-0.226,0.159,0.218,0.054
Hepatic_steatosis_and_other_liver_diseases,0.087,0.204,-0.04,0.096,0.844,-0.018,0.044,0.05,0.023,-0.013,-0.106,-0.034,0.166,0.011,0.12,0.143
Epilepsy__convulsions,0.071,0.164,-0.061,-0.109,0.128,0.21,0.301,0.159,-0.246,-0.244,-0.072,-0.048,0.087,0.259,0.115,-0.108
Diabetes,0.111,0.148,0.302,-0.001,0.186,0.264,0.052,-0.246,0.069,-0.011,0.062,0.14,-0.198,0.035,-0.158,0.133
Headache__including_migraine,0.255,0.144,0.38,0.036,-0.128,0.008,0.175,-0.005,-0.102,-0.021,0.21,-0.082,0.083,0.15,0.114,-0.081
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.055,0.13,0.042,-0.045,0.041,-0.036,0.087,0.893,0.062,-0.017,-0.079,-0.179,-0.087,0.042,0.04,0.081
Menstrual_disorders,0.052,0.106,0.262,0.078,0.024,-0.098,-0.034,-0.098,0.079,0.02,0.125,-0.08,0.02,0.148,0.22,0.016
Neoplasms,-0.066,0.103,-0.001,-0.01,-0.028,-0.041,0.034,-0.119,-0.061,-0.053,0.005,0.964,0.023,0.044,0.089,0.048
Menopausal_disorders,0.007,0.092,0.24,0.13,-0.282,0.038,0.023,-0.074,0.111,0.175,-0.052,0.155,-0.074,0.195,-0.106,0.046
Glaucoma,-0.024,0.061,-0.003,0.001,0.02,0.093,-0.022,0.053,0.937,-0.121,0.104,-0.065,0.084,0.022,0.019,-0.045
Acquired_foot_deformities,0.184,0.057,-0.221,0.281,-0.432,0.092,-0.199,-0.009,-0.065,-0.282,0.045,-0.185,0.237,0.329,0.146,0.207
Disorders_of_lipid_metabolism,0.217,0.05,0.228,0.133,-0.092,0.237,-0.137,0.123,-0.011,0.153,0.125,0.114,-0.019,0.172,-0.012,-0.092
Anxiety_disorders,0.075,0.037,0.24,0.073,0.033,0.005,0.195,0.1,0.081,0.202,0.096,0.054,0.073,0.223,-0.021,0.085
Allergic_rhinitis,-0.053,0.031,-0.026,-0.013,-0.055,-0.109,0.007,-0.062,0.091,0.005,0.971,0.002,0.023,-0.014,0.01,-0.012
Coagulation_and_hemorrhagic_disorders,0.024,0.03,0.042,-0.041,0.069,0.022,0.049,-0.051,0.071,0.126,0.031,0.032,0.988,-0.036,-0.036,-0.005
Osteoporosis,0.228,0.028,-0.177,0.177,-0.032,0.182,-0.008,0.29,0.21,-0.079,0.022,0.308,0.022,0.126,-0.008,0.098
Cataract,-0.036,0.016,-0.011,-0.02,-0.013,0.991,0.001,-0.043,0.073,0.008,-0.101,-0.037,0.021,-0.022,-0.013,-0.03
Hepatitis,0.016,0.005,0.028,-0.017,0.05,-0.033,0.104,0.029,-0.034,0.019,-0.016,0.053,-0.019,-0.011,-0.053,0.944
Vision_defects,-0.111,0.001,0.009,-0.131,0.014,-0.033,-0.027,0.031,0.04,0.155,0.022,0.086,-0.094,0.764,0,0.007
Nonmalignant_breast_conditions,-0.159,0,0.532,0.057,-0.116,-0.08,-0.105,-0.033,-0.069,-0.175,-0.015,-0.075,0.211,0.011,0.03,0.119
Adjustment_disorders,-0.031,-0.003,-0.045,0.048,-0.008,0.019,-0.03,-0.014,-0.102,0.974,0.008,-0.064,0.13,0.07,0.096,0.012
Osteoarthritis,0.384,-0.016,-0.093,0.341,-0.067,0.029,0.103,-0.112,0.295,0.116,0.028,0.085,-0.148,0.109,-0.094,-0.003
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.091,-0.023,0.006,1.017,0.059,-0.019,-0.024,-0.027,-0.003,0.039,-0.001,-0.008,-0.038,-0.072,0.02,-0.007
Cardiac_dysrhythmias,1.008,-0.034,-0.012,-0.09,0.045,-0.025,-0.021,-0.037,-0.029,-0.041,-0.039,-0.066,0.028,-0.044,-0.004,0.038
Esophageal_disorders,0.186,-0.054,0.125,0.086,0.341,0.091,-0.119,0.093,-0.352,-0.146,0.369,0.106,0.025,0.079,0.094,-0.02
Depression_and_Mood_disorders,0.156,-0.056,0.213,0.129,0.149,-0.039,0.163,0.257,0.031,0.136,0.004,0.095,0.039,0.177,0.04,0.065
Atopic_dermatitis,-0.024,-0.071,0.007,0.013,0.062,-0.014,0.046,0.022,0.02,0.075,0.01,0.083,-0.038,-0.004,0.983,-0.045
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.094,-0.073,0.331,0.312,0.07,0.077,0.233,0.087,-0.085,-0.069,-0.13,0.115,0.101,0.2,-0.225,-0.186
Neuropathy_and_other_nervous_system_disorders,0.055,-0.116,0.355,0.128,0.093,-0.221,0.022,0.071,0.219,-0.01,0.076,-0.025,-0.009,0.121,-0.224,0.085
Adictions,-0.029,-0.117,-0.044,-0.03,0.004,0.012,0.907,0.051,-0.015,-0.033,0.007,0.039,0.055,-0.033,0.068,0.177
Alcohol-related_disorders,-0.082,-0.138,-0.076,0,0.477,0.297,0.158,0.109,-0.106,0.126,0.297,-0.145,0.014,0.149,-0.138,0.141
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.226,-0.182,0.132,-0.142,0.109,-0.131,0.007,-0.021,0.231,0.03,-0.047,0.124,0.142,0.314,0.058,0.054
Thyroid_disorders,0.058,-0.194,0.444,0.071,-0.027,0.202,-0.212,0.273,0.143,0.107,0.054,0.179,-0.11,-0.121,0.084,0.058
