"",ML6,ML7,ML8,ML5,ML2,ML4,ML1,ML3
Thyroid_disorders,-0.079,0.471,0.026,-0.064,0.009,-0.185,0.128,0.146
Menopausal_disorders,-0.202,0.458,0.12,0.072,-0.038,0.047,0.051,0.032
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.208,0.439,-0.002,-0.083,-0.177,-0.006,-0.064,0.115
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.046,0.406,0.131,-0.078,-0.232,0.354,-0.01,0.017
Diabetes,-0.033,0.375,0.045,0.211,0.178,-0.262,0.03,0.214
Disorders_of_lipid_metabolism,-0.141,0.358,0.189,0.122,0.132,0.084,0.005,0.217
Depression_and_Mood_disorders,0.414,0.355,0.106,-0.031,0.092,-0.023,0.026,-0.051
Urinary_incontinence,0.257,0.326,0.134,0.094,0.115,0.074,0.084,-0.113
Neuropathy_and_other_nervous_system_disorders,0.14,0.32,0.09,-0.095,0.036,-0.096,0.275,-0.236
Anxiety_disorders,0.329,0.305,0.281,0.026,0.028,-0.003,0.086,-0.017
Vision_defects,0.094,0.301,0.129,0.044,-0.117,0.168,0.023,-0.063
Osteoarthritis,-0.086,0.3,0.051,-0.068,0.33,0.091,0.262,0.039
Osteoporosis,0.155,0.282,-0.264,0.146,0.136,0.234,0.189,0.118
Neoplasms,-0.123,0.272,-0.034,0.354,-0.116,-0.138,-0.232,-0.15
Nonmalignant_breast_conditions,0.006,0.219,0.081,0.017,-0.156,0.138,-0.03,-0.115
Hypertension,-0.216,0.213,0.064,0.561,0.284,-0.149,-0.025,0.073
Headache__including_migraine,0.054,0.211,0.409,0.088,0.208,0.143,-0.046,-0.01
Hepatitis,0.52,0.19,-0.156,0.09,0.1,0.151,-0.11,-0.161
Asthma,0.172,0.185,0.154,0.205,-0.088,0.087,-0.049,0.071
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.502,0.171,-0.33,0.148,-0.127,0.045,0.128,-0.022
Esophageal_disorders,0.239,0.154,0.169,0.11,0.134,0.084,-0.265,-0.003
Adictions,0.65,0.136,-0.008,-0.258,-0.006,-0.106,-0.069,-0.003
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.165,0.135,0.091,-0.128,0.232,0.002,0.211,-0.16
Obesity,0.038,0.127,0.31,0.295,0.186,0.031,-0.1,0.252
Adjustment_disorders,0.076,0.07,0.537,-0.069,-0.088,-0.193,-0.194,0.09
Menstrual_disorders,0.102,0.07,0.398,0.06,0.048,0.11,0.102,-0.122
Miscellaneous_mental_health_disorders,-0.096,0.052,0.484,0.033,0.188,-0.052,0.082,0.086
Cataract,0.017,0.011,-0.017,0.016,-0.019,0.036,0.064,0.985
Allergic_rhinitis,-0.065,0,0.513,0.12,-0.103,0.109,0.257,-0.27
Glaucoma,-0.01,-0.001,-0.008,0.047,-0.003,-0.013,0.979,0.063
Acquired_foot_deformities,-0.079,-0.008,-0.003,0.016,0.096,0.969,-0.007,0.039
Alcohol-related_disorders,0.647,-0.019,0.179,-0.088,-0.069,-0.097,-0.01,0.248
Cardiac_dysrhythmias,0.042,-0.037,-0.003,-0.052,0.991,0.08,-0.007,-0.014
Congestive_heart_failure__nonhypertensive,0.083,-0.049,-0.004,0.965,-0.086,0.05,0.09,0.031
Atopic_dermatitis,0.152,-0.068,0.402,-0.112,-0.016,0.114,-0.103,-0.053
Epilepsy__convulsions,0.447,-0.088,-0.07,0.122,0.064,0.193,-0.21,0.217
Hepatic_steatosis_and_other_liver_diseases,0.756,-0.145,0.011,0.283,0.146,-0.184,0.015,-0.011
Coagulation_and_hemorrhagic_disorders,0.417,-0.254,0.223,0.077,-0.053,0.24,0.123,0.012
