"",ML10,ML11,ML1,ML9,ML4,ML6,ML8,ML3,ML7,ML2,ML5
Osteoporosis,-0.068,0.509,-0.08,-0.002,-0.053,-0.035,0.279,0.104,0.069,-0.186,0.002
Acquired_foot_deformities,0.085,0.49,-0.02,-0.011,-0.038,-0.031,-0.076,-0.064,0.102,0.193,0.09
Osteoarthritis,0.011,0.469,0.017,0.137,0.142,0.095,-0.116,0.076,0.154,0.047,-0.206
Menopausal_disorders,0.098,0.44,-0.182,0.18,-0.043,0.178,0.065,-0.217,0.014,0.184,0.086
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.215,0.325,-0.165,0.106,0.063,0.068,0.213,-0.016,0.062,0.099,-0.154
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.031,0.311,0.278,-0.201,0.247,-0.056,0.028,0.147,-0.054,-0.039,0.179
Glaucoma,-0.16,0.269,0.244,0.2,0.009,0.117,-0.032,0.103,-0.247,-0.066,0.123
Disorders_of_lipid_metabolism,0.027,0.265,0.246,0.22,0.004,0.05,0.218,-0.023,-0.059,0.099,0.037
Neuropathy_and_other_nervous_system_disorders,0.2,0.248,0.196,-0.072,0.176,0.009,-0.09,0.342,0.06,-0.045,0.1
Thyroid_disorders,0.136,0.238,0.231,-0.043,0.231,-0.041,-0.085,0.015,0.049,-0.167,0.072
Vision_defects,0.308,0.238,-0.021,0.038,0.003,-0.118,0.164,-0.055,-0.04,0.011,-0.007
Esophageal_disorders,0.226,0.168,0.098,0.068,0.21,0.14,-0.133,0.046,0.02,-0.004,-0.001
Depression_and_Mood_disorders,0.343,0.151,0.23,-0.084,0.029,0.161,0.204,-0.018,0,-0.031,0.01
Anxiety_disorders,0.415,0.135,0.056,-0.048,0.008,0.187,0.017,-0.003,-0.092,0.11,0.035
Adjustment_disorders,0.16,0.066,0.023,0.059,0.205,0.164,-0.102,0.03,0.162,-0.046,-0.046
Urinary_incontinence,0.385,0.034,0.096,0.127,0.096,0.056,0.1,-0.156,-0.37,0.079,-0.105
Atopic_dermatitis,0.015,0.023,0.057,0.021,0.017,0.022,0.042,-0.036,0.958,-0.015,0.021
Miscellaneous_mental_health_disorders,0.597,0.013,-0.042,0.133,-0.049,-0.133,-0.017,0.046,0.076,-0.075,0.046
Allergic_rhinitis,0.22,0.008,-0.041,0.018,0.084,0.029,-0.064,0.124,0.101,0.17,0.097
Other_nutritional__endocrine__and_metabolic_disorders,-0.024,0.005,0.04,-0.017,0.014,-0.036,0.016,0.033,-0.016,0.99,0.011
Hypertension,0.006,-0.004,0.046,0.973,0.021,-0.029,-0.002,0.032,0.013,-0.017,0.021
Other_non-traumatic_joint_disorders,-0.001,-0.013,-0.057,0.038,-0.062,0.015,0.056,0.975,-0.032,0.035,-0.018
Nonmalignant_breast_conditions,0.011,-0.014,-0.029,0.022,0.004,0.016,0,-0.016,0.016,0.013,0.992
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.014,-0.015,0.037,-0.001,0.066,0.027,0.95,0.053,0.038,0.02,0.001
Irritable_bowel_and_other_GI_disorders,-0.022,-0.02,-0.002,-0.025,-0.01,1,0.014,0.012,0.012,-0.035,0.015
Myodesopsia_and_other_eye_disorders,-0.034,-0.032,-0.055,0.021,0.99,-0.007,0.056,-0.052,0.009,0.017,0.006
Asthma,0.216,-0.037,0.011,0.001,0.129,0.113,-0.121,0.278,0.208,0.192,-0.011
Diabetes,-0.001,-0.038,0.923,0.087,-0.067,0.01,0.058,-0.071,0.078,0.069,-0.04
Headache__including_migraine,0.527,-0.042,0.094,0.067,-0.004,-0.021,0.13,0.055,0.028,-0.107,0.105
Psoriasis_and_other_inflammatory,0.076,-0.047,0.053,0.205,0.063,0.071,0.027,0.107,0.125,-0.082,0.064
Obesity,0.194,-0.05,0.38,0.211,0.142,0.082,-0.132,0.096,-0.052,0.109,-0.029
Menstrual_disorders,0.546,-0.085,-0.021,-0.013,-0.046,0.111,-0.009,0.03,0.099,0.098,0.063
