"",ML13,ML11,ML3,ML8,ML12,ML2,ML10,ML5,ML7,ML9,ML6,ML1,ML4
Congestive_heart_failure__nonhypertensive,-0.085,0.891,-0.097,-0.102,-0.014,0.12,0.096,0.033,-0.091,0.063,0.086,0.191,0.117
Hypertension,0.049,0.591,0.3,-0.065,-0.082,-0.021,0.057,0.1,-0.01,-0.134,-0.107,-0.098,0.074
Obesity,0.092,0.391,0.211,0.127,0.099,-0.065,-0.017,0.248,0.197,0.025,-0.012,-0.161,0.086
Asthma,0.122,0.368,-0.051,0.188,0.085,-0.086,0.216,0.065,0.108,0.066,-0.105,-0.204,-0.112
Miscellaneous_mental_health_disorders,0.179,0.273,0.137,0.099,0.001,0.088,-0.374,0.037,0.219,-0.11,0.021,-0.115,-0.346
Diabetes,0.278,0.244,0.184,0.097,0.001,0.065,-0.188,0.225,-0.154,-0.243,-0.044,0.037,0.096
Headache__including_migraine,0.343,0.242,0.224,0.169,-0.056,-0.029,-0.053,-0.044,0.138,0.074,0.084,-0.159,-0.113
Allergic_rhinitis,0.001,0.202,-0.083,-0.044,0.387,0.258,-0.239,-0.327,0.104,0.108,-0.026,-0.272,0.031
Urinary_incontinence,0.222,0.189,0.137,0.195,0.208,0.095,0.019,-0.148,0.046,0.046,0.07,-0.094,-0.048
Hepatic_steatosis_and_other_liver_diseases,0.074,0.183,0.119,0.071,0.202,0.037,0.055,-0.031,0.11,-0.161,0.101,0.797,-0.024
Menopausal_disorders,0.34,0.147,0.016,0.059,0.001,0.053,-0.04,0.057,-0.066,0.045,-0.168,-0.287,0.131
Hepatitis,0.046,0.125,0.131,0.494,0.125,-0.11,0.165,-0.12,-0.144,0.23,-0.139,0.186,0.117
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.026,0.117,-0.059,0.08,0.058,0.056,0.919,-0.044,0.04,-0.005,0.085,0.007,-0.145
Disorders_of_lipid_metabolism,0.371,0.115,0.19,-0.172,0.016,0.021,0.074,0.2,0.055,0.032,0.042,-0.14,0.087
Adjustment_disorders,0.251,0.093,-0.067,-0.021,0.201,-0.222,-0.133,0.06,0.317,-0.222,-0.151,-0.011,-0.164
Neoplasms,0.017,0.092,-0.052,0.038,-0.031,-0.06,-0.129,-0.039,0.083,-0.071,0,-0.032,0.947
Anxiety_disorders,0.331,0.08,0.074,0.155,0.236,0.111,0.045,-0.074,0.022,-0.056,0.165,-0.094,0.058
Menstrual_disorders,0.203,0.078,0.053,-0.164,0.204,0.15,-0.139,-0.226,0.189,-0.011,0.4,-0.152,-0.04
Coagulation_and_hemorrhagic_disorders,0.051,0.076,-0.084,0.2,0.068,0.155,-0.251,0.005,-0.022,0.267,0.038,0.409,0.015
Cataract,0.014,0.045,-0.023,-0.009,0.123,0.09,-0.046,0.959,-0.007,0.04,0.073,-0.028,-0.036
Esophageal_disorders,0.312,0.035,0.17,-0.144,0.094,-0.23,0.012,-0.036,0.104,0.03,0.19,0.231,0.099
Glaucoma,-0.029,0.031,-0.024,-0.007,-0.053,0.984,0.039,0.074,-0.003,-0.013,-0.052,0.038,-0.053
Nonmalignant_breast_conditions,0.279,0.03,-0.143,-0.055,-0.025,-0.015,-0.017,-0.159,-0.054,0.058,0.209,-0.101,-0.051
Acquired_foot_deformities,0.043,0.027,0.115,-0.052,-0.031,-0.002,-0.002,0.039,0.046,0.946,0.047,-0.091,-0.061
Epilepsy__convulsions,-0.023,0.009,0.021,0.086,-0.032,-0.072,0.069,0.094,-0.001,0.039,0.926,0.051,0.003
Vision_defects,0.218,-0.002,-0.064,-0.072,0.221,0.061,0.043,-0.104,0.025,0.121,0.175,-0.115,0.136
Osteoporosis,0.037,-0.012,0.199,0.002,0.083,0.243,0.269,0.16,-0.013,0.257,0.038,0.028,0.361
Depression_and_Mood_disorders,0.416,-0.014,0.148,0.173,0.059,0.037,0.23,-0.06,0.081,-0.068,0.052,0.101,0.069
Cardiac_dysrhythmias,-0.077,-0.033,0.99,-0.014,-0.015,-0.022,-0.042,-0.017,-0.013,0.093,0.026,0.064,-0.052
Neuropathy_and_other_nervous_system_disorders,0.365,-0.057,0.091,0.038,0.197,0.212,0.096,-0.262,-0.207,-0.091,-0.143,-0.044,-0.013
Osteoarthritis,0.269,-0.061,0.341,0.042,-0.055,0.3,-0.144,0.041,-0.062,0.071,0.049,-0.071,0.073
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.652,-0.061,-0.191,-0.044,-0.033,-0.015,-0.054,0.034,0.068,0.323,-0.157,0.191,-0.019
Alcohol-related_disorders,-0.054,-0.065,-0.016,0.052,0.947,-0.07,0.058,0.137,-0.051,-0.031,-0.012,0.106,-0.032
Atopic_dermatitis,-0.048,-0.068,-0.018,0.038,-0.042,-0.001,0.042,-0.007,1.004,0.042,0.012,0.062,0.068
Thyroid_disorders,0.412,-0.083,0.091,-0.163,-0.037,0.113,0.294,0.172,0.129,-0.23,-0.135,-0.122,0.122
Adictions,-0.022,-0.094,-0.034,0.946,0.023,0.009,0.024,0.013,0.065,-0.073,0.091,-0.004,0.019
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.568,-0.101,-0.137,0.118,0.012,-0.038,0.043,0.076,-0.221,-0.065,0.188,0.009,0.088
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.084,-0.169,0.266,0.05,0.159,0.23,-0.009,-0.151,0.061,0.022,-0.047,0.072,0.155
