"",ML3,ML2,ML1
Hepatic_steatosis_and_other_liver_diseases,-0.081,0.73,0.312
Adictions,0.036,0.713,-0.28
Alcohol-related_disorders,0.069,0.639,-0.039
Hepatitis,0.046,0.532,0.044
Epilepsy__convulsions,-0.05,0.461,0.127
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.099,0.459,0.211
Depression_and_Mood_disorders,0.373,0.423,-0.066
Coagulation_and_hemorrhagic_disorders,-0.028,0.345,0.15
Anxiety_disorders,0.446,0.335,0.001
Esophageal_disorders,0.25,0.261,0.01
Urinary_incontinence,0.412,0.242,0.063
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.286,0.217,-0.118
Asthma,0.233,0.176,0.177
Atopic_dermatitis,0.189,0.167,-0.173
Adjustment_disorders,0.312,0.13,-0.171
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.282,0.128,-0.108
Osteoporosis,0.196,0.096,0.237
Obesity,0.404,0.092,0.263
Neuropathy_and_other_nervous_system_disorders,0.331,0.085,-0.088
Menstrual_disorders,0.361,0.071,0.034
Vision_defects,0.32,0.071,0.006
Headache__including_migraine,0.554,0.065,0.017
Cardiac_dysrhythmias,0.35,0.056,-0.045
Congestive_heart_failure__nonhypertensive,0.001,0.055,0.988
Cataract,0.153,0.039,0.213
Diabetes,0.411,0.025,0.195
Nonmalignant_breast_conditions,0.195,-0.019,-0.037
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.381,-0.021,-0.103
Neoplasms,0.073,-0.057,0.213
Miscellaneous_mental_health_disorders,0.476,-0.069,0.011
Thyroid_disorders,0.413,-0.071,-0.057
Allergic_rhinitis,0.314,-0.111,0.107
Osteoarthritis,0.471,-0.124,-0.011
Disorders_of_lipid_metabolism,0.541,-0.145,0.105
Glaucoma,0.178,-0.149,0.355
Hypertension,0.328,-0.15,0.509
Acquired_foot_deformities,0.195,-0.181,0.068
Menopausal_disorders,0.468,-0.203,0.031
