"",ML5,ML4,ML2,ML1,ML3
Hepatic_steatosis_and_other_liver_diseases,-0.098,0.768,0.276,0.137,-0.161
Adictions,0.107,0.646,-0.289,-0.016,-0.098
Alcohol-related_disorders,0.145,0.634,-0.051,-0.069,-0.08
Hepatitis,0.031,0.516,0.023,0.089,0.144
Epilepsy__convulsions,-0.112,0.49,0.096,0.077,0.197
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.028,0.456,0.193,-0.147,0.061
Coagulation_and_hemorrhagic_disorders,-0.043,0.424,0.116,-0.059,0.264
Depression_and_Mood_disorders,0.392,0.398,-0.052,0.071,-0.026
Anxiety_disorders,0.479,0.308,0.026,0.008,-0.006
Esophageal_disorders,0.196,0.281,0.009,0.143,0.061
Urinary_incontinence,0.392,0.234,0.081,0.092,0.069
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.397,0.203,-0.097,-0.188,-0.017
Atopic_dermatitis,0.17,0.187,-0.17,-0.01,0.106
Asthma,0.275,0.165,0.192,-0.089,0.074
Osteoporosis,0.122,0.131,0.23,0.117,0.252
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.203,0.128,-0.1,0.206,0.014
Adjustment_disorders,0.389,0.097,-0.138,-0.074,-0.217
Congestive_heart_failure__nonhypertensive,-0.017,0.093,0.993,-0.087,0.051
Menstrual_disorders,0.33,0.09,0.051,0.036,0.106
Vision_defects,0.347,0.081,0.027,-0.13,0.156
Obesity,0.333,0.07,0.289,0.197,0.02
Neuropathy_and_other_nervous_system_disorders,0.364,0.069,-0.062,0.002,-0.092
Headache__including_migraine,0.455,0.062,0.047,0.204,0.125
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.443,0.051,-0.092,-0.245,0.34
Cardiac_dysrhythmias,-0.006,0.049,-0.065,0.986,0.086
Cataract,0.132,0.046,0.222,0.004,0.075
Nonmalignant_breast_conditions,0.232,-0.003,-0.022,-0.164,0.121
Diabetes,0.386,-0.033,0.24,0.173,-0.266
Acquired_foot_deformities,0.009,-0.056,0.031,0.097,0.969
Neoplasms,0.132,-0.089,0.239,-0.109,-0.175
Miscellaneous_mental_health_disorders,0.396,-0.094,0.052,0.185,-0.055
Allergic_rhinitis,0.324,-0.096,0.136,-0.12,0.108
Thyroid_disorders,0.459,-0.111,-0.011,-0.006,-0.187
Glaucoma,0.159,-0.117,0.372,-0.06,0.07
Osteoarthritis,0.353,-0.12,0.011,0.306,0.103
Disorders_of_lipid_metabolism,0.474,-0.14,0.144,0.129,0.072
Hypertension,0.233,-0.202,0.548,0.286,-0.166
Menopausal_disorders,0.493,-0.225,0.077,-0.05,0.027
