"",ML9,ML8,ML7,ML2,ML5,ML6,ML1,ML4,ML3
Hepatic_steatosis_and_other_liver_diseases,-0.12,0.769,0.286,0.136,-0.011,-0.185,0.025,0.12,-0.034
Alcohol-related_disorders,0.19,0.633,-0.054,-0.077,0.224,-0.101,-0.058,-0.082,-0.152
Adictions,0.093,0.617,-0.278,-0.003,0.024,-0.109,-0.045,0.122,0.078
Hepatitis,0.098,0.551,0.042,0.107,-0.139,0.176,-0.103,-0.15,0.116
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.003,0.449,0.235,-0.161,-0.033,0.017,0.092,0.027,-0.314
Coagulation_and_hemorrhagic_disorders,-0.055,0.435,0.051,-0.044,0.003,0.254,0.127,-0.003,0.082
Epilepsy__convulsions,-0.124,0.423,0.131,0.062,0.222,0.183,-0.198,0.099,-0.025
Depression_and_Mood_disorders,0.369,0.385,-0.043,0.095,-0.028,-0.028,0.04,0.073,0.064
Anxiety_disorders,0.465,0.297,0.021,0.034,-0.008,-0.008,0.084,0.032,0.049
Esophageal_disorders,0.2,0.252,0.087,0.145,0.012,0.084,-0.241,0.095,0.095
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.414,0.234,-0.134,-0.166,0.136,0.015,-0.068,-0.208,0.124
Urinary_incontinence,0.387,0.225,0.117,0.11,-0.108,0.06,0.076,0.06,-0.053
Osteoporosis,-0.021,0.212,0.04,0.152,0.176,0.264,0.259,-0.03,0.301
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.135,0.182,-0.171,0.241,-0.136,0.013,0.239,0.049,0.143
Neuropathy_and_other_nervous_system_disorders,0.442,0.149,-0.098,0.032,-0.242,-0.081,0.232,-0.228,-0.027
Asthma,0.305,0.104,0.262,-0.097,0.059,0.059,-0.071,0.092,-0.133
Congestive_heart_failure__nonhypertensive,-0.021,0.1,0.941,-0.083,0.026,0.063,0.099,-0.072,0.088
Vision_defects,0.333,0.091,0.023,-0.109,-0.047,0.17,0.038,0.022,0.093
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.415,0.063,-0.091,-0.227,0.032,0.352,0.005,0.04,0.044
Cardiac_dysrhythmias,-0.032,0.048,-0.046,0.991,-0.011,0.078,-0.018,-0.017,-0.047
Menstrual_disorders,0.32,0.042,0.102,0.046,-0.132,0.083,0.1,0.225,-0.052
Atopic_dermatitis,-0.011,0.034,-0.068,-0.023,-0.017,0.038,0.015,0.994,0.065
Cataract,-0.021,0.015,0.008,-0.019,0.987,0.03,0.066,-0.016,-0.029
Diabetes,0.324,0.008,0.15,0.193,0.238,-0.241,0.043,-0.153,0.162
Adjustment_disorders,0.394,-0.004,0.004,-0.09,0.068,-0.237,-0.209,0.285,-0.139
Nonmalignant_breast_conditions,0.28,-0.006,0.034,-0.158,-0.119,0.133,-0.046,-0.036,-0.041
Obesity,0.269,-0.007,0.289,0.197,0.264,0.013,-0.073,0.193,0.095
Headache__including_migraine,0.47,-0.009,0.133,0.209,-0.019,0.115,-0.06,0.153,-0.066
Glaucoma,-0.015,-0.017,0.054,-0.018,0.063,-0.014,0.978,0.017,-0.055
Neoplasms,-0.005,-0.021,0.077,-0.048,-0.031,-0.065,-0.053,0.069,0.971
Osteoarthritis,0.268,-0.062,-0.112,0.339,0.064,0.103,0.279,-0.051,0.122
Acquired_foot_deformities,0.018,-0.073,0.036,0.093,0.031,0.962,-0.007,0.039,-0.068
Thyroid_disorders,0.334,-0.09,-0.09,0.015,0.181,-0.192,0.161,0.083,0.096
Allergic_rhinitis,0.339,-0.099,0.142,-0.096,-0.288,0.099,0.248,0.108,0.013
Disorders_of_lipid_metabolism,0.401,-0.146,0.104,0.141,0.233,0.078,0.019,0.033,0.079
Miscellaneous_mental_health_disorders,0.401,-0.189,0.139,0.171,0.05,-0.104,0.042,0.245,-0.259
Menopausal_disorders,0.474,-0.196,0.026,-0.024,0.055,0.058,0.063,-0.09,0.164
Hypertension,0.201,-0.217,0.546,0.29,0.082,-0.15,-0.015,-0.019,0.072
