"",ML8,ML9,ML1,ML7,ML5,ML6,ML3,ML2,ML4
Osteoporosis,-0.116,0.535,-0.08,-0.047,-0.001,0.066,0.253,0.109,-0.179
Menopausal_disorders,0.162,0.506,-0.173,-0.037,0.153,0.032,0.065,-0.208,0.17
Acquired_foot_deformities,0.076,0.468,-0.035,-0.022,0.004,0.114,-0.097,-0.058,0.195
Osteoarthritis,-0.046,0.461,0.057,0.136,0.126,0.132,-0.1,0.087,0.052
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.177,0.321,-0.142,0.054,0.109,0.039,0.23,-0.013,0.099
Glaucoma,-0.091,0.297,0.247,0.025,0.167,-0.221,-0.043,0.115,-0.077
Disorders_of_lipid_metabolism,0.037,0.289,0.251,0.012,0.208,-0.054,0.21,-0.017,0.093
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.057,0.263,0.247,0.273,-0.187,-0.032,-0.003,0.152,-0.042
Neuropathy_and_other_nervous_system_disorders,0.197,0.252,0.186,0.192,-0.065,0.07,-0.109,0.347,-0.05
Thyroid_disorders,0.128,0.218,0.217,0.244,-0.03,0.052,-0.105,0.018,-0.168
Esophageal_disorders,0.246,0.204,0.115,0.211,0.053,0.022,-0.124,0.054,-0.016
Depression_and_Mood_disorders,0.372,0.189,0.244,0.032,-0.097,0,0.214,-0.011,-0.048
Vision_defects,0.269,0.187,-0.041,0.007,0.074,-0.056,0.151,-0.061,0.014
Irritable_bowel_and_other_GI_disorders,0.25,0.184,0.106,-0.012,-0.181,0.081,0.123,0.056,-0.094
Anxiety_disorders,0.476,0.182,0.067,0.009,-0.063,-0.09,0.031,0.002,0.088
Adjustment_disorders,0.198,0.098,0.045,0.199,0.037,0.159,-0.083,0.035,-0.058
Urinary_incontinence,0.345,0.058,0.118,0.088,0.132,-0.393,0.117,-0.155,0.071
Nonmalignant_breast_conditions,0.242,0.046,-0.151,0.081,0.027,0.167,-0.078,-0.009,-0.011
Atopic_dermatitis,0.022,0.022,0.052,0.014,0.023,0.964,0.042,-0.037,-0.013
Allergic_rhinitis,0.265,0.011,-0.055,0.089,0.022,0.111,-0.066,0.122,0.161
Hypertension,0.001,0.009,0.046,0.017,0.971,0.014,-0.003,0.03,-0.014
Other_nutritional__endocrine__and_metabolic_disorders,-0.018,0.008,0.039,0.015,-0.014,-0.015,0.015,0.032,0.988
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.015,-0.008,0.034,0.065,-0.002,0.037,0.955,0.052,0.018
Asthma,0.246,-0.017,0.022,0.126,-0.008,0.209,-0.106,0.28,0.182
Other_non-traumatic_joint_disorders,0,-0.017,-0.054,-0.061,0.036,-0.033,0.057,0.976,0.033
Miscellaneous_mental_health_disorders,0.525,-0.022,-0.068,-0.045,0.189,0.065,-0.027,0.037,-0.072
Obesity,0.19,-0.023,0.399,0.141,0.201,-0.057,-0.122,0.101,0.1
Psoriasis_and_other_inflammatory,0.124,-0.033,0.05,0.065,0.195,0.135,0.031,0.108,-0.09
Myodesopsia_and_other_eye_disorders,-0.035,-0.033,-0.055,0.991,0.019,0.007,0.057,-0.052,0.019
Diabetes,-0.011,-0.043,0.937,-0.063,0.076,0.069,0.053,-0.065,0.062
Headache__including_migraine,0.525,-0.052,0.071,0.004,0.098,0.031,0.125,0.05,-0.116
Menstrual_disorders,0.629,-0.084,-0.032,-0.048,-0.008,0.099,0.007,0.025,0.077
