"",ML9,ML8,ML2,ML6,ML1,ML3,ML4,ML7,ML10,ML5,ML11
Diabetes,-0.008,0.96,-0.034,-0.022,0.048,-0.031,0.011,0.051,-0.031,-0.001,0.005
Disorders_of_lipid_metabolism,0.039,0.315,0.076,0.067,-0.021,0.02,-0.041,0.194,0.29,0.032,0.071
Depression_and_Mood_disorders,0.247,0.285,0.171,0.054,0.051,0.046,0.165,-0.143,0.199,-0.007,-0.03
Thyroid_disorders,0.108,0.178,0.039,0.121,-0.038,0.097,-0.008,-0.049,0.149,0.135,0.071
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.11,0.164,0.134,0.182,-0.004,0.174,0.001,-0.126,-0.052,0.049,0.478
Headache__including_migraine,0.578,0.118,0.079,0.091,-0.029,0.111,-0.028,0.032,-0.011,0.064,-0.149
Neuropathy_and_other_nervous_system_disorders,0.22,0.111,0.075,0.204,0.063,0.159,0.064,-0.073,0.165,0.009,-0.047
Esophageal_disorders,0.262,0.11,0.093,0.012,-0.027,0.005,-0.19,0.051,0.22,0.15,0.126
Acquired_foot_deformities,0.052,0.106,0.19,0.235,-0.242,0.126,-0.009,0.052,0.089,-0.09,0.239
Hypertension,0.003,0.042,0.019,0.016,0.021,0.014,0.015,0.954,-0.001,0.022,-0.01
Anxiety_disorders,0.34,0.031,-0.015,-0.017,0.161,-0.002,0.175,-0.087,0.219,-0.005,0.122
Obesity,-0.011,0.029,0.016,0.031,0.969,0.014,-0.022,0.016,-0.002,0.002,-0.005
Urinary_incontinence,0.226,0.025,0.016,-0.057,0.202,-0.175,0.082,0.097,0.133,0.032,0.06
Asthma,0.203,0.017,0.237,-0.099,0.128,0.035,-0.018,-0.005,-0.075,0.051,0.107
Adjustment_disorders,-0.01,0.005,0.003,0.011,-0.02,0.001,0.996,0.012,-0.007,0.01,-0.009
Psoriasis_and_other_inflammatory,-0.007,-0.011,-0.004,0.004,-0.001,-0.001,0.008,0.011,-0.002,0.997,-0.001
Menstrual_disorders,0.466,-0.019,0.019,-0.121,0.096,0.01,0.109,-0.02,-0.071,0.079,0.235
Osteoarthritis,0.005,-0.024,-0.012,0.987,0.031,-0.034,0.015,0.015,0,0.01,0.003
Nonmalignant_breast_conditions,0.006,-0.026,-0.025,-0.031,0.011,0.993,0.002,0.013,0,0.002,-0.003
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.009,-0.029,1.005,-0.012,0.012,-0.025,0.003,0.015,-0.005,0,-0.008
Allergic_rhinitis,0.219,-0.032,0.015,-0.007,0.048,0.088,0.026,0.036,0.01,0.007,0.149
Osteoporosis,-0.069,-0.051,0.013,0.031,-0.008,-0.001,-0.016,-0.015,0.71,0.007,-0.051
Vision_defects,0.24,-0.056,-0.026,0.011,0.013,-0.1,-0.021,0.11,0.088,-0.009,0.405
Miscellaneous_mental_health_disorders,0.538,-0.081,-0.008,0.076,0.047,0.029,0.029,0.17,-0.071,-0.083,0.06
Menopausal_disorders,0.017,-0.103,0.019,-0.02,0.076,0.06,0.119,0.158,0.398,-0.05,0.248
