"",ML3,ML7,ML1,ML6,ML8,ML2,ML9,ML5,ML10,ML4
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.16,0.923,0.084,0.099,-0.039,-0.063,-0.036,0.02,-0.002,0.076
Thyroid_disorders,0.053,0.37,-0.194,-0.147,0.304,0.203,0.174,-0.297,0.073,-0.049
Asthma,0.068,0.324,-0.122,0.137,-0.075,0.102,0.246,-0.019,0.114,-0.007
Depression_and_Mood_disorders,0.222,0.288,0.156,0.191,0.087,0.155,0.095,-0.046,0.088,0.054
Osteoporosis,-0.01,0.248,0.119,-0.002,0.469,0.132,-0.112,0.284,0.072,-0.032
Disorders_of_lipid_metabolism,0.249,0.186,-0.054,-0.191,0.315,0.185,0.003,0.034,0.274,0.02
Hypertension,0.254,0.155,0.08,-0.204,0.443,-0.109,0.173,-0.033,0.073,-0.148
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.02,0.136,-0.04,0.174,0.116,0.36,0.033,-0.154,-0.015,0.124
Anxiety_disorders,0.123,0.128,0.039,0.215,0.035,0.085,0.23,-0.029,0.281,0.068
Obesity,0.315,0.11,0.02,0.109,0.211,0.134,0.313,0.041,-0.077,-0.101
Urinary_incontinence,0.088,0.091,0.06,0.217,0.086,0.237,0.069,0.065,0.24,0.024
Alcohol-related_disorders,-0.027,0.089,0.45,0.161,-0.245,0.018,0.086,-0.113,0.278,0.105
Hepatitis,0.01,0.08,0.262,0.438,0.161,-0.11,0.001,0.273,0.017,0.098
Headache__including_migraine,0.336,0.077,-0.086,0.155,0.045,0.008,0.405,0.153,0.018,0.091
Neuropathy_and_other_nervous_system_disorders,0.049,0.047,-0.006,-0.041,-0.016,0.02,0.019,-0.054,-0.016,0.987
Adictions,0.026,0.039,-0.004,0.992,-0.008,0.009,-0.01,-0.053,-0.005,-0.043
Hepatic_steatosis_and_other_liver_diseases,0.036,0.028,0.975,0.009,0.03,0.043,0.027,-0.053,-0.007,-0.01
Acquired_foot_deformities,0.033,0.01,-0.08,-0.057,-0.042,0.124,0.057,0.949,0.04,-0.064
Vision_defects,-0.09,0.008,0.008,0,0.105,-0.213,0.029,0.18,0.668,0.056
Menopausal_disorders,0.12,-0.009,-0.293,0.023,0.213,0.125,0.05,-0.008,0.201,0.186
Esophageal_disorders,-0.192,-0.024,0.263,-0.058,0.077,0.028,0.657,0.053,-0.068,0.03
Adjustment_disorders,0.146,-0.045,0.046,-0.013,-0.203,0.234,0.034,-0.355,0.481,-0.153
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.046,-0.047,0.042,-0.005,-0.016,0.987,0.002,0.096,-0.043,0.031
Menstrual_disorders,0.07,-0.058,0.013,-0.035,-0.139,0.051,0.383,0.069,0.154,0.129
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.083,-0.07,0.149,0.07,0.188,-0.18,-0.014,0.15,0.26,0.01
Diabetes,0.179,-0.104,0.118,0.005,0.512,-0.017,0.081,-0.161,0.115,0.062
Miscellaneous_mental_health_disorders,0.986,-0.122,0.025,0.025,-0.014,-0.042,-0.024,0.014,-0.004,0.069
Allergic_rhinitis,0.056,-0.16,-0.15,-0.002,-0.139,-0.057,0.546,0.078,0.139,0.082
Osteoarthritis,-0.048,-0.188,-0.037,0.013,0.179,0.282,-0.092,0.159,0.239,0.307
Neoplasms,-0.29,-0.383,-0.035,0.137,0.587,0.012,0.101,-0.138,0.029,0.023
