"",ML8,ML7,ML10,ML9,ML5,ML1,ML6,ML2,ML3,ML4
Congestive_heart_failure__nonhypertensive,-0.084,0.933,0.029,-0.023,-0.112,0.182,0.077,0.108,0.071,-0.072
Hypertension,0.104,0.62,0.007,-0.027,0.3,-0.131,-0.087,-0.012,-0.155,0.006
Obesity,0.187,0.394,0.153,0.061,0.214,-0.099,0.069,-0.053,-0.031,0.187
Neoplasms,0.113,0.388,-0.098,0.122,-0.118,-0.186,-0.063,-0.201,-0.172,0.171
Asthma,0.037,0.297,0.228,0.308,-0.084,-0.135,-0.037,-0.033,0.049,0.09
Diabetes,0.299,0.258,0.043,0.091,0.212,-0.026,-0.026,0.05,-0.285,-0.137
Disorders_of_lipid_metabolism,0.383,0.18,0.131,-0.104,0.187,-0.126,0.071,0.037,0.017,0.025
Osteoporosis,0.305,0.169,-0.337,0.23,0.147,-0.052,0.1,0.262,0.176,0.032
Hepatic_steatosis_and_other_liver_diseases,0.059,0.166,-0.079,0.106,0.118,0.856,0.081,0.026,-0.159,0.101
Menopausal_disorders,0.279,0.159,0.224,0.125,0.005,-0.298,-0.162,0.036,0.009,-0.061
Cataract,0.296,0.138,-0.162,-0.096,0.033,-0.041,0.302,0.196,-0.016,-0.071
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.047,0.133,-0.189,0.377,-0.163,0.087,0.225,0.194,-0.011,0.03
Headache__including_migraine,0.095,0.128,0.48,0.058,0.227,-0.075,0.089,-0.047,0.086,0.111
Allergic_rhinitis,-0.107,0.126,0.511,0.004,-0.101,-0.061,-0.156,0.19,0.115,0.088
Urinary_incontinence,0.28,0.104,0.163,0.163,0.131,0.031,0.074,0.088,0,0.063
Hepatitis,-0.063,0.09,-0.025,0.785,0.062,0.14,-0.115,-0.102,0.173,-0.089
Miscellaneous_mental_health_disorders,0,0.085,0.396,-0.037,0.204,-0.066,-0.021,0.087,-0.072,0.191
Esophageal_disorders,0.231,0.078,0.138,-0.05,0.157,0.266,0.143,-0.254,0.039,0.079
Anxiety_disorders,0.205,0.043,0.37,0.239,0.038,0.025,0.156,0.095,-0.08,0.01
Vision_defects,0.163,0.038,0.188,0.12,-0.103,-0.05,0.125,0.047,0.111,0.022
Menstrual_disorders,0.026,0.033,0.459,-0.104,0.043,-0.021,0.282,0.11,0.034,0.161
Glaucoma,-0.02,0.029,0.025,-0.041,-0.018,0.022,-0.049,0.985,0,0
Epilepsy__convulsions,-0.033,0.028,0.005,0.011,0.016,0.045,0.969,-0.059,0.056,0.012
Thyroid_disorders,0.448,0.026,-0.061,0.049,0.06,-0.181,-0.096,0.16,-0.256,0.114
Acquired_foot_deformities,0.073,0.02,0.008,0.035,0.117,-0.107,0.061,0.017,0.951,0.04
Coagulation_and_hemorrhagic_disorders,-0.06,0.016,0.199,0.024,-0.059,0.461,0.023,0.09,0.269,-0.033
Adjustment_disorders,0.197,0.008,0.289,-0.034,-0.041,0.101,-0.163,-0.211,-0.221,0.262
Nonmalignant_breast_conditions,0.074,-0.008,0.259,0.033,-0.154,-0.096,0.145,-0.032,0.096,-0.06
Depression_and_Mood_disorders,0.259,-0.021,0.177,0.281,0.103,0.144,0.071,0.042,-0.089,0.077
Atopic_dermatitis,-0.014,-0.044,0.014,-0.001,-0.024,0.046,0.005,0.002,0.035,0.993
Cardiac_dysrhythmias,-0.073,-0.048,0.001,0.003,0.991,0.075,0.016,-0.019,0.093,-0.017
Osteoarthritis,0.273,-0.057,0.107,-0.028,0.358,-0.096,0.038,0.265,0.048,-0.05
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.714,-0.077,0.011,-0.091,-0.153,0.174,-0.157,-0.034,0.294,0.058
Alcohol-related_disorders,0.119,-0.086,0.193,0.265,-0.056,0.479,0.033,-0.02,-0.096,-0.118
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.519,-0.097,0.144,0.036,-0.136,0.038,0.233,-0.057,-0.1,-0.224
Neuropathy_and_other_nervous_system_disorders,0.135,-0.117,0.377,0.159,0.048,0.096,-0.204,0.184,-0.084,-0.228
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.022,-0.143,0.121,0.147,0.231,0.12,-0.101,0.192,0.004,0.067
Adictions,-0.037,-0.237,0.051,0.683,-0.05,0.027,0.238,0.002,-0.174,0.13
