"",ML5,ML6,ML3,ML2,ML1,ML4
Adictions,-0.066,0.675,0.076,-0.024,-0.094,0.079
Alcohol-related_disorders,0.064,0.65,0.036,0.066,-0.142,-0.173
Hepatic_steatosis_and_other_liver_diseases,-0.008,0.633,0.114,0.103,-0.16,0.012
Hepatitis,0.006,0.62,0.116,-0.104,0.252,0.173
Depression_and_Mood_disorders,0.281,0.329,0.257,0.145,-0.035,0.105
Anxiety_disorders,0.396,0.326,0.09,0.084,0,0.067
Urinary_incontinence,0.305,0.243,0.075,0.227,0.055,-0.023
Esophageal_disorders,0.178,0.207,0.023,0.108,0.066,0.132
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.287,0.166,-0.029,-0.193,0.143,0.115
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.035,0.136,0.933,-0.06,0.003,-0.169
Asthma,0.231,0.134,0.249,0.094,0.026,-0.043
Neuropathy_and_other_nervous_system_disorders,0.246,0.132,0.097,0.138,-0.105,-0.038
Menstrual_disorders,0.324,0.122,-0.104,0.084,0.099,-0.038
Adjustment_disorders,0.294,0.115,-0.136,0.211,-0.323,-0.118
Obesity,0.415,0.106,0.056,0.11,0.072,0.143
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.131,0.103,0.152,0.36,-0.157,0.1
Headache__including_migraine,0.536,0.093,0.01,0.008,0.172,-0.026
Allergic_rhinitis,0.328,0.092,-0.233,-0.023,0.148,0.033
Miscellaneous_mental_health_disorders,0.642,0.085,-0.359,-0.074,-0.006,-0.3
Vision_defects,0.38,0.075,0.079,-0.22,0.212,0.132
Diabetes,0.511,0.062,-0.091,-0.009,-0.186,0.12
Neoplasms,0.001,0.029,-0.128,-0.004,-0.061,0.981
Osteoporosis,0.14,0.015,0.346,0.106,0.284,0.302
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.042,0.013,-0.045,0.992,0.078,-0.006
Osteoarthritis,0.256,-0.019,-0.121,0.301,0.122,0.017
Acquired_foot_deformities,0.024,-0.05,-0.007,0.096,0.965,-0.066
Menopausal_disorders,0.375,-0.105,-0.024,0.111,0.036,0.149
Hypertension,0.524,-0.133,0.138,-0.135,-0.008,0.161
Disorders_of_lipid_metabolism,0.557,-0.229,0.185,0.153,0.051,0.084
Thyroid_disorders,0.368,-0.261,0.344,0.19,-0.25,0.097
