"",ML7,ML9,ML3,ML2,ML5,ML8,ML4,ML1,ML6
Esophageal_disorders,0.033,0.582,-0.229,0.049,-0.029,-0.08,0.051,-0.022,0.341
Headache__including_migraine,-0.03,0.522,0.317,0.023,0.106,0.149,0.125,-0.133,0.006
Menstrual_disorders,-0.106,0.473,0.078,0.071,-0.04,-0.022,0.072,0.101,-0.001
Allergic_rhinitis,0.003,0.462,0.032,-0.047,-0.189,-0.089,0.11,0.347,-0.22
Anxiety_disorders,0.121,0.311,0.136,0.087,0.118,0.221,-0.027,0.197,-0.024
Vision_defects,0.308,0.248,-0.027,-0.23,0.017,0.007,0.195,0.215,-0.08
Asthma,0.006,0.237,0.066,0.103,0.309,0.15,-0.011,0.061,-0.125
Depression_and_Mood_disorders,0.055,0.206,0.228,0.163,0.29,0.289,-0.067,-0.05,0.154
Obesity,0.21,0.203,0.249,0.122,0.048,0.067,0.044,0.066,0.034
Thyroid_disorders,0.334,0.189,0.015,0.196,0.316,-0.126,-0.303,-0.065,-0.161
Hypertension,0.455,0.185,0.194,-0.135,0.093,-0.181,-0.036,-0.12,0.134
Neuropathy_and_other_nervous_system_disorders,0.002,0.156,0.186,0.149,0.168,0.082,-0.133,0.141,-0.107
Adjustment_disorders,-0.023,0.135,0.196,0.213,-0.052,-0.042,-0.319,0.178,-0.014
Menopausal_disorders,0.269,0.135,0.143,0.141,-0.025,0.123,-0.02,0.025,-0.331
Osteoarthritis,0.162,0.123,0.02,0.308,-0.132,0.055,0.115,-0.046,-0.045
Urinary_incontinence,0.172,0.117,0.1,0.227,0.08,0.152,0.061,0.206,0
Neoplasms,0.483,0.109,-0.31,0.014,-0.428,0.275,-0.155,-0.162,-0.001
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.255,0.101,0.088,-0.198,-0.079,0.085,0.15,0.107,0.093
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.05,0.098,0.017,0.375,0.132,0.193,-0.179,0.049,-0.066
Disorders_of_lipid_metabolism,0.477,0.082,0.252,0.167,0.16,-0.221,0.019,0.006,-0.057
Diabetes,0.545,0.078,0.161,-0.021,-0.145,-0.031,-0.18,0.075,0.099
Acquired_foot_deformities,0.011,0.059,0.012,0.099,0,-0.026,0.956,-0.051,-0.063
Hepatic_steatosis_and_other_liver_diseases,0.019,0.033,0.045,0.045,0.035,0.042,-0.061,0.11,0.916
Miscellaneous_mental_health_disorders,0.025,-0.009,0.994,-0.031,-0.117,0.026,0,-0.009,0.02
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.031,-0.011,-0.157,-0.063,0.933,0.094,0.004,0.04,0.068
Alcohol-related_disorders,0.007,-0.015,-0.026,0.013,0.023,0.05,-0.057,0.934,0.1
Adictions,-0.098,-0.018,0.045,-0.001,0.088,0.793,-0.084,0.09,0.03
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.016,-0.021,-0.037,0.991,-0.055,-0.019,0.077,0.008,0.038
Hepatitis,0.147,-0.023,0.021,-0.103,0.073,0.516,0.261,0.098,0.203
Osteoporosis,0.612,-0.205,-0.037,0.103,0.178,0.021,0.276,0.065,0.07
