"",ML6,ML7,ML3,ML1,ML4,ML5,ML2
Osteoarthritis,-0.111,0.641,0.076,-0.071,0.114,0.067,0.076
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.112,0.474,-0.111,0.247,0.012,-0.005,0.007
Acquired_foot_deformities,0.067,0.45,-0.013,-0.1,0.071,0.079,-0.048
Myodesopsia_and_other_eye_disorders,0.064,0.427,-0.159,0.318,0.034,-0.105,-0.225
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.002,0.388,0.097,0.095,-0.004,-0.049,0.093
Menopausal_disorders,0.277,0.291,-0.079,0.021,-0.02,0.237,-0.198
Neuropathy_and_other_nervous_system_disorders,0.207,0.255,0.116,-0.072,0.088,0.118,0.29
Other_nutritional__endocrine__and_metabolic_disorders,0.056,0.245,0.237,0.075,-0.181,-0.24,0.078
Disorders_of_lipid_metabolism,0.09,0.234,0.349,0.187,-0.083,0.143,-0.008
Thyroid_disorders,0.141,0.211,0.137,-0.068,0.087,0.139,-0.051
Hypertension,0.122,0.208,0.441,-0.03,-0.007,0.006,0.105
Esophageal_disorders,0.317,0.195,0.107,-0.101,0.025,0.133,0
Asthma,0.247,0.185,0.026,-0.046,0.19,-0.144,0.272
Vision_defects,0.27,0.184,-0.028,0.154,-0.059,0.001,-0.047
Obesity,0.193,0.154,0.494,-0.107,-0.071,0.005,0.086
Glaucoma,-0.008,0.138,0.295,-0.077,-0.218,0.231,0.094
Adjustment_disorders,0.243,0.137,0.015,-0.029,0.179,-0.004,-0.003
Psoriasis_and_other_inflammatory,0.109,0.117,0.093,0.05,0.151,-0.065,0.117
Urinary_incontinence,0.336,0.106,0.187,0.098,-0.409,0.092,-0.163
Depression_and_Mood_disorders,0.339,0.1,0.18,0.221,0.02,0.057,-0.024
Allergic_rhinitis,0.324,0.056,-0.019,-0.054,0.083,0.017,0.106
Atopic_dermatitis,0.047,0.041,0.066,0.041,0.954,0.044,-0.041
Irritable_bowel_and_other_GI_disorders,0.251,0.037,-0.011,0.14,0.111,0.005,0.044
Miscellaneous_mental_health_disorders,0.502,0.036,-0.007,-0.046,0.08,-0.041,0.066
Anxiety_disorders,0.535,0.02,0.059,0.008,-0.103,0.132,-0.016
Other_non-traumatic_joint_disorders,0.011,0.001,-0.033,0.053,-0.032,0.02,0.984
Osteoporosis,-0.016,-0.009,-0.029,0.036,0.029,0.985,0.021
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.006,-0.015,0.034,0.968,0.03,0.047,0.058
Nonmalignant_breast_conditions,0.341,-0.027,-0.159,-0.057,0.172,0.012,-0.027
Headache__including_migraine,0.497,-0.032,0.083,0.12,0.06,-0.027,0.061
Diabetes,-0.025,-0.049,0.992,0.045,0.07,-0.038,-0.05
Menstrual_disorders,0.665,-0.108,-0.023,0.004,0.096,-0.093,0.043
