"",ML2,ML3,ML1,ML4
Menstrual_disorders,-0.109,0.687,-0.003,-0.03
Miscellaneous_mental_health_disorders,0.034,0.511,-0.068,0.161
Headache__including_migraine,0.034,0.503,0.052,0.125
Anxiety_disorders,0.163,0.453,0.028,-0.015
Nonmalignant_breast_conditions,0,0.387,-0.082,-0.211
Allergic_rhinitis,0.03,0.379,-0.019,-0.049
Asthma,0.061,0.329,0.018,0.058
Vision_defects,0.229,0.287,-0.02,-0.016
Depression_and_Mood_disorders,0.294,0.281,0.22,-0.06
Esophageal_disorders,0.228,0.255,0.043,0.13
Neuropathy_and_other_nervous_system_disorders,0.317,0.241,0.059,0.015
Adjustment_disorders,0.185,0.224,0.076,-0.118
Urinary_incontinence,0.11,0.219,0.06,0.286
Obesity,0.039,0.176,0.33,0.409
Menopausal_disorders,0.461,0.16,-0.089,0.01
Thyroid_disorders,0.276,0.153,0.148,-0.095
Psoriasis_and_other_inflammatory,0.091,0.144,0.067,0.153
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.501,0.129,-0.117,0.115
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.375,0.106,0.172,-0.273
Hypertension,0.166,0.102,0.288,0.417
Acquired_foot_deformities,0.534,0.052,0.041,-0.243
Disorders_of_lipid_metabolism,0.384,0.046,0.295,0.131
Diabetes,-0.025,-0.014,1.006,0.005
Osteoporosis,0.504,-0.092,-0.148,0.027
Osteoarthritis,0.617,-0.116,0.019,0.149
