"",ML7,ML6,ML1,ML4,ML5,ML3,ML2
Hepatic_steatosis_and_other_liver_diseases,-0.038,0.927,0.142,0.06,0.099,0.012,-0.125
Alcohol-related_disorders,0.223,0.526,-0.107,0.131,-0.069,-0.013,-0.084
Coagulation_and_hemorrhagic_disorders,0.002,0.518,0.043,-0.214,-0.094,0.127,0.269
Adictions,0.237,0.333,-0.28,0.235,0.004,-0.111,-0.128
Hepatitis,0.12,0.331,0.024,0.224,0.098,-0.146,0.139
Esophageal_disorders,0.269,0.298,0.064,-0.023,0.113,-0.256,0.1
Epilepsy__convulsions,-0.004,0.278,0.122,0.253,0.085,-0.224,0.194
Depression_and_Mood_disorders,0.45,0.217,-0.083,0.245,0.094,0.001,-0.037
Atopic_dermatitis,0.226,0.214,-0.162,-0.027,-0.031,-0.112,0.128
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.181,0.17,-0.17,-0.05,0.207,0.201,0.004
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.424,0.166,-0.124,-0.104,-0.262,0.028,0.368
Congestive_heart_failure__nonhypertensive,-0.045,0.161,0.935,0.074,-0.089,0.096,0.067
Anxiety_disorders,0.52,0.131,0.015,0.103,0.027,0.068,-0.024
Urinary_incontinence,0.411,0.11,0.065,0.09,0.108,0.066,0.057
Adjustment_disorders,0.434,0.103,-0.06,-0.137,-0.099,-0.182,-0.189
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.427,0.086,-0.085,0.091,-0.177,-0.05,-0.018
Osteoporosis,0.095,0.068,0.138,0.203,0.146,0.199,0.232
Cardiac_dysrhythmias,-0.012,0.068,-0.041,-0.035,0.979,-0.01,0.089
Diabetes,0.342,0.065,0.249,-0.185,0.157,0.086,-0.25
Menstrual_disorders,0.349,0.054,0.051,-0.095,0.033,0.086,0.1
Cataract,0.103,0.043,0.172,0.015,0.014,0.162,0.064
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.018,0.026,0.057,0.977,-0.045,0.04,0.008
Vision_defects,0.349,0.025,0.023,0.039,-0.122,0.021,0.156
Glaucoma,-0.002,0.018,0.042,0.033,-0.01,0.985,-0.005
Neuropathy_and_other_nervous_system_disorders,0.331,0.015,-0.141,0.09,0.028,0.247,-0.116
Miscellaneous_mental_health_disorders,0.366,0.006,0.071,-0.277,0.164,0.108,-0.045
Neoplasms,0.159,-0.001,0.361,-0.333,-0.154,-0.202,-0.139
Obesity,0.366,-0.022,0.35,0.002,0.196,-0.081,0.027
Osteoarthritis,0.281,-0.041,-0.046,-0.142,0.31,0.291,0.091
Headache__including_migraine,0.483,-0.047,0.099,0.016,0.209,-0.055,0.127
Allergic_rhinitis,0.305,-0.058,0.113,-0.239,-0.128,0.237,0.095
Nonmalignant_breast_conditions,0.24,-0.069,0.004,0.02,-0.157,-0.039,0.121
Acquired_foot_deformities,0.002,-0.088,0.029,0.019,0.103,0,0.966
Asthma,0.33,-0.109,0.228,0.274,-0.053,-0.078,0.053
Disorders_of_lipid_metabolism,0.423,-0.14,0.156,0.032,0.141,0.04,0.081
Hypertension,0.184,-0.166,0.584,0.014,0.289,-0.004,-0.149
Thyroid_disorders,0.418,-0.192,-0.049,0.197,0.03,0.143,-0.202
Menopausal_disorders,0.457,-0.281,0.12,-0.071,-0.037,0.072,0.021
