"",ML3,ML1,ML2,ML5,ML4
Menstrual_disorders,0,0.992,0,0,0
Headache__including_migraine,0,0.341,0,0.349,0
Thyroid_disorders,0,0.305,0,0,0
Menopausal_disorders,0,0,0.999,0,0
Osteoporosis,0.38,0,0.403,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0.566,0
Other_male_genital_disorders,0,0,0,0.542,0
Allergic_rhinitis,0,0,0,0.437,0
Miscellaneous_mental_health_disorders,0,0,0,0.416,0
Anxiety_disorders,0,0,0,0.366,0.323
Atopic_dermatitis,0,0,0,0.32,0
Disorders_of_lipid_metabolism,0.452,0,0,0.303,0
Adictions,0,0,0,0,0.902
Hepatitis,0,0,0,0,0.621
Depression_and_Mood_disorders,0,0,0,0,0.348
Hepatic_steatosis_and_other_liver_diseases,0.345,0,0,0,0.339
Alcohol-related_disorders,0,0,0,0,0.329
Adjustment_disorders,0,0,0,0,0
Asthma,0,0,0,0,0
Cardiac_dysrhythmias,0.716,0,0,0,0
Cataract,0.631,0,0,0,0
Chronic_kidney_disease,0.703,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.547,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0.588,0,0,0,0
Congestive_heart_failure__nonhypertensive,0.7,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.468,0,0,0,0
Diabetes,0.621,0,0,0,0
Esophageal_disorders,0,0,0,0,0
Glaucoma,0.438,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.329,0,0,0,0
Hyperplasia_of_prostate,0.652,0,0,0,0
Hypertension,0.709,0,0,0,0
Ischemic_heart_disease,0.546,0,0,0,0
Neoplasms,0.347,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0
Obesity,0.37,0,0,0,0
Osteoarthritis,0.519,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0
Sexual_disorders,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.325,0,0,0,0
Urinary_incontinence,0.506,0,0,0,0
Vision_defects,0,0,0,0,0
