"",ML3,ML1,ML2,ML4,ML5
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.56,0,0,0
Menopausal_disorders,0,0.455,0.378,0,0
Osteoarthritis,0,0.452,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0.344,0,0,0
Depression_and_Mood_disorders,0,0.334,0,0,0
Disorders_of_lipid_metabolism,0.466,0.331,0,0,0
Menstrual_disorders,0,0,0.847,0,0
Miscellaneous_mental_health_disorders,0,0,0,0.744,0
Headache__including_migraine,0,0,0,0.52,0
Cataract,0,0,0,0,0.635
Urinary_incontinence,0,0,0,0,0.459
Allergic_rhinitis,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0
Asthma,0,0,0,0,0
Diabetes,0.778,0,0,0,0
Esophageal_disorders,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0
Hypertension,0.636,0,0,0,0
Obesity,0.671,0,0,0,0
Thyroid_disorders,0,0,0,0,0
Vision_defects,0,0,0,0,0
