"",ML12,ML9,ML1,ML10,ML2,ML11,ML6,ML7,ML8,ML5,ML4,ML3,ML13
Menstrual_disorders,0,0.735,0,0,0,0,0,0,0,0,0,0,0
Asthma,0,0.406,0,0,0,0,0,0,0,0,0,0,0
Allergic_rhinitis,0,0.347,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0.337,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0.309,0,0,0,0,0,0,0,0,0,0,0.315
Menopausal_disorders,0,0,0.934,0,0,0,0,0,0,0,0,0,0
Osteoporosis,0,0,0.302,0,0,0,0,0,0,0,0,0,0
Adictions,0,0,0,0.976,0,0,0,0,0,0,0,0,0
Hepatitis,0,0,0,0.496,0,0,0,0,0,0,0,0,0
Cataract,0,0,0,0,0.974,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0,0.651,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0.599,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0,0,0,0.946,0,0,0,0,0,0
Hypertension,0.549,0,0,0,0,0,0.346,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0,0,0,0.986,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0,0.97,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0,0,1.004,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,1.004,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0,0,0.991,0
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0,0,0,0.304,0
Miscellaneous_mental_health_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.586
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0.628,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.525,0,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0.392,0,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Obesity,0.357,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0,0
