"",ML7,ML2,ML5,ML4,ML6,ML3,ML1
Congestive_heart_failure__nonhypertensive,0,1.024,0,0,0,0,0
Hypertension,0.359,0.457,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0.359,0,0,0,0,0
Cardiac_dysrhythmias,0.393,0.354,0,0,0,0,0
Ischemic_heart_disease,0.401,0.352,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.329,0.319,0,0,0,0,0
Menstrual_disorders,0,0,0.94,0,0,0,0
Headache__including_migraine,0,0,0.429,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0.39,0,0,0,0
Allergic_rhinitis,0,0,0.375,0,0,0,0
Anxiety_disorders,0,0,0.36,0,0.331,0,0
Thyroid_disorders,0.364,0,0.346,0,0,0,0
Menopausal_disorders,0,0,0,0.984,0,0,0
Osteoporosis,0.32,0,0,0.356,0,0,0
Adictions,0,0,0,0,0.894,0,0
Hepatitis,0,0,0,0,0.566,0,0
Depression_and_Mood_disorders,0,0,0,0,0.348,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,1.002,0
Alcohol-related_disorders,0,0,0,0,0,0.325,0
Other_male_genital_disorders,0,0,0,0,0,0,0.929
Asthma,0,0,0,0,0,0,0
Cataract,0.631,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.514,0,0,0,0,0,0
Diabetes,0.47,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.514,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.389,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0
Obesity,0,0,0,0,0,0,0
Osteoarthritis,0.531,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0
Sexual_disorders,0.456,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.392,0,0,0,0,0,0
Urinary_incontinence,0.33,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0
