"",ML3,ML5,ML1,ML2,ML4
Hyperplasia_of_prostate,0,0.726,0,0,0
Cataract,0,0.506,0,0,0
Osteoarthritis,0,0.454,0,0,0
Osteoporosis,0,0.442,0,0.481,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0.439,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.379,0,0,0
Glaucoma,0,0.376,0,0,0
Urinary_incontinence,0.301,0.349,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.33,0.31,0,0,0
Cardiac_dysrhythmias,0.31,0.301,0,0,0
Menstrual_disorders,0,0,0.992,0,0
Headache__including_migraine,0,0,0.362,0,0.374
Miscellaneous_mental_health_disorders,0,0,0.362,0,0.358
Anxiety_disorders,0,0,0.341,0,0.372
Thyroid_disorders,0,0,0.322,0,0
Menopausal_disorders,0,0,0,0.998,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0.574
Other_male_genital_disorders,0,0,0,0,0.544
Allergic_rhinitis,0,0,0,0,0.346
Depression_and_Mood_disorders,0,0,0,0,0.301
Alcohol-related_disorders,0,0,0,0,0
Asthma,0,0,0,0,0
Atopic_dermatitis,0,0,0,0,0
Diabetes,0.809,0,0,0,0
Disorders_of_lipid_metabolism,0.485,0,0,0,0
Esophageal_disorders,0,0,0,0,0
Gout,0.556,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0
Hypertension,0.689,0,0,0,0
Ischemic_heart_disease,0.491,0,0,0,0
Neoplasms,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0
Obesity,0.584,0,0,0,0
Psoriasis_and_other_inflammatory,0.3,0,0,0,0
Sexual_disorders,0,0,0,0,0
Vision_defects,0,0,0,0,0
