"",ML1,ML2,ML3
Headache__including_migraine,0,0.584,0
Menstrual_disorders,0,0.574,0
Anxiety_disorders,0,0.565,0
Miscellaneous_mental_health_disorders,0,0.564,0
Depression_and_Mood_disorders,0,0.468,0
Allergic_rhinitis,0,0.455,0
Neuropathy_and_other_nervous_system_disorders,0,0.451,0
Asthma,0,0.379,0
Thyroid_disorders,0,0.36,0
Esophageal_disorders,0,0.356,0
Menopausal_disorders,0,0.351,0
Obesity,0.326,0.345,0
Vision_defects,0,0.32,0
Atopic_dermatitis,0,0.312,0
Other_male_genital_disorders,0,0,0.698
Inflammatory_conditions_of_male_genital_organs,0,0,0.647
Sexual_disorders,0,0,0.473
Hyperplasia_of_prostate,0.562,0,0.305
Alcohol-related_disorders,0,0,0
Cardiac_dysrhythmias,0.531,0,0
Cataract,0.763,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.554,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.529,0,0
Diabetes,0.591,0,0
Disorders_of_lipid_metabolism,0.564,0,0
Glaucoma,0.567,0,0
Gout,0.454,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.333,0,0
Hypertension,0.698,0,0
Ischemic_heart_disease,0.531,0,0
Neoplasms,0.474,0,0
Osteoarthritis,0.6,0,0
Osteoporosis,0.532,0,0
Psoriasis_and_other_inflammatory,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.404,0,0
Urinary_incontinence,0.576,0,0
