"",ML7,ML5,ML4,ML3,ML1,ML6,ML2
Diabetes,0,0.692,0,0,0,0,0
Hypertension,0,0.637,0,0,0,0,0
Obesity,0,0.557,0,0,0,0,0
Gout,0,0.52,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0.414,0,0.308,0,0,0
Ischemic_heart_disease,0,0.382,0,0,0,0,0
Menstrual_disorders,0,0,0.92,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0.45,0,0,0,0
Headache__including_migraine,0,0,0.437,0,0,0,0
Anxiety_disorders,0,0,0.427,0,0,0,0
Thyroid_disorders,0,0,0.351,0,0,0,0
Allergic_rhinitis,0,0,0.35,0,0,0,0
Menopausal_disorders,0,0,0,0.938,0,0,0
Osteoporosis,0.554,0,0,0.325,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0.936,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0.302,0,0
Sexual_disorders,0,0,0,0,0,0.6,0
Other_male_genital_disorders,0,0,0,0,0,0.518,0
Depression_and_Mood_disorders,0,0,0,0,0,0.324,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0.981
Alcohol-related_disorders,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0
Atopic_dermatitis,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0.376,0,0,0,0,0,0
Cataract,0.683,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.4,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.449,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0
Glaucoma,0.371,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0
Neoplasms,0.377,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0
Urinary_incontinence,0.436,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0
