"",ML1,ML3,ML5,ML2,ML4,ML6
Menopausal_disorders,0,0.506,0,0.369,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.452,0,0,0,0
Disorders_of_lipid_metabolism,0.499,0.394,0,0,0,0
Osteoarthritis,0,0.348,0,0,0,0
Cataract,0,0,0.684,0,0,0
Urinary_incontinence,0,0,0.556,0,0,0
Menstrual_disorders,0,0,0,0.794,0,0
Miscellaneous_mental_health_disorders,0,0,0,0,0.805,0
Headache__including_migraine,0,0,0,0,0.45,0
Asthma,0,0,0,0,0,0.541
Allergic_rhinitis,0,0,0,0,0,0.519
Anxiety_disorders,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0
Diabetes,0.757,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0
Hypertension,0.634,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0
Obesity,0.656,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0
