"",ML2,ML3,ML4,ML1
Menstrual_disorders,0,0.802,0,0
Headache__including_migraine,0,0.537,0,0
Miscellaneous_mental_health_disorders,0,0.525,0,0
Anxiety_disorders,0,0.473,0.302,0
Allergic_rhinitis,0,0.453,0,0
Thyroid_disorders,0,0.381,0,0
Menopausal_disorders,0,0.37,0,0
Asthma,0,0.365,0,0
Depression_and_Mood_disorders,0,0.353,0.321,0
Esophageal_disorders,0,0.314,0,0
Neuropathy_and_other_nervous_system_disorders,0,0.302,0,0
Adictions,0,0,0.903,0
Hepatitis,0,0,0.62,0
Hepatic_steatosis_and_other_liver_diseases,0.315,0,0.342,0
Alcohol-related_disorders,0,0,0.334,0
Other_male_genital_disorders,0,0,0,0.994
Cardiac_dysrhythmias,0.673,0,0,0
Cataract,0.732,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.509,0,0,0
Coagulation_and_hemorrhagic_disorders,0.471,0,0,0
Congestive_heart_failure__nonhypertensive,0.632,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.52,0,0,0
Diabetes,0.646,0,0,0
Disorders_of_lipid_metabolism,0.574,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.346,0,0,0
Hypertension,0.705,0,0,0
Ischemic_heart_disease,0.605,0,0,0
Neoplasms,0.377,0,0,0
Obesity,0.415,0,0,0
Osteoarthritis,0.612,0,0,0
Osteoporosis,0.533,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0
Sexual_disorders,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.389,0,0,0
Urinary_incontinence,0.549,0,0,0
Vision_defects,0,0,0,0
