"",ML1,ML3,ML5,ML2,ML4,ML7,ML6
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.478,0,0,0,0,0
Menopausal_disorders,0,0.439,0,0.367,0,0,0
Disorders_of_lipid_metabolism,0.489,0.362,0,0,0,0,0
Osteoarthritis,0,0.338,0,0,0,0,0
Thyroid_disorders,0,0.323,0,0,0,0,0
Cataract,0,0,0.671,0,0,0,0
Urinary_incontinence,0,0,0.546,0,0,0,0
Menstrual_disorders,0,0,0,0.788,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0,0.787,0,0
Headache__including_migraine,0,0,0,0,0.451,0,0
Asthma,0,0,0,0,0,0.52,0
Allergic_rhinitis,0,0,0,0,0,0.51,0
Vision_defects,0,0,0,0,0,0,0.731
Anxiety_disorders,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0
Diabetes,0.753,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0
Hypertension,0.631,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0
Obesity,0.652,0,0,0,0,0,0
