"",ML9,ML6,ML8,ML7,ML3,ML5,ML4,ML2,ML1
Adictions,-0.012,0.99,0.004,-0.035,0.056,0.003,-0.044,-0.049,0.082
Hepatitis,0.097,0.518,0.068,0.176,-0.105,-0.037,0.054,0.064,0.02
Anxiety_disorders,0.427,0.281,0.047,-0.166,0.073,0.063,0.101,0.071,0.065
Hepatic_steatosis_and_other_liver_diseases,-0.108,0.269,0.079,0.371,-0.183,0.12,0.311,0.096,-0.221
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.162,0.216,-0.323,0.081,0.117,0.119,0.232,0.129,0.024
Epilepsy__convulsions,-0.043,0.214,0.393,-0.21,0.004,0.006,0.148,0.131,0.114
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.212,0.195,0.052,0.074,0.012,-0.095,0.242,0.254,-0.006
Depression_and_Mood_disorders,0.331,0.194,-0.01,0.059,-0.028,0.171,0.067,-0.017,0.151
Sexual_disorders,0.354,0.184,0.021,0.114,-0.017,-0.013,-0.001,0.073,-0.01
Inflammatory_conditions_of_male_genital_organs,0.372,0.15,-0.081,0.165,0.055,0.136,-0.118,0.054,-0.042
Coagulation_and_hemorrhagic_disorders,0.024,0.132,0.183,-0.057,0.255,0.012,0.119,0.155,-0.167
Neuropathy_and_other_nervous_system_disorders,0.23,0.127,0.082,0.279,-0.279,0.084,0.063,0.044,0.065
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.279,0.123,0.046,0.07,-0.044,0.1,0.13,-0.023,-0.04
Headache__including_migraine,0.252,0.102,0.082,-0.116,0.082,0.343,0.055,-0.039,-0.011
Schizophrenia_and_other_psychotic_disorders,-0.002,0.1,-0.009,0.047,-0.052,0.018,0.1,0.043,0.932
Acute_cerebrovascular_disease,0.028,0.098,0.153,0.165,-0.082,0.215,0.116,-0.231,-0.232
Vision_defects,0.368,0.097,0.185,-0.016,-0.041,-0.063,-0.082,0.049,-0.019
Ischemic_heart_disease,0.175,0.087,0,0.259,0.302,0.054,-0.051,-0.062,-0.21
Other_male_genital_disorders,0.407,0.059,-0.183,0.085,0.213,0.05,-0.035,-0.053,0.145
Psoriasis_and_other_inflammatory,0.208,0.052,-0.303,0.076,0.083,-0.012,0.183,0.201,-0.253
Congestive_heart_failure__nonhypertensive,-0.013,0.044,0.045,0.024,0.964,-0.015,0.029,0.039,-0.03
Asthma,0.273,0.042,-0.013,-0.086,-0.109,0.028,0.156,0.179,-0.003
Chronic_kidney_disease,0.022,0.023,0.806,0.057,0.102,-0.074,-0.034,0.047,-0.014
Osteoarthritis,0.251,0.013,0.306,-0.052,0.005,0.073,0.102,0.079,-0.004
Esophageal_disorders,0.297,0.009,0.156,0.089,-0.171,0.029,0.059,0.088,0.052
Miscellaneous_mental_health_disorders,-0.017,-0.003,-0.045,-0.061,-0.021,0.996,-0.023,0.059,0.013
Diabetes,-0.006,-0.036,0.042,0.847,0.085,-0.095,-0.017,0.073,0.09
Thyroid_disorders,-0.011,-0.049,0.016,0.02,0.025,0.048,-0.048,0.98,0.025
Alcohol-related_disorders,-0.006,-0.053,-0.015,-0.022,0.029,-0.024,1.002,-0.046,0.072
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.495,-0.062,0.074,-0.022,-0.023,0.015,0.011,0.024,-0.116
Hypertension,0.067,-0.09,0.355,0.267,0.299,0.255,0.142,-0.014,-0.13
Neoplasms,0.182,-0.102,0.12,-0.106,0.035,-0.152,0.078,0.065,0.105
Obesity,0.113,-0.189,0.149,0.264,0.178,0.33,-0.093,-0.105,0.343
Gout,0.08,-0.19,0.204,0.141,0.144,0.066,0.096,-0.139,-0.017
Allergic_rhinitis,0.552,-0.19,-0.042,-0.093,-0.001,-0.029,0,-0.03,0.008
Disorders_of_lipid_metabolism,0.39,-0.277,0.152,0.206,0.007,0.062,0.021,0.081,0.05
