"",ML7,ML8,ML6,ML2,ML5,ML4,ML1,ML3
Chronic_kidney_disease,-0.129,0.602,0.059,0.245,-0.056,0.061,-0.007,0.045
Diabetes,-0.003,0.529,-0.092,0.163,0.018,0.139,0.176,-0.021
Hypertension,0.168,0.504,-0.094,0.353,0.121,0.053,-0.083,-0.053
Hepatic_steatosis_and_other_liver_diseases,-0.056,0.391,0.261,-0.179,0.292,0.149,-0.182,0.12
Acute_cerebrovascular_disease,0.121,0.38,0.081,-0.075,0.111,-0.175,-0.181,-0.258
Obesity,0.266,0.359,-0.195,0.18,-0.121,-0.048,0.383,0.045
Gout,0.069,0.318,-0.191,0.173,0.092,-0.113,0.01,-0.093
Neuropathy_and_other_nervous_system_disorders,0.264,0.313,0.103,-0.259,0.075,0.084,0.108,-0.167
Disorders_of_lipid_metabolism,0.367,0.277,-0.278,0.036,0.019,0.1,0.063,0.066
Osteoarthritis,0.195,0.248,0.046,0.029,0.074,0.079,-0.02,0.166
Ischemic_heart_disease,0.216,0.226,0.073,0.304,-0.049,-0.041,-0.186,0.018
Hepatitis,0.069,0.201,0.516,-0.095,0.053,0.07,0.03,0.063
Esophageal_disorders,0.256,0.199,0.025,-0.157,0.041,0.088,0.043,0.206
Vision_defects,0.276,0.168,0.115,-0.023,-0.087,0.028,-0.037,0.084
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.125,0.157,0.213,-0.003,0.234,0.234,-0.02,0.135
Epilepsy__convulsions,-0.104,0.143,0.255,0.046,0.117,0.118,0.087,0.119
Coagulation_and_hemorrhagic_disorders,-0.007,0.127,0.152,0.27,0.104,0.154,-0.177,0.054
Sexual_disorders,0.33,0.095,0.177,-0.002,0.01,0.075,-0.006,0.014
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.305,0.078,0.122,-0.03,0.124,-0.007,-0.038,0.093
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.42,0.076,-0.04,-0.023,-0.001,0.007,-0.143,0.235
Congestive_heart_failure__nonhypertensive,-0.002,0.026,0.049,0.976,0.03,0.033,-0.031,0.011
Miscellaneous_mental_health_disorders,0.461,0.012,-0.018,-0.066,-0.073,0.213,0.072,-0.1
Depression_and_Mood_disorders,0.416,0.004,0.186,-0.021,0.063,0.004,0.155,0.078
Inflammatory_conditions_of_male_genital_organs,0.458,0.001,0.122,0.075,-0.099,0.087,-0.021,-0.048
Headache__including_migraine,0.434,-0.002,0.102,0.08,0.032,-0.005,-0.01,-0.007
Thyroid_disorders,-0.01,-0.007,-0.041,0.02,-0.045,1.001,0.022,-0.014
Alcohol-related_disorders,-0.019,-0.011,-0.048,0.03,0.998,-0.049,0.07,0.004
Schizophrenia_and_other_psychotic_disorders,-0.005,-0.012,0.103,-0.054,0.099,0.04,0.939,0.013
Neoplasms,0.005,-0.018,-0.02,0.005,0.003,-0.017,0.007,0.999
Adictions,0.014,-0.03,0.986,0.061,-0.04,-0.048,0.083,-0.035
Other_male_genital_disorders,0.434,-0.063,0.05,0.184,-0.028,-0.06,0.141,0.077
Asthma,0.266,-0.068,0.045,-0.112,0.16,0.174,-0.016,-0.013
Anxiety_disorders,0.425,-0.072,0.296,0.069,0.093,0.054,0.036,0.083
Allergic_rhinitis,0.511,-0.104,-0.196,0.007,0.021,-0.05,-0.008,-0.087
Psoriasis_and_other_inflammatory,0.255,-0.22,0.028,0.059,0.206,0.204,-0.254,-0.007
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.323,-0.221,0.181,0.082,0.252,0.147,0.038,-0.12
