"",ML6,ML3,ML2,ML9,ML5,ML4,ML7,ML1,ML8,ML10
Hypertension,-0.005,0.95,-0.011,-0.041,-0.061,0.104,0.071,0.017,0.073,0.001
Congestive_heart_failure__nonhypertensive,0.019,0.475,0.139,0.343,-0.091,-0.075,0.107,0.053,-0.194,0.072
Chronic_kidney_disease,0.082,0.454,0.059,0.269,0.033,-0.158,0.07,0.083,-0.062,-0.371
Obesity,0.109,0.203,-0.183,0.156,0.347,0.307,0.239,-0.085,-0.086,-0.105
Allergic_rhinitis,0.397,0.18,-0.199,0.004,0.025,-0.048,-0.174,-0.031,-0.053,0.286
Anxiety_disorders,0.402,0.17,0.281,0.024,0.09,0.04,-0.208,0.068,0.027,0.098
Headache__including_migraine,0.252,0.169,0.103,0.009,-0.006,0.309,-0.125,-0.033,0.037,0.065
Diabetes,0.027,0.164,-0.059,0.018,0.117,-0.123,0.779,0.087,0.034,0.027
Gout,-0.049,0.163,-0.212,0.457,0.044,0.037,0.112,-0.152,0.019,0.085
Alcohol-related_disorders,0.014,0.125,-0.058,0.112,0.228,-0.08,-0.083,-0.103,0.674,0.201
Disorders_of_lipid_metabolism,0.346,0.111,-0.304,0.16,0.082,0.048,0.19,0.08,0.002,0.046
Ischemic_heart_disease,0.154,0.104,0.071,0.267,-0.219,0.046,0.279,-0.065,-0.059,0.08
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.19,0.101,0.159,0.067,0.035,-0.106,-0.009,0.245,0.325,0.008
Neuropathy_and_other_nervous_system_disorders,0.179,0.085,0.084,-0.158,0.111,0.069,0.184,0.054,0.193,0.051
Hepatitis,0.061,0.078,0.482,-0.01,0.058,-0.051,0.1,0.065,0.161,0.038
Asthma,0.253,0.078,0.03,-0.112,0.031,0.016,-0.169,0.178,0.149,0.059
Esophageal_disorders,0.359,0.07,-0.026,-0.116,0.068,0.022,0.013,0.1,0.221,-0.179
Vision_defects,0.448,0.06,0.09,-0.051,-0.028,-0.066,-0.004,0.061,-0.039,-0.159
Miscellaneous_mental_health_disorders,-0.007,0.05,-0.01,0.005,0.025,0.974,-0.063,0.063,-0.012,0.019
Epilepsy__convulsions,0.033,0.042,0.209,0.269,0.161,-0.016,-0.177,0.125,0.094,-0.235
Thyroid_disorders,-0.009,0.005,-0.051,0.02,0.026,0.051,0.019,0.981,-0.023,0.016
Adictions,0.01,0.003,0.979,0.021,0.084,-0.001,-0.03,-0.051,-0.01,0.026
Osteoarthritis,0.225,0,-0.027,0.429,0.059,0.071,-0.038,0.064,0.047,-0.098
Other_male_genital_disorders,0.444,-0.002,0.054,-0.046,0.101,0.075,0.106,-0.051,-0.013,0.019
Hepatic_steatosis_and_other_liver_diseases,-0.045,-0.009,0.197,-0.032,-0.17,0.113,0.293,0.089,0.564,-0.151
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.013,-0.016,0.181,0.128,0.059,0.103,0.069,0.088,0.102,0.591
Acute_cerebrovascular_disease,0.096,-0.018,0.053,0.114,-0.199,0.214,0.135,-0.23,0.232,-0.211
Sexual_disorders,0.357,-0.019,0.157,0.017,-0.001,-0.007,0.129,0.07,-0.003,0.07
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.48,-0.024,-0.106,0.039,-0.128,0.033,-0.021,0.029,0.135,-0.022
Psoriasis_and_other_inflammatory,0.133,-0.026,0.025,-0.002,-0.239,-0.016,0.046,0.176,0.108,0.41
Coagulation_and_hemorrhagic_disorders,-0.076,-0.056,0.081,0.692,-0.124,0.021,-0.012,0.124,0.081,0.046
Depression_and_Mood_disorders,0.289,-0.066,0.154,0.118,0.177,0.177,0.077,-0.03,0.031,0.167
Schizophrenia_and_other_psychotic_disorders,-0.01,-0.075,0.105,-0.045,0.952,0.031,0.05,0.044,0.038,0
Inflammatory_conditions_of_male_genital_organs,0.492,-0.089,0.134,-0.069,-0.073,0.147,0.247,0.05,-0.162,0.055
Neoplasms,0.231,-0.097,-0.132,0.15,0.095,-0.122,-0.089,0.062,0.179,-0.216
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.313,-0.192,0.058,0.242,-0.011,0.121,0.122,-0.049,0.127,0.031
