"",ML2,ML3,ML1,ML4,ML6,ML5,ML8,ML7
Depression_and_Mood_disorders,-0.001,0.862,0.008,0.002,-0.025,0.016,-0.002,0.008
Alcohol-related_disorders,0.036,0.387,0.134,-0.178,0.161,-0.127,0.106,-0.048
Anxiety_disorders,-0.03,0.236,-0.082,0.201,0.352,0.075,-0.008,0.154
Esophageal_disorders,0.139,0.155,-0.152,0.35,0.032,0.048,0.058,-0.052
Headache__including_migraine,0.034,0.126,-0.008,0.06,0.316,-0.057,0.027,0.132
Thyroid_disorders,0.142,0.12,0.005,-0.015,-0.003,0.171,0.033,0.46
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.154,0.093,-0.006,0.088,0.241,0.214,-0.006,-0.382
Sexual_disorders,-0.087,0.072,0.1,0.1,0.204,0.101,0.419,0.08
Obesity,0.735,0.072,0.051,0.057,-0.034,0.014,-0.072,-0.093
Other_male_genital_disorders,0.106,0.068,0.021,0.124,-0.057,0.07,0.488,-0.02
Osteoarthritis,0.005,0.005,0.991,0.008,-0.005,0.01,0.002,-0.001
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.015,0,0.025,-0.022,-0.021,0.855,0.008,0.002
Asthma,0.016,-0.009,0.06,0.368,0.234,-0.031,-0.17,0.059
Diabetes,0.602,-0.009,-0.026,-0.111,-0.006,-0.021,0.323,0.034
Hypertension,0.57,-0.014,0.067,0.083,0.118,0.037,-0.033,0.223
Allergic_rhinitis,0.002,-0.017,0.041,0.784,-0.035,-0.018,0.046,-0.015
Vision_defects,0.021,-0.022,0.048,-0.06,0.601,-0.032,0.021,-0.083
Disorders_of_lipid_metabolism,0.396,-0.023,0.036,0.02,0.26,0.137,0.078,0.1
