"",ML4,ML9,ML10,ML5,ML8,ML7,ML6,ML1,ML3,ML2,ML11
Diabetes,-0.076,0.578,-0.128,-0.172,0.12,-0.014,0.097,0.254,0.146,0.178,-0.047
Neuropathy_and_other_nervous_system_disorders,0.109,0.396,0.099,0.056,-0.244,0.065,-0.16,0.209,0.046,0.092,-0.002
Ischemic_heart_disease,0.049,0.377,0.002,0.059,0.336,-0.037,0.025,0.018,-0.05,-0.189,0.032
Hepatic_steatosis_and_other_liver_diseases,0.235,0.312,-0.238,0.08,-0.167,0.3,0.075,0.105,0.13,-0.184,0.043
Inflammatory_conditions_of_male_genital_organs,0.099,0.296,0.262,0.172,0.142,-0.081,-0.092,-0.112,0.06,-0.033,0.084
Sexual_disorders,0.151,0.295,0.221,0.011,0.049,0.021,-0.109,-0.031,0.068,-0.006,0.108
Disorders_of_lipid_metabolism,-0.266,0.285,0.235,0.055,0.033,0.018,0.105,0.109,0.108,0.071,0.16
Other_male_genital_disorders,0.026,0.28,0.305,0.098,0.252,-0.002,-0.118,-0.099,-0.072,0.142,0.022
Acute_cerebrovascular_disease,0.039,0.258,-0.153,0.209,-0.031,0.124,0.011,0.017,-0.223,-0.217,0.227
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.08,0.228,0.338,0.056,0.037,0.03,-0.037,-0.066,0.017,-0.126,0.218
Depression_and_Mood_disorders,0.18,0.211,0.225,0.197,0.03,0.085,-0.022,-0.071,-0.013,0.153,0.054
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.095,0.207,0.137,0.135,0.021,0.143,0.138,-0.2,-0.005,-0.043,0.222
Obesity,-0.182,0.197,0.003,0.295,0.167,-0.106,0.168,0.162,-0.073,0.377,0.132
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.227,0.158,0.09,-0.093,-0.023,0.222,0.126,0.051,0.264,-0.002,0.065
Esophageal_disorders,-0.021,0.134,0.224,0.021,-0.133,0.068,-0.187,0.157,0.079,0.06,0.258
Hepatitis,0.551,0.134,0.025,-0.065,-0.139,0.028,0.129,0.114,0.087,0.04,0.023
Vision_defects,0.115,0.111,0.246,-0.051,-0.028,-0.091,0.095,0.013,0.056,-0.024,0.255
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.242,0.099,0.196,0.139,0.091,0.238,0.043,-0.067,0.136,0.031,-0.278
Psoriasis_and_other_inflammatory,0.08,0.082,0.256,0.01,0.066,0.189,0.083,-0.094,0.218,-0.247,-0.246
Hypertension,0.002,0.03,0.069,0.11,0.13,0.064,0.037,0.873,0.005,-0.069,0.001
Chronic_kidney_disease,0.04,0.016,-0.089,-0.168,0.134,-0.08,0.099,0.415,0.078,0.007,0.445
Osteoarthritis,0.039,0.011,0.107,0.08,0.009,0.077,0.319,-0.054,0.109,-0.01,0.39
Schizophrenia_and_other_psychotic_disorders,0.109,0.011,0.002,0.023,-0.042,0.102,0.001,-0.063,0.039,0.933,0
Neoplasms,-0.152,0.006,0.069,-0.107,0.085,0.101,-0.118,-0.103,0.042,0.082,0.344
Congestive_heart_failure__nonhypertensive,0.028,-0.006,-0.017,-0.022,0.943,0.033,0.013,0.096,0.035,-0.023,-0.003
Thyroid_disorders,-0.048,-0.008,-0.014,0.055,0.021,-0.052,-0.034,-0.006,0.989,0.022,0.008
Coagulation_and_hemorrhagic_disorders,0.14,-0.008,-0.035,0.017,0.271,0.103,0.27,-0.132,0.181,-0.176,0.168
Gout,-0.015,-0.012,0.028,0.009,0.003,0.001,0.991,0.014,-0.035,0.011,-0.008
Headache__including_migraine,0.094,-0.013,0.215,0.348,0.099,0.061,-0.118,0.103,-0.054,-0.016,0.122
Alcohol-related_disorders,-0.059,-0.026,-0.01,-0.025,0.027,1.002,0,0.026,-0.052,0.07,0.002
Adictions,0.988,-0.028,-0.021,0.003,0.052,-0.05,-0.042,-0.016,-0.056,0.079,0.003
Miscellaneous_mental_health_disorders,-0.013,-0.039,-0.031,0.989,-0.024,-0.024,0.014,0.047,0.064,0.022,-0.027
Asthma,0.047,-0.071,0.309,0.036,-0.101,0.164,-0.182,0.102,0.164,-0.008,0.053
Anxiety_disorders,0.323,-0.076,0.402,0.081,0.048,0.091,-0.002,0.077,0.062,0.052,0.123
Allergic_rhinitis,-0.083,-0.078,0.682,-0.042,-0.059,-0.028,0.159,0.131,-0.016,0.007,-0.079
Epilepsy__convulsions,0.181,-0.196,-0.097,0.004,0.043,0.143,-0.069,0.03,0.117,0.092,0.433
