"",ML6,ML5,ML2,ML1,ML3,ML4
Diabetes,-0.118,0.828,0.01,0.036,0.051,0.052
Obesity,0.192,0.486,0.006,0.14,0.011,-0.014
Hypertension,0.236,0.386,0.125,0.187,0.16,-0.044
Other_male_genital_disorders,0.155,0.368,-0.005,-0.068,0.123,-0.025
Glaucoma,0.271,0.363,-0.065,-0.062,-0.285,-0.06
Disorders_of_lipid_metabolism,0.329,0.355,0.021,0.201,0.009,0.01
Inflammatory_conditions_of_male_genital_organs,0.145,0.339,0.106,-0.056,0.053,0.097
Obstructive_Sleep_apnea,0.102,0.332,0.14,0.155,0.118,-0.031
Ischemic_heart_disease,0.196,0.309,-0.191,-0.023,0.157,-0.003
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.483,0.177,0.013,-0.243,-0.011,-0.014
Hepatic_steatosis_and_other_liver_diseases,0.128,0.159,0.144,0.157,0.141,0.239
Thyroid_disorders,0.229,0.157,-0.071,0.054,0.257,-0.005
Psoriasis_and_other_inflammatory,0.159,0.137,-0.033,0.134,-0.034,0.124
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.318,0.121,0.098,-0.206,-0.021,0.106
Hyperplasia_of_prostate,0.343,0.104,-0.027,-0.049,0.017,0.097
Sexual_disorders,0.267,0.102,0.077,0.085,0.137,0.114
Headache__including_migraine,0.143,0.078,0.463,-0.136,-0.06,0.092
Esophageal_disorders,0.366,0.069,0.04,-0.041,-0.1,0.039
Neuropathy_and_other_nervous_system_disorders,0.449,0.035,0.122,-0.02,0.006,0.035
Gout,-0.009,0.027,0,0.991,-0.027,0.016
Depression_and_Mood_disorders,0.369,0.026,0.084,-0.026,0.042,0.293
Vision_defects,0.241,0.024,0.1,0.104,-0.038,0.099
Cardiac_dysrhythmias,-0.005,0.017,-0.009,-0.029,0.996,-0.003
Alcohol-related_disorders,-0.008,-0.004,-0.019,0.01,-0.007,1
Miscellaneous_mental_health_disorders,-0.018,-0.009,1.004,0.008,-0.003,-0.024
Osteoarthritis,0.357,-0.009,0.051,0.155,0.091,0.114
Anxiety_disorders,0.483,-0.064,0.122,-0.006,0.06,0.112
Allergic_rhinitis,0.483,-0.156,0.051,0.156,0.024,-0.122
Asthma,0.418,-0.247,-0.026,0.137,0.16,-0.008
