"",ML10,ML13,ML2,ML7,ML3,ML9,ML4,ML5,ML1,ML8,ML12,ML11,ML6,ML14,ML15
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.118,0.494,0.055,0.113,-0.224,0.124,-0.167,0.128,0.066,-0.079,-0.129,0.12,0.187,0.087,-0.012
Vision_defects,0.049,0.482,0.111,-0.211,0.089,-0.083,-0.072,-0.01,0.106,0.132,-0.048,0.008,-0.07,0.041,0.02
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.049,0.43,-0.131,-0.056,0.059,0.061,0.113,0.07,-0.158,0.12,-0.01,0.037,-0.016,0.052,0.08
Osteoarthritis,0.039,0.372,0.018,0.2,0.125,0.042,-0.106,-0.06,0.148,0.026,0.007,0.047,0.083,-0.034,-0.087
Inflammatory_conditions_of_male_genital_organs,-0.023,0.353,0.076,-0.162,-0.138,0.151,0.081,0.336,0.081,-0.048,-0.113,0.14,-0.056,0.039,0.144
Sexual_disorders,-0.033,0.347,0.195,-0.07,-0.004,-0.017,0.147,0.096,0.194,-0.121,-0.006,-0.057,0.037,0.022,0.063
Disorders_of_lipid_metabolism,0.182,0.316,-0.305,0.072,0.025,0.041,0.079,0.073,0.068,0.062,0.159,-0.05,0,0.028,0.104
Allergic_rhinitis,0.159,0.287,-0.103,0.169,0.016,-0.025,0.194,0.126,-0.032,0.171,0.067,-0.115,-0.052,-0.222,-0.455
Anxiety_disorders,0.131,0.284,0.3,-0.006,0.031,0.112,-0.003,0.085,-0.041,0.136,0.069,0.039,0.109,-0.144,-0.006
Depression_and_Mood_disorders,-0.056,0.222,0.178,0.069,0.036,0.172,0.068,0.081,0.054,0.087,0.199,-0.103,0.098,-0.086,0.113
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.028,0.203,0.225,0.111,-0.059,0.192,0.195,-0.159,-0.014,0.042,0.124,-0.129,0.234,-0.103,0.095
Neuropathy_and_other_nervous_system_disorders,0.101,0.2,0.088,-0.012,0.184,0.051,0.102,0.103,-0.005,-0.141,0.253,-0.141,0.017,0.178,-0.086
Headache__including_migraine,0.155,0.189,0.095,-0.052,0.062,0.336,0.064,0.062,-0.033,0.02,-0.01,0.121,0.056,-0.108,0.007
Esophageal_disorders,0.056,0.175,-0.031,0.002,0.161,-0.015,0.17,0.01,0.053,0.149,0.175,0.006,-0.054,0.23,-0.086
Ischemic_heart_disease,0.115,0.172,0.03,0.211,0.334,-0.006,0.067,-0.044,0.025,0.003,-0.014,-0.224,-0.023,-0.123,0.542
Chronic_kidney_disease,0.563,0.162,-0.006,0.13,-0.036,-0.159,-0.183,-0.064,-0.001,-0.021,0.028,0.25,-0.087,0.073,0.069
Neoplasms,-0.091,0.147,-0.161,0.04,-0.353,-0.102,-0.055,0.134,0.069,-0.006,-0.021,0.209,0.094,0.168,0.168
Gout,0.189,0.143,-0.091,0.277,0.055,-0.054,0.086,-0.109,0.272,-0.207,0.007,-0.173,0.082,-0.037,-0.205
Hepatitis,0.135,0.126,0.454,0.004,0.02,-0.044,0.087,-0.028,-0.074,0.034,0.13,0.086,-0.015,0.191,-0.046
Diabetes,0.339,0.089,-0.109,-0.012,0.075,-0.221,0.117,0.032,0.196,-0.034,0.261,-0.075,-0.061,0.286,0.201
Thyroid_disorders,0.118,0.084,-0.178,0.156,-0.16,0.248,0.159,-0.006,-0.157,0.181,0.242,0.163,-0.212,0.241,0.193
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.061,0.043,0.143,0.057,0.165,-0.115,0.188,0.084,0.085,0.212,0.096,0.045,0.121,0.198,0.075
Epilepsy__convulsions,0.034,0.012,0.06,0.057,0.118,-0.01,0.075,-0.044,0.043,-0.021,0.04,0.95,0.041,-0.057,-0.027
Alcohol-related_disorders,0.054,0.001,-0.06,0,0.026,-0.026,0.048,-0.01,-0.052,0.058,0.079,0.035,0.958,0.061,0.009
