"",ML9,ML5,ML3,ML6,ML2,ML7,ML10,ML4,ML1,ML8,ML11
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,1.002,-0.001,-0.023,-0.036,0.003,-0.006,-0.019,0.015,-0.012,-0.006
Osteoarthritis,0.012,0.276,0.058,0.087,0.225,0.06,0.141,0.194,-0.047,0.073,-0.126
Neuropathy_and_other_nervous_system_disorders,-0.022,0.209,0.108,-0.012,0.004,0.142,0.148,0.078,0.075,0.202,0.005
Thyroid_disorders,-0.087,0.198,-0.049,0.26,0.124,-0.011,0.033,0.11,0.007,-0.02,0.357
Ischemic_heart_disease,0.228,0.172,-0.193,0.159,-0.011,-0.014,0.029,0.003,0.064,0.01,0.179
Sexual_disorders,-0.122,0.156,0.075,0.137,0.158,0.178,0.222,0.029,-0.016,0.039,0.149
Disorders_of_lipid_metabolism,0.226,0.133,0.024,0.002,0.216,0.099,0.062,0.161,0.06,0.04,0.19
Depression_and_Mood_disorders,0.035,0.129,0.084,0.054,0.018,-0.017,0.531,-0.018,-0.075,0.084,0.144
Obstructive_Sleep_apnea,0.481,0.112,0.127,0.118,0.146,0.103,-0.07,0.053,-0.087,0.029,-0.141
Glaucoma,0.112,0.09,-0.074,-0.302,-0.064,0.122,-0.055,0.122,0.167,0.036,0.337
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.334,0.086,0.083,-0.019,-0.229,0.003,0.222,0.108,-0.035,0.152,-0.161
Other_male_genital_disorders,0.068,0.061,-0.027,0.118,-0.016,0.483,0.034,-0.015,-0.083,0.018,0.114
Hypertension,0.385,0.056,0.136,0.163,0.16,-0.096,-0.005,0.083,0.045,0.039,0.332
Anxiety_disorders,-0.045,0.037,0.118,0.055,-0.01,0.005,0.269,0.09,-0.023,0.306,0.252
Obesity,0.673,0.02,-0.017,0.001,0.057,0.006,0.051,0.007,0.07,0.055,0.004
Inflammatory_conditions_of_male_genital_organs,-0.037,0.015,0.039,0.017,-0.002,0.794,0.02,0.031,-0.015,0.067,-0.062
Hepatic_steatosis_and_other_liver_diseases,-0.009,0.015,0.033,0.03,0.006,-0.02,0.015,0.008,0.98,0.024,-0.008
Miscellaneous_mental_health_disorders,-0.001,0.012,0.999,-0.002,0.018,0.004,-0.028,-0.002,0.038,-0.021,-0.026
Allergic_rhinitis,0.01,0.004,-0.008,-0.013,0.067,0.128,-0.111,-0.037,0.091,0.663,-0.001
Esophageal_disorders,0.194,-0.016,-0.001,-0.12,-0.114,0.067,0.093,-0.031,0.095,0.355,0.079
Cardiac_dysrhythmias,0.01,-0.019,-0.009,0.989,-0.039,0.025,-0.002,-0.002,0.037,0.007,-0.004
Hyperplasia_of_prostate,-0.01,-0.021,-0.005,-0.009,-0.015,0.001,-0.013,1.01,0.004,-0.012,-0.006
Asthma,0.043,-0.024,-0.046,0.144,0.065,-0.084,0.049,0.071,-0.015,0.498,-0.04
Diabetes,0.401,-0.03,-0.027,0.054,0.055,0.377,0.002,-0.019,0.117,-0.242,0.214
Psoriasis_and_other_inflammatory,0.176,-0.033,-0.046,-0.052,0.091,0.017,0.18,0.076,0.14,0.003,-0.024
Gout,0.014,-0.037,0.006,-0.037,0.987,-0.003,0.014,-0.014,0.012,0.019,-0.004
Vision_defects,0.112,-0.04,0.093,-0.042,0.066,0.02,0.269,-0.085,0.033,0.13,0.04
Alcohol-related_disorders,0.006,-0.04,-0.092,-0.011,0.056,0.08,0.639,0.029,0.176,-0.138,-0.104
Headache__including_migraine,0.02,-0.103,0.458,-0.054,-0.141,0.077,0.181,-0.003,-0.04,0.072,0.25
