"",ML13,ML12,ML8,ML14,ML9,ML2,ML11,ML10,ML4,ML5,ML1,ML3,ML7,ML6
Adictions,0.011,0.969,0.016,-0.03,-0.045,0.009,0.004,0.002,0.044,-0.058,0.076,-0.048,0.081,0.019
Hepatitis,0.039,0.476,-0.008,0.057,0.128,-0.02,0.145,-0.064,0.092,0.051,0.066,-0.009,0.137,0.062
Anxiety_disorders,0.066,0.326,0.202,0.252,0.04,0.069,0.003,0.085,-0.002,0.068,0.029,0.149,-0.109,-0.042
Depression_and_Mood_disorders,0.008,0.225,0.09,0.256,-0.006,0.121,0.006,0.186,-0.106,0.008,0.184,0.122,-0.113,0.053
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.076,0.224,0.08,-0.045,0.053,0.143,0.068,0.141,-0.108,0.135,0.064,0.264,-0.063,0.161
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.029,0.18,0.031,0.115,0.142,0.061,0.153,-0.11,0.046,0.238,0.023,0.186,0.096,0.082
Sexual_disorders,0.072,0.171,0.104,0.225,-0.073,0.07,0.198,-0.016,-0.049,0.067,0.013,0.023,-0.059,0.105
Congestive_heart_failure__nonhypertensive,0.577,0.157,0.06,-0.019,0.056,0.244,-0.197,-0.068,0.012,0.096,-0.074,0.051,-0.108,0.034
Coagulation_and_hemorrhagic_disorders,-0.032,0.135,-0.13,0.07,0.282,0.272,-0.012,-0.001,0.185,0.201,-0.162,0.052,0.083,-0.015
Schizophrenia_and_other_psychotic_disorders,-0.104,0.122,-0.026,-0.001,0.017,-0.036,0.061,0.032,0.046,0.045,0.907,0.113,-0.056,-0.084
Asthma,0.103,0.113,-0.046,0.361,-0.188,-0.05,-0.145,0.091,-0.165,0.186,-0.014,0.208,-0.046,-0.077
Osteoarthritis,0.031,0.097,-0.016,0.333,0.376,-0.051,0.105,0.059,0.088,0.161,-0.098,0.106,-0.124,-0.179
Headache__including_migraine,0.148,0.095,0.035,0.161,-0.087,0.059,0.105,0.343,0.128,-0.068,-0.02,0.036,-0.051,0.082
Hepatic_steatosis_and_other_liver_diseases,-0.004,0.087,0.016,0.013,0.027,-0.03,0.01,0.035,-0.043,0.037,-0.047,0.074,0.96,-0.016
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.142,0.083,0.239,0.202,0.207,-0.021,0.158,0.079,0.108,0.025,-0.104,0.157,0.011,-0.166
Vision_defects,-0.026,0.081,0.291,0.214,0.147,0.075,0.123,-0.096,-0.008,0.059,-0.04,-0.059,0.039,-0.149
Other_male_genital_disorders,0.057,0.055,0.356,0.209,-0.043,0.001,0.14,0.038,-0.127,-0.071,0.119,0.007,0.024,0.011
Epilepsy__convulsions,0.018,0.048,0.037,0,-0.043,-0.057,-0.042,-0.001,0.967,0.037,0.047,0.039,-0.046,0.067
Psoriasis_and_other_inflammatory,-0.021,0.025,0.003,0.01,0.043,0.007,0.035,0.01,0.061,0.028,-0.062,0.031,-0.012,0.975
Chronic_kidney_disease,0.529,0.023,0.044,0.06,0.121,0.021,0.101,-0.204,0.259,0.085,-0.043,-0.084,0.028,-0.193
Neuropathy_and_other_nervous_system_disorders,0.031,0.016,-0.02,-0.016,-0.074,0.006,0.978,0.001,-0.034,0.024,0.048,0.017,0.012,0.033
Ischemic_heart_disease,0.015,0.005,0.01,0.004,-0.005,0.994,-0.001,-0.001,-0.058,0.005,-0.002,-0.01,-0.032,0.015
Inflammatory_conditions_of_male_genital_organs,-0.031,0.002,1.007,-0.04,-0.031,-0.003,-0.033,0.025,0.032,0.003,-0.029,-0.002,0.011,0.005
Miscellaneous_mental_health_disorders,0.038,-0.007,0.039,-0.023,0.01,0.004,-0.002,0.966,-0.004,0.072,0.028,-0.033,0.036,0.01
Hypertension,0.907,-0.019,-0.031,0.002,0.032,0.004,0.072,0.13,-0.008,-0.001,-0.07,0.078,0.036,0.002
Esophageal_disorders,0.146,-0.036,0.073,0.381,-0.213,0.026,-0.141,0.026,-0.004,0.005,0.173,-0.011,0.22,0.156
Gout,0.031,-0.036,-0.025,-0.035,0.981,0.006,-0.08,0.005,-0.046,-0.037,0.033,0.003,0.032,0.053
Thyroid_disorders,-0.003,-0.058,0.005,-0.021,-0.033,-0.002,0.016,0.057,0.025,0.978,0.019,-0.042,0.032,0.025
Acute_cerebrovascular_disease,-0.059,-0.06,-0.061,-0.032,0.016,0.378,0.161,0.175,0.337,-0.189,-0.169,0.076,0.134,-0.172
Alcohol-related_disorders,0.043,-0.064,-0.002,-0.021,0.003,-0.007,0.008,-0.036,0.036,-0.045,0.06,0.97,0.068,0.029
Allergic_rhinitis,0.11,-0.066,0.11,0.342,0.208,-0.167,0.086,0.016,-0.131,-0.062,-0.006,-0.003,-0.156,0.197
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.077,-0.091,0.031,0.473,0.027,0.139,0.288,0.026,0.041,-0.016,-0.105,-0.05,0.065,0.097
Neoplasms,-0.044,-0.117,-0.104,0.483,-0.12,0.069,-0.212,-0.107,0.143,0.005,0.129,-0.012,0.191,0.027
Diabetes,0.375,-0.139,0.162,-0.084,0.079,0.165,0.117,-0.233,-0.038,0.118,0.274,-0.053,0.23,0.063
Obesity,0.289,-0.183,0.056,0.105,0.183,0.048,0.038,0.259,0.134,-0.088,0.39,-0.153,0.066,-0.012
Disorders_of_lipid_metabolism,0.172,-0.271,0.223,0.241,0.124,0.118,0.029,0.017,-0.053,0.092,0.124,0.024,0.009,0.044
