"",ML2,ML7,ML3,ML13,ML9,ML5,ML11,ML6,ML4,ML10,ML8,ML1,ML12
Adictions,-0.002,0.97,0.016,-0.016,-0.041,-0.001,0.029,-0.007,-0.007,0.077,0.041,-0.043,0.054
Hepatitis,0.057,0.486,-0.004,0.096,0.139,0.159,-0.046,-0.053,-0.035,0.047,0.115,-0.014,0.168
Anxiety_disorders,0.095,0.325,0.183,0.343,0.041,0.002,0.027,0.068,0.046,0.053,0.018,0.108,-0.15
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.053,0.211,0.092,-0.002,0.041,0.121,0.201,0.188,-0.132,0.021,-0.073,0.283,-0.119
Depression_and_Mood_disorders,-0.053,0.184,0.086,0.223,-0.01,0.01,0.243,0.186,0.038,0.2,-0.101,0.111,-0.076
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.025,0.166,0.05,0.201,0.137,0.162,0.107,-0.081,0.125,0.055,0.063,0.149,0.162
Hepatic_steatosis_and_other_liver_diseases,0.04,0.166,0.04,-0.013,0.055,0.042,-0.065,0.069,0.067,-0.093,-0.093,0.169,0.752
Sexual_disorders,0.01,0.133,0.113,0.178,-0.073,0.222,0.212,0.005,-0.022,0.013,-0.019,0.025,-0.027
Schizophrenia_and_other_psychotic_disorders,-0.09,0.112,-0.03,0.006,0.017,0.058,-0.039,0.039,-0.07,0.92,0.049,0.107,-0.051
Coagulation_and_hemorrhagic_disorders,-0.067,0.107,-0.132,0.013,0.26,0.051,0.456,0.063,-0.042,-0.162,0.193,0.044,0.091
Congestive_heart_failure__nonhypertensive,0.492,0.103,0.08,-0.09,0.038,-0.167,0.499,-0.036,-0.031,-0.05,0.023,0.055,-0.113
Vision_defects,0.024,0.101,0.276,0.248,0.152,0.111,-0.07,-0.111,0.096,-0.005,-0.013,-0.109,0.053
Headache__including_migraine,0.14,0.096,0.029,0.165,-0.072,0.114,0.043,0.325,0.039,-0.05,0.127,0.054,-0.121
Asthma,0.098,0.094,-0.067,0.47,-0.183,-0.142,-0.014,0.097,-0.013,0.032,-0.114,0.145,0.006
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.172,0.059,0.187,0.09,0.189,0.184,0.118,0.112,-0.197,-0.088,0.148,0.126,0.105
Epilepsy__convulsions,0.03,0.053,0.046,-0.023,-0.04,-0.033,-0.037,-0.002,0.105,0.038,0.967,0.044,-0.049
Osteoarthritis,-0.031,0.037,-0.047,0.228,0.341,0.081,0.172,0.071,0.104,0.025,0.114,0.027,-0.001
Other_male_genital_disorders,-0.009,0.036,0.354,0.192,-0.045,0.105,0.115,0.003,0.196,0.167,-0.159,0.015,-0.048
Ischemic_heart_disease,0.111,0.035,0.062,0.003,0.01,0.046,0.581,-0.007,0.328,-0.066,-0.189,-0.028,-0.03
Psoriasis_and_other_inflammatory,-0.076,0.021,0.112,0.107,0.107,0.155,0.077,0.08,-0.237,-0.311,0.164,0.191,-0.066
Neuropathy_and_other_nervous_system_disorders,0.041,0.013,-0.026,-0.035,-0.079,0.983,-0.025,0.006,0.031,0.045,-0.033,0.016,0.005
Inflammatory_conditions_of_male_genital_organs,-0.039,0.006,1.009,-0.024,-0.029,-0.033,-0.025,0.034,-0.039,-0.034,0.043,-0.003,0.011
Chronic_kidney_disease,0.494,0.004,0.029,-0.006,0.118,0.105,0.118,-0.19,-0.04,0.006,0.28,-0.125,0.102
Hypertension,0.95,-0.011,-0.032,0.051,0.042,0.061,-0.024,0.108,-0.012,-0.064,0.01,0.066,0.023
Miscellaneous_mental_health_disorders,0.044,-0.016,0.033,-0.028,0.007,-0.001,-0.012,0.984,0.034,0.028,-0.012,-0.035,0.03
Acute_cerebrovascular_disease,-0.038,-0.016,-0.035,0.018,0.018,0.034,0.035,0.041,0.971,-0.047,0.114,0.028,0.033
Esophageal_disorders,0.128,-0.021,0.096,0.481,-0.166,-0.145,-0.062,0.003,0.154,0.141,-0.009,-0.007,0.264
Gout,0.027,-0.024,-0.025,-0.023,0.989,-0.082,-0.014,0.001,0.015,0.023,-0.043,0.009,0.015
Allergic_rhinitis,0.104,-0.057,0.092,0.488,0.237,0.09,-0.158,-0.021,-0.052,-0.047,-0.071,0.013,-0.28
Alcohol-related_disorders,0.04,-0.059,-0.007,-0.011,0.003,0.007,-0.004,-0.04,0.024,0.061,0.034,0.979,0.054
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.077,-0.093,0.024,0.379,0.039,0.332,0.179,0.034,-0.014,-0.15,0.055,-0.023,0.024
Thyroid_disorders,0.053,-0.12,0.052,0.116,-0.081,0.12,0.223,0.254,-0.224,0.089,0.172,-0.142,0.208
Neoplasms,-0.077,-0.133,-0.122,0.325,-0.105,-0.136,0.243,-0.058,-0.291,0.058,0.193,0.022,0.281
Diabetes,0.332,-0.149,0.206,-0.095,0.093,0.135,0.205,-0.199,0.055,0.268,-0.054,-0.04,0.29
Obesity,0.234,-0.191,0.056,0.04,0.203,0.035,0.09,0.246,0.041,0.378,0.111,-0.129,0.054
Disorders_of_lipid_metabolism,0.141,-0.293,0.232,0.209,0.128,0.05,0.198,0.037,0.015,0.127,-0.04,0.021,0.038
