"",ML2,ML1,ML4,ML3,ML5,ML7,ML6
Depression_and_Mood_disorders,-0.001,0.929,-0.002,0.003,-0.021,-0.003,0.007
Alcohol-related_disorders,0.05,0.346,-0.156,-0.071,0.208,0.123,-0.058
Anxiety_disorders,-0.043,0.214,0.182,0.043,0.334,-0.005,0.174
Esophageal_disorders,0.121,0.141,0.307,0,0.022,0.051,-0.017
Headache__including_migraine,0.022,0.118,0.048,-0.065,0.313,0.029,0.148
Thyroid_disorders,0.117,0.114,-0.016,0.155,-0.013,0.036,0.481
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.169,0.094,0.092,0.195,0.25,0.007,-0.354
Other_male_genital_disorders,0.098,0.071,0.119,0.067,-0.053,0.489,-0.015
Sexual_disorders,-0.092,0.067,0.108,0.121,0.228,0.427,0.074
Obesity,0.756,0.065,0.049,0.024,-0.021,-0.062,-0.084
Osteoarthritis,0.13,0.048,0.097,0.278,0.147,0.018,-0.046
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.012,-0.004,-0.018,0.906,-0.024,0.005,0.006
Asthma,0.029,-0.01,0.35,-0.01,0.259,-0.189,0.071
Allergic_rhinitis,0.006,-0.011,0.835,-0.013,-0.035,0.038,-0.015
Hypertension,0.561,-0.012,0.082,0.042,0.119,-0.017,0.237
Diabetes,0.573,-0.013,-0.106,-0.038,-0.023,0.342,0.051
Vision_defects,0.026,-0.015,-0.064,-0.029,0.609,0.021,-0.067
Disorders_of_lipid_metabolism,0.386,-0.016,0.019,0.122,0.258,0.091,0.127
