"",ML5,ML3,ML4,ML2,ML1,ML6
Congestive_heart_failure__nonhypertensive,-0.045,1.007,0.045,-0.08,0.011,-0.014
Hypertension,0.164,0.518,-0.132,0.142,-0.039,0.314
Ischemic_heart_disease,0.054,0.412,-0.003,0.104,0.02,0.096
Coagulation_and_hemorrhagic_disorders,0.155,0.381,0.124,0.015,-0.163,0.057
Obesity,0.176,0.213,-0.148,0.079,0.075,0.297
Diabetes,-0.081,0.199,-0.08,0.111,0.126,0.65
Other_male_genital_disorders,0.177,0.177,0.03,0.199,0.328,-0.114
Headache__including_migraine,0.278,0.156,0.081,0.175,0.083,-0.128
Osteoarthritis,0.349,0.148,0.023,0.056,-0.072,0.08
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.373,0.12,-0.135,0.321,0.025,-0.139
Thyroid_disorders,0.187,0.104,-0.048,0.086,0.107,0.206
Anxiety_disorders,0.44,0.1,0.289,0.046,0.18,-0.15
Disorders_of_lipid_metabolism,0.331,0.09,-0.298,0.033,0.203,0.235
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.283,0.085,0.213,0.161,-0.009,0.178
Psoriasis_and_other_inflammatory,0.153,0.085,0.002,0.091,0.105,-0.045
Sexual_disorders,0.213,0.07,0.142,0.212,0.106,0.026
Vision_defects,0.176,0.046,0.036,0.11,0.252,-0.018
Adictions,-0.008,0.043,0.98,0.017,0.031,-0.024
Allergic_rhinitis,0.459,0.036,-0.213,0.079,0.087,-0.23
Alcohol-related_disorders,0.277,0.025,0.139,0.077,-0.133,0.177
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.195,0.012,0.102,0.126,0.178,0.074
Neoplasms,0.33,0.012,-0.024,-0.215,-0.117,0.13
Inflammatory_conditions_of_male_genital_organs,-0.022,-0.019,0.017,-0.025,1.005,0.02
Depression_and_Mood_disorders,0.373,-0.02,0.225,0.033,0.099,0.048
Hepatitis,0.122,-0.04,0.514,0.114,-0.018,0.218
Neuropathy_and_other_nervous_system_disorders,-0.034,-0.062,0.029,0.999,-0.018,0.022
Hepatic_steatosis_and_other_liver_diseases,0.076,-0.101,0.248,0.029,-0.009,0.512
Asthma,0.53,-0.116,0.083,-0.142,-0.062,0.04
Esophageal_disorders,0.441,-0.153,0.028,-0.147,0.098,0.267
