"",ML4,ML2,ML1,ML3
Diabetes,-0.061,0.884,0.022,0.011
Obesity,0.217,0.426,0.14,0.044
Other_male_genital_disorders,0.189,0.362,-0.079,0.038
Inflammatory_conditions_of_male_genital_organs,0.158,0.356,-0.055,0.164
Hypertension,0.304,0.345,0.185,0.123
Obstructive_Sleep_apnea,0.151,0.31,0.155,0.124
Disorders_of_lipid_metabolism,0.339,0.284,0.204,0.09
Ischemic_heart_disease,0.335,0.284,-0.032,-0.262
Glaucoma,0.155,0.224,-0.051,0.042
Cardiac_dysrhythmias,0.325,0.223,-0.068,-0.141
Hepatic_steatosis_and_other_liver_diseases,0.286,0.18,0.178,0.059
Thyroid_disorders,0.36,0.164,0.043,-0.116
Alcohol-related_disorders,0.252,0.126,0.084,-0.041
Sexual_disorders,0.36,0.109,0.09,0.063
Psoriasis_and_other_inflammatory,0.221,0.09,0.147,-0.024
Headache__including_migraine,0.024,0.082,-0.122,0.636
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.339,0.078,-0.192,0.119
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.562,0.059,-0.232,-0.036
Hyperplasia_of_prostate,0.419,0.043,-0.037,-0.035
Gout,-0.013,0.017,0.996,-0.011
Depression_and_Mood_disorders,0.465,0.017,0,0.088
Esophageal_disorders,0.311,0.011,-0.031,0.099
Vision_defects,0.207,0.004,0.114,0.189
Miscellaneous_mental_health_disorders,-0.002,-0.004,0.045,0.757
Neuropathy_and_other_nervous_system_disorders,0.442,-0.018,-0.013,0.17
Osteoarthritis,0.471,-0.053,0.17,-0.001
Anxiety_disorders,0.461,-0.085,0.003,0.224
Allergic_rhinitis,0.385,-0.199,0.149,0.117
Asthma,0.39,-0.225,0.127,0.032
