"",ML11,ML10,ML4,ML8,ML6,ML3,ML1,ML7,ML9,ML2,ML5,ML12
Adictions,-0.016,0.971,0.051,-0.047,-0.001,0.003,-0.018,-0.059,-0.052,0.079,0.073,0.025
Hepatitis,0.061,0.521,-0.118,0.142,0.118,-0.079,0.109,0.08,0.009,0.045,0.108,0.041
Anxiety_disorders,0.354,0.354,0.019,0.036,-0.013,0.088,0.103,0.066,0.118,0.027,-0.095,-0.016
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.083,0.246,0.094,0.067,0.095,0.135,-0.039,0.151,0.255,0.018,-0.05,-0.258
Depression_and_Mood_disorders,0.329,0.208,0.007,0.008,0.017,0.189,0.002,0.007,0.112,0.139,-0.103,0.023
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.15,0.205,0.009,0.149,0.151,-0.115,0.049,0.254,0.195,0,0.09,0.015
Epilepsy__convulsions,-0.032,0.204,-0.012,-0.076,-0.095,0.035,0.027,0.117,0.178,0.061,-0.134,0.527
Sexual_disorders,0.301,0.148,0.072,-0.067,0.212,-0.002,-0.006,0.077,0.029,-0.022,-0.054,0.077
Inflammatory_conditions_of_male_genital_organs,0.45,0.109,0.138,-0.071,-0.036,0.156,-0.044,0.063,-0.091,-0.018,0.05,-0.008
Schizophrenia_and_other_psychotic_disorders,-0.009,0.109,-0.038,0.011,0.05,0.018,-0.067,0.044,0.104,0.929,-0.048,-0.006
Coagulation_and_hemorrhagic_disorders,-0.022,0.106,0.297,0.264,0.045,0.019,-0.169,0.162,0.079,-0.169,0.098,0.183
Vision_defects,0.332,0.101,-0.001,0.126,0.109,-0.066,0.002,0.04,-0.113,-0.022,0.064,0.106
Headache__including_migraine,0.184,0.099,0.104,-0.091,0.11,0.35,0.086,-0.058,0.072,-0.039,-0.06,0.07
Psoriasis_and_other_inflammatory,0.16,0.095,0.058,0.113,0.082,0.01,-0.06,0.233,0.217,-0.27,-0.104,-0.236
Asthma,0.333,0.095,-0.155,-0.165,-0.183,0.043,0.169,0.171,0.181,-0.012,-0.036,-0.083
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.278,0.078,0.048,0.163,0.143,0.119,-0.195,-0.014,0.126,-0.047,0.037,0.166
Hepatic_steatosis_and_other_liver_diseases,-0.008,0.074,-0.031,0.023,0.007,0.031,0.002,0.032,0.073,-0.042,0.964,-0.032
Osteoarthritis,0.182,0.05,0,0.345,0.088,0.082,-0.05,0.11,0.1,-0.041,-0.117,0.355
Ischemic_heart_disease,0.15,0.037,0.371,0.039,0.145,0.034,0.055,-0.039,-0.045,-0.181,0.014,0.049
Congestive_heart_failure__nonhypertensive,-0.024,0.03,0.95,-0.003,-0.08,-0.022,0.097,0.039,0.036,-0.017,-0.033,-0.002
Chronic_kidney_disease,-0.006,0.02,0.147,0.104,0.095,-0.167,0.371,0.061,-0.092,0,0.022,0.477
Neuropathy_and_other_nervous_system_disorders,-0.024,0.01,-0.065,-0.072,0.98,0.006,0.04,0.02,0.021,0.045,0.009,-0.008
Other_male_genital_disorders,0.391,0.008,0.304,-0.082,0.162,0.071,-0.097,-0.081,-0.035,0.156,0.078,-0.14
Hypertension,-0.003,0.004,0.13,0.051,0.057,0.101,0.869,0.006,0.063,-0.072,0.022,0.015
Acute_cerebrovascular_disease,0.015,0.002,0.016,0.012,0.181,0.191,0.002,-0.234,0.087,-0.207,0.128,0.273
Miscellaneous_mental_health_disorders,-0.022,-0.013,-0.025,0.007,0,0.98,0.043,0.058,-0.024,0.02,0.03,-0.01
Esophageal_disorders,0.446,-0.017,-0.154,-0.18,-0.165,0.011,0.2,0.058,0.024,0.093,0.189,0.132
Gout,-0.025,-0.023,-0.003,0.988,-0.075,0.002,0.033,-0.032,0.001,0.021,0.027,-0.012
Allergic_rhinitis,0.443,-0.046,-0.081,0.223,0.045,-0.025,0.149,-0.005,0.013,-0.023,-0.164,-0.261
Thyroid_disorders,-0.023,-0.051,0.024,-0.031,0.013,0.051,-0.005,0.981,-0.054,0.025,0.033,0.015
Alcohol-related_disorders,-0.024,-0.061,0.027,0.002,0.017,-0.024,0.033,-0.055,0.975,0.069,0.075,0.019
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.389,-0.114,0.105,0.014,0.309,0.037,-0.112,-0.006,-0.006,-0.132,0.071,0.07
Diabetes,0.092,-0.126,0.184,0.1,0.15,-0.217,0.288,0.142,-0.077,0.229,0.244,0.01
Neoplasms,0.292,-0.157,0.074,-0.132,-0.203,-0.108,-0.096,0.013,0.051,0.117,0.185,0.225
Obesity,0.135,-0.199,0.193,0.172,0.051,0.27,0.16,-0.082,-0.134,0.395,0.073,0.102
Disorders_of_lipid_metabolism,0.378,-0.258,0.038,0.135,0.037,0.037,0.158,0.11,0.008,0.081,0.02,0.075
