"",ML7,ML6,ML3,ML2,ML4,ML1,ML9,ML8,ML5,ML10
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.004,1.007,0.001,-0.038,-0.021,-0.005,0.001,-0.013,-0.019,-0.01
Osteoarthritis,-0.07,0.28,0.057,0.219,0.081,0.096,0.083,0.099,0.188,-0.051
Neuropathy_and_other_nervous_system_disorders,-0.041,0.212,0.11,0.024,-0.007,0.019,0.176,0.225,0.088,0.115
Thyroid_disorders,0.016,0.196,-0.057,0.12,0.263,-0.021,-0.021,-0.048,0.108,0.307
Ischemic_heart_disease,0.319,0.176,-0.187,-0.017,0.164,0.022,-0.04,0.023,0.006,0.114
Sexual_disorders,-0.134,0.154,0.068,0.165,0.132,0.084,0.221,0.039,0.03,0.269
Depression_and_Mood_disorders,0.005,0.14,0.083,-0.005,0.041,0.293,0.04,0.171,-0.023,0.271
Disorders_of_lipid_metabolism,0.283,0.134,0.023,0.22,0.005,0.006,0.102,0.058,0.165,0.166
Obstructive_Sleep_apnea,0.445,0.11,0.122,0.113,0.101,-0.002,0.096,0.085,0.037,-0.277
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.232,0.096,0.089,-0.238,-0.029,0.122,0.045,0.224,0.105,-0.078
Glaucoma,0.281,0.095,-0.063,-0.044,-0.284,-0.066,0.077,0.008,0.142,0.25
Hepatic_steatosis_and_other_liver_diseases,0.208,0.072,0.156,0.147,0.147,0.253,-0.11,0.015,0.1,0.044
Hypertension,0.481,0.059,0.139,0.15,0.164,-0.02,-0.12,0.035,0.078,0.242
Other_male_genital_disorders,0.054,0.049,-0.046,-0.01,0.103,-0.06,0.542,-0.004,-0.013,0.119
Anxiety_disorders,-0.021,0.039,0.11,-0.02,0.047,0.098,0.034,0.343,0.081,0.312
Obesity,0.66,0.032,-0.005,0.061,0.003,0.03,0.022,0.118,0.012,-0.058
Miscellaneous_mental_health_disorders,-0.01,0.013,1.006,0.013,0.001,-0.025,-0.004,-0.021,-0.003,-0.025
Allergic_rhinitis,0.001,0.013,0.009,0.099,-0.005,-0.117,0.135,0.561,-0.034,-0.003
Inflammatory_conditions_of_male_genital_organs,-0.016,0.011,0.042,0,0.014,0.044,0.743,0.054,0.038,-0.069
Alcohol-related_disorders,-0.009,-0.008,-0.023,0.005,-0.006,1.004,0,-0.02,-0.001,-0.014
Esophageal_disorders,0.216,-0.009,0.01,-0.106,-0.118,0.056,0.08,0.376,-0.03,0.075
Cardiac_dysrhythmias,0.007,-0.018,-0.006,-0.037,0.997,-0.001,0.022,0.01,-0.003,-0.004
Hyperplasia_of_prostate,-0.014,-0.021,-0.007,-0.018,-0.009,-0.003,0.001,-0.01,1.012,-0.012
Psoriasis_and_other_inflammatory,0.192,-0.022,-0.028,0.107,-0.038,0.126,0.018,0.056,0.092,0.042
Asthma,0.004,-0.024,-0.052,0.056,0.137,0.004,-0.065,0.538,0.055,-0.043
Diabetes,0.536,-0.028,-0.011,0.056,0.061,0.065,0.331,-0.241,-0.006,0.107
Vision_defects,0.098,-0.038,0.09,0.067,-0.044,0.11,0.053,0.218,-0.082,0.14
Gout,0.012,-0.038,0.002,0.991,-0.037,0.012,-0.001,0.014,-0.017,-0.005
Headache__including_migraine,0.062,-0.105,0.451,-0.161,-0.064,0.083,0.084,0.104,-0.012,0.253
