"",ML3,ML9,ML6,ML2,ML7,ML5,ML4,ML1,ML8
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.117,0.553,0.01,0.116,-0.007,0.175,-0.095,0.02,0.067
Alcohol-related_disorders,0.067,0.425,-0.143,0.012,0.076,0.1,0.081,-0.067,0.079
Hepatic_steatosis_and_other_liver_diseases,0.206,0.395,0.016,-0.136,0.26,0.004,-0.07,0.11,-0.32
Neoplasms,-0.084,0.375,-0.035,0.026,-0.12,-0.256,0.136,0.24,-0.126
Esophageal_disorders,0.018,0.34,0.186,-0.216,0.24,-0.157,0.02,0.033,0.12
Coagulation_and_hemorrhagic_disorders,0.025,0.326,-0.147,0.405,-0.124,0.063,0.197,-0.104,0.03
Thyroid_disorders,-0.113,0.293,0.164,0.104,0.019,0.11,0.101,-0.034,-0.016
Asthma,0.098,0.284,-0.032,-0.176,0.165,-0.173,0.022,0.105,0.363
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.027,0.232,0.267,0.042,-0.156,0.151,0.186,-0.05,-0.004
Depression_and_Mood_disorders,0.219,0.22,0.165,-0.039,0.022,-0.005,0.015,0.171,0.141
Psoriasis_and_other_inflammatory,-0.026,0.207,0.089,0.124,-0.076,0.081,-0.145,0.103,0.137
Other_male_genital_disorders,-0.016,0.16,0.383,0.212,-0.157,0.207,-0.031,0.002,0.169
Diabetes,-0.107,0.149,0.236,0.126,0.384,0.139,0.053,-0.049,-0.336
Disorders_of_lipid_metabolism,-0.28,0.142,0.296,-0.011,0.225,-0.007,0.208,0.108,0.018
Obesity,-0.166,0.13,0.174,0.119,0.291,0.121,0.184,-0.187,0.039
Hepatitis,0.516,0.102,0.008,-0.089,0.163,0.091,0.071,0.06,-0.087
Sexual_disorders,0.129,0.088,0.19,0.047,-0.032,0.181,0.137,0.11,0.036
Anxiety_disorders,0.328,0.077,0.194,0.022,0.107,0.005,0.084,0.056,0.357
Ischemic_heart_disease,0.01,0.042,0.065,0.363,0.131,0.061,-0.065,0.185,-0.084
Allergic_rhinitis,-0.152,0.029,0.085,-0.039,0.122,0.031,0.003,0.112,0.538
Neuropathy_and_other_nervous_system_disorders,0.02,0.007,-0.018,-0.071,0.023,0.972,0.006,0.063,-0.007
Headache__including_migraine,0.122,-0.001,0.108,0.076,0.15,0.143,0.01,0.028,0.271
Adictions,0.987,-0.006,0.025,0.045,-0.039,0.01,0.018,-0.03,-0.004
Congestive_heart_failure__nonhypertensive,0.039,-0.007,0.033,0.936,0.114,-0.09,0.002,0.049,-0.012
Hypertension,-0.036,-0.007,-0.039,0.258,0.758,0.082,0.049,0.003,0.07
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.019,-0.019,-0.002,0.035,-0.017,0.051,0.024,0.979,0.013
Osteoarthritis,0.024,-0.031,-0.015,-0.013,-0.002,-0.003,1.002,0.023,-0.003
Inflammatory_conditions_of_male_genital_organs,0.05,-0.052,0.871,0.006,-0.028,-0.038,-0.023,0.011,-0.001
Vision_defects,0.066,-0.062,0.312,-0.019,0.074,0.087,0.162,0.001,0.081
