"",ML6,ML5,ML3,ML8,ML4,ML1,ML2,ML7,ML9
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.001,1.006,0,-0.003,-0.021,-0.007,-0.036,-0.015,-0.018
Osteoarthritis,-0.032,0.28,0.052,0.074,0.081,0.113,0.205,0.145,0.018
Neuropathy_and_other_nervous_system_disorders,-0.057,0.208,0.111,0.193,-0.01,0.024,0.02,0.242,0.131
Thyroid_disorders,-0.038,0.198,-0.055,0.005,0.27,-0.009,0.112,-0.027,0.331
Ischemic_heart_disease,0.275,0.177,-0.185,-0.02,0.167,0.023,-0.013,0.007,0.155
Sexual_disorders,-0.205,0.151,0.073,0.262,0.132,0.084,0.167,0.039,0.244
Depression_and_Mood_disorders,-0.062,0.138,0.09,0.076,0.04,0.288,0,0.153,0.24
Disorders_of_lipid_metabolism,0.246,0.134,0.022,0.128,0.008,0.021,0.212,0.083,0.256
Obstructive_Sleep_apnea,0.515,0.111,0.115,0.087,0.098,0.004,0.109,0.089,-0.24
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.246,0.094,0.086,0.054,-0.031,0.128,-0.241,0.235,-0.005
Glaucoma,0.231,0.093,-0.061,0.095,-0.278,-0.051,-0.053,0.026,0.341
Hepatic_steatosis_and_other_liver_diseases,0.186,0.074,0.154,-0.107,0.152,0.262,0.145,0.026,0.135
Hypertension,0.398,0.059,0.141,-0.092,0.172,-0.015,0.151,0.025,0.364
Other_male_genital_disorders,-0.001,0.044,-0.042,0.598,0.096,-0.064,-0.005,-0.02,0.067
Anxiety_disorders,-0.057,0.037,0.116,0.055,0.047,0.103,-0.027,0.354,0.309
Obesity,0.616,0.032,-0.007,0.053,0.004,0.029,0.072,0.09,0.044
Hyperplasia_of_prostate,0.132,0.014,-0.018,0.03,0.018,0.107,-0.078,0.176,0.241
Miscellaneous_mental_health_disorders,-0.002,0.012,1.007,-0.009,0,-0.025,0.013,-0.021,-0.029
Allergic_rhinitis,0.013,0.009,0.014,0.13,-0.014,-0.128,0.103,0.542,-0.018
Inflammatory_conditions_of_male_genital_organs,0.015,0.008,0.046,0.71,0.008,0.054,-0.008,0.066,-0.102
Alcohol-related_disorders,-0.007,-0.009,-0.023,-0.004,-0.007,1.007,0.005,-0.02,-0.025
Esophageal_disorders,0.184,-0.011,0.016,0.107,-0.122,0.047,-0.097,0.345,0.074
Cardiac_dysrhythmias,0.006,-0.018,-0.006,0.023,0.997,-0.002,-0.038,0.011,-0.01
Psoriasis_and_other_inflammatory,0.18,-0.022,-0.029,0.033,-0.037,0.134,0.103,0.065,0.104
Asthma,0.053,-0.025,-0.053,-0.08,0.131,0.005,0.051,0.558,-0.038
Diabetes,0.448,-0.029,-0.01,0.368,0.065,0.068,0.065,-0.262,0.162
Gout,0.007,-0.036,0.001,-0.003,-0.037,0.011,0.993,0.013,-0.009
Vision_defects,0.055,-0.043,0.094,0.064,-0.048,0.099,0.073,0.198,0.122
Headache__including_migraine,0.011,-0.108,0.457,0.102,-0.064,0.081,-0.161,0.096,0.236
