"",ML2,ML10,ML9,ML4,ML8,ML6,ML13,ML11,ML3,ML5,ML1,ML7,ML12,ML14
Obesity,0.013,0.548,-0.02,-0.01,0.063,0.003,0.002,0.094,0.007,0.214,0.077,0.034,0.064,-0.083
Hypertension,0.062,0.503,0.144,0.172,0.158,0.077,-0.096,0.053,0.02,0.003,0.023,0.12,-0.048,0.183
Diabetes,-0.032,0.485,-0.028,0.048,0.064,-0.017,0.391,-0.196,-0.001,0.072,0.12,-0.024,0.025,0.064
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.085,0.299,0.081,-0.015,-0.229,0.12,-0.015,0.184,0.146,0.025,-0.047,-0.002,0.178,-0.271
Disorders_of_lipid_metabolism,0.136,0.284,0.013,0.003,0.213,0.176,0.095,0.028,0.138,0.055,0.066,-0.065,0.028,0.084
Ischemic_heart_disease,0.174,0.196,-0.214,0.158,-0.029,-0.002,-0.015,-0.003,0.08,0.102,0.058,0.097,-0.012,0.151
Glaucoma,0.091,0.172,-0.086,-0.304,-0.066,0.124,0.114,0.026,0.022,0.057,0.173,-0.029,-0.052,0.323
Esophageal_disorders,-0.019,0.159,0.004,-0.122,-0.115,-0.035,0.048,0.371,-0.016,0.066,0.085,0.032,0.109,0.069
Other_male_genital_disorders,0.065,0.122,-0.017,0.123,-0.015,-0.011,0.493,0.05,0.007,-0.012,-0.09,0.048,0.006,0.041
Depression_and_Mood_disorders,0.138,0.101,0.108,0.062,0.018,-0.027,-0.02,0.116,-0.024,-0.068,-0.106,0.083,0.505,0.143
Thyroid_disorders,0.206,0.061,-0.05,0.265,0.125,0.11,-0.002,-0.037,-0.005,-0.055,0.002,-0.018,0.032,0.309
Osteoarthritis,0.284,0.057,0.074,0.1,0.232,0.204,0.058,0.094,0.055,-0.097,-0.061,0.002,0.109,-0.194
Headache__including_migraine,-0.097,0.051,0.461,-0.051,-0.146,0,0.07,0.039,0.08,0.025,-0.046,0.013,0.141,0.259
Sexual_disorders,0.174,0.044,0.096,0.16,0.156,0.037,0.197,0.053,0.074,-0.191,-0.048,0.096,0.136,0.044
Gout,-0.037,0.01,0.007,-0.037,0.976,-0.014,-0.004,0.02,0.014,0.031,0.012,0.01,0.018,-0.004
Allergic_rhinitis,-0.01,0.005,-0.002,-0.014,0.062,-0.038,0.1,0.733,-0.062,0.009,0.079,0.006,-0.087,-0.011
Cardiac_dysrhythmias,-0.021,0.005,-0.012,0.985,-0.039,-0.003,0.026,-0.002,-0.007,0.032,0.041,-0.009,-0.003,-0.003
Obstructive_Sleep_apnea,0.029,-0.001,0.027,0.025,0.022,0.009,0.011,0.005,0.003,0.969,-0.021,0.022,0.002,0
Hepatic_steatosis_and_other_liver_diseases,0.019,-0.004,0.037,0.034,0.006,0.011,-0.021,0.031,0.014,-0.02,0.966,0.019,0.03,-0.003
Miscellaneous_mental_health_disorders,0.009,-0.006,0.979,-0.005,0.021,-0.004,0.005,-0.02,-0.005,0.029,0.043,-0.012,-0.032,-0.027
Psoriasis_and_other_inflammatory,-0.015,-0.01,-0.015,-0.011,-0.001,0.004,0,-0.011,0.003,0.015,0.01,0.996,-0.001,-0.007
Vision_defects,-0.014,-0.012,-0.007,-0.01,0.006,-0.022,0.003,-0.024,1.008,0,0.009,0.005,-0.018,-0.005
Hyperplasia_of_prostate,-0.024,-0.014,-0.007,-0.009,-0.014,1.01,0.002,-0.02,-0.022,0.007,0.007,0.008,-0.01,-0.003
Spondylosis__intervertebral_disc_disorders__other_back_problems,1.003,-0.017,-0.004,-0.024,-0.036,-0.021,0.004,-0.019,-0.012,0.034,0.021,-0.011,-0.007,-0.001
Neuropathy_and_other_nervous_system_disorders,0.229,-0.019,0.125,0.014,-0.001,0.084,0.158,0.192,0.111,-0.119,0.043,0.184,0.029,-0.009
Alcohol-related_disorders,-0.043,-0.041,-0.079,-0.017,0.046,0.017,0.051,-0.113,-0.001,0.037,0.148,0.012,0.718,-0.046
Anxiety_disorders,0.04,-0.063,0.106,0.054,-0.023,0.095,-0.013,0.265,0.12,0.058,-0.025,-0.025,0.228,0.342
Asthma,-0.025,-0.066,-0.062,0.141,0.064,0.088,-0.108,0.444,0.148,0.083,-0.004,-0.104,0.039,0.033
Inflammatory_conditions_of_male_genital_organs,0.017,-0.08,0.048,0.022,-0.005,0.039,0.735,0.084,0.026,0.056,-0.018,0.014,0.036,-0.022
