"",ML4,ML3,ML1,ML2
Chronic_kidney_disease,-0.178,0.771,0.064,0.008
Hypertension,0.148,0.749,-0.065,-0.069
Congestive_heart_failure__nonhypertensive,0,0.685,0.136,-0.142
Diabetes,0.027,0.598,-0.102,0.202
Gout,-0.016,0.441,-0.162,0.013
Obesity,0.165,0.425,-0.22,0.354
Ischemic_heart_disease,0.181,0.397,0.084,-0.228
Coagulation_and_hemorrhagic_disorders,0.059,0.379,0.179,-0.158
Disorders_of_lipid_metabolism,0.374,0.308,-0.304,0.088
Osteoarthritis,0.21,0.294,0.03,0.032
Hepatic_steatosis_and_other_liver_diseases,0.117,0.237,0.245,-0.053
Epilepsy__convulsions,-0.047,0.231,0.256,0.145
Acute_cerebrovascular_disease,0.079,0.2,0.091,-0.171
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.289,0.188,0.201,0.069
Thyroid_disorders,0.304,0.168,-0.078,0.104
Hepatitis,0.142,0.116,0.486,0.077
Vision_defects,0.257,0.114,0.082,-0.036
Alcohol-related_disorders,0.181,0.097,0.046,0.275
Esophageal_disorders,0.319,0.076,-0.023,0.103
Sexual_disorders,0.369,0.073,0.152,0.002
Neoplasms,0.075,0.066,-0.078,0.097
Neuropathy_and_other_nervous_system_disorders,0.31,0.062,0.063,0.159
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.344,0.052,0.107,-0.002
Headache__including_migraine,0.427,0.046,0.093,-0.022
Inflammatory_conditions_of_male_genital_organs,0.456,0.04,0.097,-0.057
Anxiety_disorders,0.45,0.021,0.285,0.052
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.467,0.017,-0.079,-0.129
Other_male_genital_disorders,0.415,0.013,0.036,0.098
Adictions,0.022,-0.001,0.977,0.064
Depression_and_Mood_disorders,0.431,-0.002,0.159,0.172
Miscellaneous_mental_health_disorders,0.479,-0.022,-0.054,0.07
Schizophrenia_and_other_psychotic_disorders,0.002,-0.041,0.074,0.977
Allergic_rhinitis,0.458,-0.083,-0.201,-0.031
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.426,-0.092,0.201,0.065
Psoriasis_and_other_inflammatory,0.397,-0.098,0.045,-0.222
Asthma,0.363,-0.098,0.033,0.037
